Entry	Protein names	Gene Names
O14026	Histone-lysine N-methyltransferase, H3 lysine-36 specific, EC 2.1.1.359 (Lysine N-methyltransferase 3) (SET domain-containing protein 2)	set2 kmt3 SPAC29B12.02c
O14031	Glutathione transporter 1	pgt1 SPAC29B12.10c
O14036	Small nuclear ribonucleoprotein Sm D2, Sm-D2 (Complexed with cdc5 protein 9) (snRNP core protein D2)	smd2 cwf9 SPAC2C4.03c
O14040	DIS3-like exonuclease 2, EC 3.1.13.-	dis32 dis3l2 SPAC2C4.07c
O14050	Mechanosensitive ion channel protein Msy2	msy2 SPAC2C4.17c
O14063	Importin subunit alpha-1 (Cell untimely torn protein 15) (Karyopherin subunit alpha-1) (Serine-rich RNA polymerase I suppressor protein)	cut15 SPCC962.03c
O14064	Protein bir1 (Chromosome segregation protein cut17)	bir1 cut17 pbh1 SPCC962.02c SPCP31B10.10c
O14072	Endoplasmic reticulum transmembrane helix translocase, EC 7.4.2.- (P-type ATPase cta4) (P5A-type ATPase cta4) (Sporulation protein essential for vegetative growth 4)	cta4 sev4 SPAC2E11.07c SPACUNK4.07c SPAPYUK71.01
O14079	DNA damage response protein Mdb1 (BRCT domain protein Mdb1) (Midzone and DNA break-localizing protein 1)	mdb1 SPAC2E11.14 SPACUNK4.14
O14089	Importin subunit beta-2 (Importin-104) (Karyopherin subunit beta-2) (Karyopherin-104) (Transportin, TRN)	kap104 SPAC2F3.06c
O14092	5-aminolevulinate synthase, mitochondrial, EC 2.3.1.37 (5-aminolevulinic acid synthase) (Delta-ALA synthase) (Delta-aminolevulinate synthase)	hem1 SPAC2F3.09
O14098	CTD kinase subunit alpha, CTDK-I subunit alpha, EC 2.7.11.23 (CTD kinase subunit 1) (Latrunculin sensitive kinase 1)	lsk1 ctk1 SPAC2F3.15
O14111	Phosphatidylserine decarboxylase proenzyme 3, EC 4.1.1.65 [Cleaved into: Phosphatidylserine decarboxylase 3 beta chain; Phosphatidylserine decarboxylase 3 alpha chain ]	psd3 SPAC31G5.15
O14114	ATPase histone chaperone abo1, EC 3.6.1.- (ATPase family AAA domain-containing protein abo1, AAA-ATPase)	abo1 SPAC31G5.19
O14122	Cullin-4, Cul-4	pcu4 cul4 SPAC3A11.08
O14129	DNA repair protein rhp55 (RAD55 homolog)	rhp55 SPAC3C7.03c
O14132	Sporulation protein kinase pit1, EC 2.7.11.1	pit1 SPAC3C7.06c
O14139	Chromodomain helicase hrp3, EC 3.6.4.- (ATP-dependent helicase hrp3)	hrp3 SPAC3G6.01
O14148	Chromatin-remodeling ATPase INO80, EC 3.6.4.-	ino80 SPAC29B12.01
O14156	Protein phosphatase 2C homolog 4, PP2C-4, EC 3.1.3.16	ptc4 SPAC4A8.03c
O14157	Myosin type-2 heavy chain 2 (Myosin type II heavy chain 2)	myo3 myp2 SPAC4A8.05c
O14164	Eukaryotic translation initiation factor 3 subunit C, eIF3c (Eukaryotic translation initiation factor 3 93 kDa subunit homolog, eIF3 p93) (Translation initiation factor eIF3, p93 subunit homolog)	nip1 eif3c tif33 SPAC1E11.01c SPAC4A8.16c SPAC823.01c
O14170	WD repeat-containing protein pop2 (Proteolysis factor sud1)	pop2 sud1 SPAC4D7.03
O14174	SAGA complex subunit spt20	spt20 SPAC4D7.10c
O14187	Pre-mRNA-splicing factor spp42 (Complexed with cdc5 protein 6)	spp42 cwf6 SPAC4F8.12c
O14188	Ras GTPase-activating-like protein rng2 (Ring assembly protein 2)	rng2 SPAC4F8.13c
O14194	Glutathione hydrolase proenzyme 2, EC 3.4.19.13 (Gamma-glutamyltransferase 2) (Gamma-glutamyltranspeptidase 2, EC 2.3.2.2) [Cleaved into: Glutathione hydrolase 2 heavy chain; Glutathione hydrolase 2 light chain ]	ggt2 SPAC56E4.06c
O14213	ER-phagy receptor 1 (Meiotically up-regulated gene 185 protein)	epr1 mug185 SPAC6B12.08
O14214	tRNA (guanine(9)-N1)-methyltransferase, EC 2.1.1.221 (tRNA methyltransferase 10) (tRNA(m1G9)-methyltransferase, tRNA(m1G9)MTase)	trm10 SPAC6B12.09
O14215	DNA primase small subunit, EC 2.7.7.102 (DNA primase 1)	spp1 pri1 SPAC6B12.10c
O14216	DNA replication regulator sld2 (DNA replication and checkpoint protein 1)	drc1 sld2 SPAC6B12.11
O14222	Syntaxin-like protein fsv1	fsv1 SPAC6F12.03c
O14227	RNA-dependent RNA polymerase 1, Protein rdp1, EC 2.7.7.48	rdp1 csp7 rdr1 SPAC6F12.09
O14230	Farnesyl pyrophosphate synthase, FPP synthase, FPS, EC 2.5.1.10 ((2E,6E)-farnesyl diphosphate synthase) (Dimethylallyltranstransferase, EC 2.5.1.1) (Farnesyl diphosphate synthase) (Geranyltranstransferase)	fps1 SPAC6F12.13c
O14232	ATP-dependent RNA helicase mtr4, EC 3.6.4.-	mtr4 SPAC6F12.16c
O14243	Sorting nexin-4 (Autophagy-related protein 24)	snx4 atg24 SPAC6F6.12
O14246	Protection of telomeres protein tpz1 (Meiotically up-regulated gene 169 protein)	tpz1 mug169 SPAC6F6.16c SPAC6F6.18c
O14261	Taz1-interacting factor 1, Protein taf1 (Autophagy-related protein 11) (Cytoplasm to vacuole targeting protein 9)	taf1 atg11 cvt9 SPAC7D4.04
O14283	Transcription factor prr1 (Pombe response regulator 1)	prr1 SPAC8C9.14
O14285	DASH complex subunit spc34 (Outer kinetochore protein spc34)	spc34 SPAC8C9.17c
O14295	Pyridoxal reductase, PL reductase, PL-red, EC 1.1.1.65	plr1 plr SPAC9E9.11
O14299	MAP kinase kinase kinase wis4, EC 2.7.11.25 (MAP kinase kinase kinase wak1) (MAP kinase kinase kinase wik1)	wis4 wak1 wik1 SPAC9G1.02
O14302	cytokinesis protein 3	cyk3 SPAC9G1.06c
O14305	Serine/threonine-protein kinase sid1, EC 2.7.11.1 (STE20-like kinase sid1)	sid1 SPAC9G1.09
O14310	Nucleoporin npp106 (Nuclear pore protein npp106)	npp106 SPCC1739.14
O14313	Peroxisomal membrane associated protein 20 (Peroxiredoxin homolog pmp20, Prx)	pmp20 SPCC330.06c
O14327	Polyadenylate-binding protein 2, PABP-2, Poly(A)-binding protein 2 (Poly(A)-binding protein II, PABII)	pab2 SPBC16E9.12c
O14329	Probable zinc transporter zrg17	zrg17 SPBC16E9.14c
O14333	Phosphatidylserine decarboxylase proenzyme 1, mitochondrial, EC 4.1.1.65 [Cleaved into: Phosphatidylserine decarboxylase 1 beta chain; Phosphatidylserine decarboxylase 1 alpha chain ]	psd1 SPBC16E9.18 SPBC1E8.01
O14343	Kinesin-like protein 5	klp5 SPBC2F12.13
O14350	Swi1-interacting protein swi3 (Replication fork protection complex subunit swi3)	swi3 SPBC30D10.04
O14356	Serine/threonine-protein kinase tor1, EC 2.7.11.1 (Phosphatidylinositol kinase homolog tor1) (Target of rapamycin kinase 1)	tor1 SPBC30D10.10c
O14370	Branched-chain-amino-acid aminotransferase, mitochondrial, BCAT, EC 2.6.1.42	eca39 SPBC428.02c SPBC582.12c
O14417	Mitotic spindle checkpoint component mad2	mad2 SPBC20F10.06
O14463	Thioredoxin-1, TR-1, Trx-1	trx1 trx2 SPAC7D4.07c
O14470	SWI/SNF and RSC complexes subunit ssr2	ssr2 SPAC23H3.10
O36019	Autophagy protein 13 (Meiotically up-regulated gene 78 protein)	atg13 mug78 SPAC4F10.07c
O36023	Septin homolog spn1	spn1 SPAC4F10.11
O36027	Actin-binding protein wsp1 (Wiskott-Aldrich syndrome protein homolog 1)	wsp1 SPAC4F10.15c
O42634	Meiotic recombination protein dmc1	dmc1 dmp1 SPAC8E11.03c
O42649	Structural maintenance of chromosomes protein 3 (Cohesin complex Psm3 subunit)	psm3 smc3 SPAC10F6.09c
O42661	Small nuclear ribonucleoprotein Sm D1, Sm-D1 (snRNP core protein D1)	smd1 SPAC27D7.07c
O42667	Microtubule-associated protein ssm4	ssm4 SPAC27D7.13c SPAC637.01c
O42709	DNA replication licensing factor mcm10 (Cdc23 protein) (Minichromosome maintenance protein 10)	mcm10 cdc23 SPBC1347.10
O42832	AdoMet-dependent rRNA methyltransferase spb1, EC 2.1.1.- (2'-O-ribose RNA methyltransferase) (S-adenosyl-L-methionine-dependent methyltransferase)	spb1 pmt2 SPAC1687.11
O42844	Calcium/calmodulin-dependent protein kinase type II, CAM kinase II, EC 2.7.11.17	cmk2 SPAC23A1.06c
O42860	Mitotic checkpoint protein bub3	bub3 SPAC23H3.08c
O42861	ATP-dependent helicase fft3, EC 3.6.4.12 (Fun thirty-related protein 3)	fft3 snf2SR SPAC25A8.01c
O42862	Autophagy-related protein 14	atg14 SPAC25A8.02
O42868	RNA polymerase II subunit A C-terminal domain phosphatase ssu72, CTD phosphatase ssu72, EC 3.1.3.16 (Suppressor of SUA7 protein 2 homolog)	ssu72 SPAC3G9.04
O42872	Exosome complex component ski6 (Ribosomal RNA-processing protein 41)	ski6 rrp41 SPAC3G9.10c
O42874	Protein peg1	peg1 SPAC3G9.12
O42893	Cytosolic neutral trehalase, EC 3.2.1.28 (Alpha,alpha-trehalase) (Alpha,alpha-trehalose glucohydrolase) (Neutral trehalase)	ntp1 SPBC660.07
O42900	Serine/threonine-protein kinase ppk19, EC 2.7.11.1	ppk19 SPBC119.07
O42916	Lysophospholipid acyltransferase, LPLAT, EC 2.3.1.23, EC 2.3.1.51 (1-acyl-sn-glycerol-3-phosphate acyltransferase, AGPAT) (Lysophosphatidic acid acyltransferase, LPAAT) (Lysophosphatidylcholine acyltransferase, LPCAT) (Lysophosphatidylethanolamine acyltransferase, LPEAT)	ale1 lpt1 SPBC16A3.10
O42917	N-acetyltransferase eso1, EC 2.3.1.- (ECO1 homolog) (Sister chromatid cohesion protein eso1)	eso1 SPBC16A3.11
O42923	RNA-binding post-transcriptional regulator cip1 (Csx1-interacting protein 1)	cip1 SPBC16A3.18
O42930	Vacuolar protein sorting/targeting protein 10 (Carboxypeptidase Y receptor, CPY receptor) (Sortilin vps10) (Vacuolar carboxypeptidase sorting receptor vps10)	vps10 pep1 SPBC16C6.06
O42933	Dolichyl-phosphate-mannose--protein mannosyltransferase 4, EC 2.4.1.109	ogm4 oma4 SPBC16C6.09
O42934	Chromo domain-containing protein 2	chp2 SPBC16C6.10
O42938	ATP-dependent 6-phosphofructokinase, ATP-PFK, Phosphofructokinase, EC 2.7.1.11 (Phosphohexokinase)	pfk1 SPBC16H5.02
O42976	Uncharacterized membrane protein C20F10.07	SPBC20F10.07
O42995	CENP-A recruiting complex protein mis19 (Eighteen-interacting centromere protein 1) (Kinetochore protein mis19)	mis19 eic1 kis1 SPBC27B12.02 SPBC30B4.10
O42998	Pof6 interactor protein 1	sip1 pi070 SPBC27B12.08
O43001	Inositol-1,4,5-trisphosphate 5-phosphatase 1, EC 3.1.3.36 (Synaptojanin-like protein 1)	syj1 SPBC2G2.02
O43007	C-1-tetrahydrofolate synthase, mitochondrial, C1-THF synthase [Includes: Methylenetetrahydrofolate dehydrogenase, EC 1.5.1.5; Methenyltetrahydrofolate cyclohydrolase, EC 3.5.4.9; Formyltetrahydrofolate synthetase, EC 6.3.4.3 ]	ade9 SPBC2G2.08
O43029	L-pipecolate oxidase, EC 1.5.3.7 (L-pipecolic acid oxidase)	fap1 SPBC354.15
O43035	Autophagy-related protein 3 (Autophagy-related E2-like conjugation enzyme atg3)	atg3 SPBC3B9.06c
O43043	Sterol regulatory element-binding protein cleavage-activating protein, SCAP, SREBP cleavage-activating protein	scp1 SPBC3B9.15c
O43052	Rho-type GTPase-activating protein 1	rga1 SPBC3F6.05
O43058	Forkhead protein sep1	sep1 SPBC4C3.12
O43060	Eukaryotic translation initiation factor 3 subunit F, eIF3f	eif3f SPBC4C3.07
O43068	Monopolin complex subunit mde4 (Mei4-dependent protein 4)	mde4 SPBC6B1.04
O43069	Ubiquitin-like modifier-activating enzyme atg7 (ATG12-activating enzyme E1 atg7) (Autophagy-related protein 7)	atg7 SPBC6B1.05c
O43070	DNA repair and telomere maintenance protein nbs1	nbs1 SPBC6B1.09c
O43085	DSC E3 ubiquitin ligase complex subunit 1, EC 2.3.2.27 (Defective for SREBP cleavage protein 1) (RING-type E3 ubiquitin transferase DSC1)	dsc1 SPBC947.10
O43086	Telomere length regulation protein elg1 (Telomere elongation suppressor elg1)	elg1 SPBC947.11c
O43091	Decaprenyl-diphosphate synthase subunit 1, EC 2.5.1.91 (All-trans-decaprenyl-diphosphate synthase subunit 1) (Decaprenyl pyrophosphate synthase subunit 1)	dps1 dps SPBPJ4664.01 SPBPJ694.01
O43114	Origin recognition complex subunit 5	orc5 orp5 SPBC646.14c
O59676	PWWP domain-containing protein 1 (Set9-associated factor pdp1)	pdp1 SPBC29A3.13
O59701	Cysteine synthase 1, CS 1, EC 2.5.1.-, EC 2.5.1.47 (O-acetylserine (thiol)-lyase 1, OAS-TL 1) (O-acetylserine sulfhydrylase 1) (O-succinylserine sulfhydrylase)	cys11 cys1a SPBC36.04
O59702	Histone deacetylase clr6, EC 3.5.1.98 (Cryptic loci regulator 6)	clr6 SPBC36.05c
O59703	Geranylgeranyl pyrophosphate synthase, GGPP synthase, GGPPSase, EC 2.5.1.- ((2E,6E)-farnesyl diphosphate synthase) (Dimethylallyltranstransferase, EC 2.5.1.1) (Farnesyl diphosphate synthase) (Farnesyltranstransferase, EC 2.5.1.29) (Geranylgeranyl diphosphate synthase) (Geranyltranstransferase, EC 2.5.1.10) (Sporulation-specific protein 9)	spo9 SPBC36.06c
O59718	Nuclear envelope morphology protein 1, EC 3.1.3.16	nem1 SPBC3B8.10c
O59726	Vacuolar membrane amino acid uptake transporter fnx2	fnx2 SPBC3E7.06c
O59740	Cell polarity protein mod5 (Tea1-anchoring protein mod5)	mod5 SPBC530.04
O59747	Palmitoyl-protein thioesterase-dolichyl pyrophosphate phosphatase fusion 1 [Cleaved into: Palmitoyl-protein thioesterase, PPT, EC 3.1.2.22 (Palmitoyl-protein hydrolase); Dolichyldiphosphatase, EC 3.6.1.43 (Dolichyl pyrophosphate phosphatase) ]	pdf1 yhc1 SPBC530.12c
O59748	CTD kinase subunit beta, CTDK-I subunit beta (CTD kinase subunit 2) (Latrunculin sensitive cyclin knockout protein 1)	lsc1 ctk2 SPBC530.13
O59751	Kinesin-like protein 6	klp6 SPBC1685.15c SPBC649.01c
O59755	Spindle pole body-associated protein cut12 (Cell untimely torn protein 12)	cut12 stf1 SPBC649.05
O59757	Kinetochore protein spc7 (NMS complex subunit spc7)	spc7 SPCC1020.02
O59763	Serine/threonine-protein kinase oca2, EC 2.7.11.1	oca2 SPCC1020.10
O59767	Mitotic spindle checkpoint component mad3	mad3 SPCC1795.01c SPCC895.02
O59790	Serine/threonine-protein kinase ark1, EC 2.7.11.1 (Aurora-related kinase 1)	ark1 sex1 SPCC320.13c SPCC330.16
O59791	Serine racemase, EC 4.3.1.17, EC 4.3.1.18, EC 5.1.1.18 (D-serine ammonia-lyase) (D-serine dehydratase) (L-serine ammonia-lyase) (L-serine dehydratase)	SRR SPCC320.14 SPCC330.15c
O59836	Hsk1-interacting molecule 1 (DNA repair protein rad35)	him1 dfp1 rad35 SPCC550.13
O59855	Probable heat shock protein ssa2	ssa2 SPCC1739.13
O59858	Glutathione peroxidase-like peroxiredoxin gpx1, EC 1.11.1.24 (Glutathione peroxidase homolog, GPx) (Thioredoxin peroxidase gpx1)	gpx1 SPBC32F12.03c
O59868	Calcium-transporting ATPase 1, EC 7.2.2.10 (Golgi Ca(2+)-ATPase)	pmr1 pgak2 SPBC31E1.02c
O59945	Fimbrin	fim1 SPBC1778.06c
O60016	Histone-lysine N-methyltransferase, H3 lysine-9 specific, EC 2.1.1.355, EC 2.1.1.366, EC 2.1.1.367 (Cryptic loci regulator 4) (Histone H3-K9 methyltransferase, H3-K9-HMTase, HKMT) (Lysine N-methyltransferase 1) (Protein lysine methyltransferase clr4, PKMT)	clr4 kmt1 SPBC428.08c
O60052	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha, EC 2.5.1.58, EC 2.5.1.59 (CAAX farnesyltransferase subunit alpha) (FTase-alpha) (Ras proteins prenyltransferase subunit alpha) (Type I protein geranyl-geranyltransferase subunit alpha, GGTase-I-alpha)	cwp1 SPAPB1A10.04c
O60070	Set1 complex component ash2, Set1C component ash2 (COMPASS component ash2) (Complex proteins associated with set1 protein ash2) (Lid2 complex component ash2, Lid2C component ash2)	ash2 SPBC13G1.08c
O60094	rDNA transcriptional regulator pol5 (DNA polymerase V, POL V) (DNA polymerase phi)	pol5 SPBC14C8.14c
O60119	Vesicle-associated membrane protein-associated protein scs2, VAMP-associated protein scs2 (VAP homolog 1)	scs2 SPBC16G5.05c
O60126	DNA topoisomerase 3, EC 5.6.2.1 (DNA topoisomerase III)	top3 SPBC16G5.12c
O60129	Fork head protein homolog 2	fkh2 SPBC16G5.15c
O60132	Tip elongation aberrant protein Tea4 (Cell polarity protein tea4) (Win1-interacting SH3 domain protein)	tea4 wsh3 SPBC1706.01
O60139	Probable ubiquitin carboxyl-terminal hydrolase 4, EC 3.4.19.12 (Deubiquitinating enzyme 4) (Ubiquitin thioesterase 4) (Ubiquitin-specific-processing protease 4)	ubp4 SPBC18H10.08c
O60158	Bouquet formation protein 4	bqt4 SPBC19C7.10
O60165	Septin homolog spn7	spn7 SPBC19F8.01c SPBC21.08c
O60182	Replication factor C subunit 1, Replication factor C1	rfc1 SPBC23E6.07c
O60184	General transcriptional corepressor ssn6	ssn6 SPBC23E6.09
