Entry	Protein names	Gene Names
A0A1Z5R7Q4	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial, EC 1.3.5.1	SORBI_3007G023400
A0A1Z5S503	Serine hydroxymethyltransferase, EC 2.1.2.1	SORBI_3001G097100
A0A3P3XXX7	Photosystem II protein D1, PSII D1 protein, EC 1.10.3.9 (Photosystem II Q(B) protein)	psbA
A0A3P3XY05	Ribulose bisphosphate carboxylase large chain, RuBisCO large subunit, EC 4.1.1.39	rbcL cbbL
A1E9Q4	Photosystem II protein D1, PSII D1 protein, EC 1.10.3.9 (Photosystem II Q(B) protein)	psbA
A1E9T2	Ribulose bisphosphate carboxylase large chain, RuBisCO large subunit, EC 4.1.1.39	rbcL
A8QW52	Eugenol O-methyltransferase, EC 2.1.1.146 (O-methyltransferase 1, SbOMT1)	EOMT OMT1 Sb07g004660
C5WP95	ABC transporter domain-containing protein	SORBI_3001G413700
C5WR74	Ornithine aminotransferase, EC 2.6.1.13	SORBI_3001G156100
C5WVL6	Allene-oxide cyclase, EC 5.3.99.6	SORBI_3001G329800
C5WZH0	Inosine triphosphate pyrophosphatase, ITPase, Inosine triphosphatase, EC 3.6.1.9 (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase, NTPase)	Sb01g020160
C5X3C0	Peroxidase, EC 1.11.1.7	SORBI_3002G391200
C5X3C9	Peroxidase, EC 1.11.1.7	SORBI_3002G392100
C5X6D0	Lon protease homolog, mitochondrial, EC 3.4.21.53	SORBI_3002G426400
C5XFY6	Ribokinase, RK, EC 2.7.1.15	SORBI_3003G248300
C5XKZ1	Lipoyl synthase, chloroplastic, EC 2.8.1.8 (Lipoate synthase, LS, Lip-syn) (Lipoate synthase, plastidial, LIP1p) (Lipoic acid synthase)	LIP1P Sb03g035760
C5XTL6	UMP-CMP kinase, EC 2.7.4.14 (Deoxycytidylate kinase, CK, dCMP kinase) (Uridine monophosphate/cytidine monophosphate kinase, UMP/CMP kinase, UMP/CMPK)	SORBI_3004G318100
C5Y081	Adenylyltransferase and sulfurtransferase MOCS3 (Molybdenum cofactor synthesis protein 3) [Includes: Molybdopterin-synthase adenylyltransferase, EC 2.7.7.80 (Adenylyltransferase MOCS3) (Sulfur carrier protein MOCS2A adenylyltransferase); Molybdopterin-synthase sulfurtransferase, EC 2.8.1.11 (Sulfurtransferase MOCS3) (Sulfur carrier protein MOCS2A sulfurtransferase) ]	MOCS3 CNX5 UBA4 SORBI_3004G263800
C5Y9M4	Molybdopterin biosynthesis protein CNX1 (Molybdenum cofactor biosynthesis enzyme CNX1) [Includes: Molybdopterin molybdenumtransferase, MPT Mo-transferase, EC 2.10.1.1 (Domain E); Molybdopterin adenylyltransferase, MPT adenylyltransferase, EC 2.7.7.75 (Domain G) ]	SORBI_3006G251800
C5Y9R0	Lipoyl synthase, mitochondrial, EC 2.8.1.8 (Lipoate synthase, LS, Lip-syn) (Lipoic acid synthase)	LIP1 Sb06g018660
C5YAW5	Elongator complex protein 3, EC 2.3.1.-	SORBI_3006G125900
C5YBA1	UMP-CMP kinase, EC 2.7.4.14 (Deoxycytidylate kinase, CK, dCMP kinase) (Uridine monophosphate/cytidine monophosphate kinase, UMP/CMP kinase, UMP/CMPK)	SORBI_3006G003300
C5YHH7	Zingiberene synthase, SbTPS1, EC 4.2.3.65	TPS1 Sb07g004470
C5YHI2	Beta-sesquiphellandrene synthase, SbTPS2, EC 4.2.3.123	TPS2 Sb07g004485
C5YJG8	NADPH--cytochrome P450 reductase, CPR, P450R, EC 1.6.2.4 (SbCPR)	CPR SORBI_3007G088000
C5YJM9	UMP-CMP kinase, EC 2.7.4.14 (Deoxycytidylate kinase, CK, dCMP kinase) (Uridine monophosphate/cytidine monophosphate kinase, UMP/CMP kinase, UMP/CMPK)	SORBI_3007G223100
C5Z2C5	Photolyase/cryptochrome alpha/beta domain-containing protein	SORBI_3010G138000
C5Z2G8	Peroxidase, EC 1.11.1.7	SORBI_3010G140700
C5Z4B7	Ubiquinone biosynthesis O-methyltransferase, mitochondrial (3-demethylubiquinol 3-O-methyltransferase, EC 2.1.1.64) (Polyprenyldihydroxybenzoate methyltransferase, EC 2.1.1.114)	COQ3 SORBI_3010G041800
C5Z503	Adenylyltransferase and sulfurtransferase MOCS3 (Molybdenum cofactor synthesis protein 3) [Includes: Molybdopterin-synthase adenylyltransferase, EC 2.7.7.80 (Adenylyltransferase MOCS3) (Sulfur carrier protein MOCS2A adenylyltransferase); Molybdopterin-synthase sulfurtransferase, EC 2.8.1.11 (Sulfurtransferase MOCS3) (Sulfur carrier protein MOCS2A sulfurtransferase) ]	MOCS3 CNX5 UBA4 SORBI_3010G055600
C5Z7L1	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit beta, PFP, EC 2.7.1.90 (6-phosphofructokinase, pyrophosphate dependent) (PPi-PFK) (Pyrophosphate-dependent 6-phosphofructose-1-kinase)	PFP-BETA SORBI_3010G101600
C6JS30	Probable bifunctional methylthioribulose-1-phosphate dehydratase/enolase-phosphatase E1 [Includes: Methylthioribulose-1-phosphate dehydratase, MTRu-1-P dehydratase, EC 4.2.1.109; Enolase-phosphatase E1, EC 3.1.3.77 (2,3-diketo-5-methylthio-1-phosphopentane phosphatase) ]	SORBIDRAFT_0019s002010
P05502	Cytochrome c oxidase subunit 1, EC 7.1.1.9 (Cytochrome c oxidase polypeptide I)	COX1 COXI
P15804	Phosphoenolpyruvate carboxylase 3, PEPC 3, PEPCase 3, EC 4.1.1.31 (CP46)	
P29195	Phosphoenolpyruvate carboxylase 1, PEPC 1, PEPCase 1, EC 4.1.1.31 (CP21)	PEPC
P37229	Malate dehydrogenase [NADP] 2, chloroplastic, EC 1.1.1.82 (NADP-MDH-2)	
P93527	Phytochrome B	PHYB MA3 SORBI_3001G394400
P93846	Obtusifoliol 14-alpha demethylase, EC 1.14.14.154 (CYPLI) (Cytochrome P450 51) (Cytochrome P450-LIA1)	CYP51
Q43135	Tyrosine N-monooxygenase, EC 1.14.14.36 (Cytochrome P450 79A1) (Cytochrome P450Tyr)	CYP79A1 CYP79
A0A097PJT9	DNA replication licensing factor MCM5, EC 3.6.4.12	
A0A0H5AX42	Phytochrome	Ma3
A0A0H5AX56	Phytochrome	Ma3
A0A0H5AX59	Phytochrome	Ma3
A0A0H5AXA3	Phytochrome	Ma3
A0A0H5AXB8	Phytochrome	Ma3
A0A0H5AXE9	Phytochrome	Ma3
A0A0H5AXF4	Phytochrome	Ma3
A0A0H5AXF5	Phytochrome	Ma3
A0A0H5AXI5	Phytochrome	Ma3
A0A0H5AXQ1	Phytochrome	Ma3
A0A0H5B064	Phytochrome	Ma3
A0A0H5B071	Phytochrome	Ma3
A0A0H5B0U7	Phytochrome	Ma3
A0A0H5B2T9	Phytochrome	Ma3
A0A0H5B2W7	Phytochrome	Ma3
A0A0H5BHK5	Phytochrome	Ma3
A0A0H5BHM2	Phytochrome	Ma3
A0A0H5BHX1	Phytochrome	Ma3
A0A0H5BHZ4	Phytochrome	Ma3
A0A0H5BHZ7	Phytochrome	Ma3
A0A109ND74	Peroxidase, EC 1.11.1.7	SORBI_K026000
A0A109ND81	Polyprenol reductase, EC 1.3.1.94	SORBI_3006G186800 SORBI_K031600
A0A109ND84	Ethylene receptor	SORBI_3004G349175 SORBI_K016200
A0A109NDC3	NAD(P)H-quinone oxidoreductase subunit 5, chloroplastic, EC 7.1.1.- (NADH-plastoquinone oxidoreductase subunit 5)	ndhF SORBI_K036100
A0A109NDJ7	NAD(P)H-hydrate epimerase, EC 5.1.99.6 (NAD(P)HX epimerase)	SORBI_K012600
A0A109NDW7	DNA-directed RNA polymerase subunit alpha, PEP, EC 2.7.7.6 (Plastid-encoded RNA polymerase subunit alpha, RNA polymerase subunit alpha)	rpoA SORBI_K034900
A0A109NDX0	Photosystem I iron-sulfur center, EC 1.97.1.12 (9 kDa polypeptide) (PSI-C) (Photosystem I subunit VII) (PsaC)	psaC SORBI_K036400
A0A109NDX8	ATP synthase subunit c, chloroplastic (ATP synthase F(0) sector subunit c) (ATPase subunit III) (F-type ATPase subunit c, F-ATPase subunit c) (Lipid-binding protein)	atpH SORBI_K039500
A0A109NDY9	NAD(P)H-hydrate epimerase, EC 5.1.99.6 (NAD(P)HX epimerase)	SORBI_K012600
A0A125QUH3	NAD(P)H-quinone oxidoreductase subunit H, chloroplastic, EC 7.1.1.- (NAD(P)H dehydrogenase, subunit H) (NADH-plastoquinone oxidoreductase 49 kDa subunit) (NADH-plastoquinone oxidoreductase subunit H)	ndhH SORBI_K036900
A0A194YGP1	Proteasome subunit beta	SORBI_3010G007400
A0A194YGQ1	6-phosphogluconate dehydrogenase, decarboxylating, EC 1.1.1.44	SORBI_3010G009300
A0A194YHA2	Starch synthase, chloroplastic/amyloplastic, EC 2.4.1.-	SORBI_3010G047700
A0A194YHF9	Receptor-like serine/threonine-protein kinase, EC 2.7.11.1	SORBI_3010G052100
A0A194YHI9	Fanconi-associated nuclease, EC 3.1.4.1	SORBI_3010G056100
A0A194YI36	C2 domain-containing protein	SORBI_3010G090500
A0A194YIA8	Probable alanine--tRNA ligase, chloroplastic, EC 6.1.1.7 (Alanyl-tRNA synthetase, AlaRS)	SORBI_3010G100900
A0A194YIG2	Ubiquitin receptor RAD23 (DNA repair protein RAD23)	SORBI_3010G108900
A0A194YIG8	Uncharacterized protein	SORBI_3010G112000
A0A194YJ99	RNA polymerase II subunit B1 CTD phosphatase RPAP2 homolog, EC 3.1.3.16	SORBI_3010G146800
A0A194YJK0	Katanin p60 ATPase-containing subunit A1, Katanin p60 subunit A1, EC 5.6.1.1 (p60 katanin)	KATNA1 SORBI_3010G114200
A0A194YJW7	Histone deacetylase, EC 3.5.1.98	SORBI_3010G176300
A0A194YJX4	ADP/ATP translocase (ADP,ATP carrier protein)	SORBI_3010G131600
A0A194YKC0	Cellulose synthase, EC 2.4.1.12	SORBI_3010G196300
A0A194YKW4	Molybdenum cofactor sulfurase, MCS, MOS, MoCo sulfurase, EC 2.8.1.9 (Molybdenum cofactor sulfurtransferase)	SORBI_3010G224000
A0A194YLP4	HATPase_c domain-containing protein	SORBI_3010G267400
A0A194YLW8	4-hydroxy-4-methyl-2-oxoglutarate aldolase, HMG aldolase, EC 4.1.1.112, EC 4.1.3.17 (Oxaloacetate decarboxylase)	SORBI_3010G277100
A0A194YLY2	Uridine kinase, EC 2.7.1.48	SORBI_3004G000100
A0A194YM07	Uridine kinase, EC 2.7.1.48	SORBI_3004G000100
A0A194YM75	Uncharacterized protein	SORBI_3004G011700
A0A194YMQ2	Translation factor GUF1 homolog, chloroplastic, EC 3.6.5.n1 (Elongation factor 4 homolog, EF-4) (GTPase GUF1 homolog) (Ribosomal back-translocase)	SORBI_3004G046500
A0A194YN34	Calcium-transporting ATPase, EC 7.2.2.10	SORBI_3004G061400
A0A194YNK5	Coatomer subunit beta'	SORBI_3004G088501
A0A194YNU6	Peroxidase, EC 1.11.1.7	SORBI_3004G106100
A0A194YNW8	Peroxidase, EC 1.11.1.7	SORBI_3004G105200
A0A194YNY0	Peroxidase, EC 1.11.1.7	SORBI_3004G105700
A0A194YP69	S-acyltransferase, EC 2.3.1.225 (Palmitoyltransferase)	SORBI_3004G068100
A0A194YPA5	Pectinesterase, EC 3.1.1.11	SORBI_3004G129400
A0A194YQ04	1,3-beta-glucan synthase, EC 2.4.1.34 (1,3-beta-glucan synthase)	SORBI_3004G107800
A0A194YQR3	Cytosolic Fe-S cluster assembly factor NBP35	NBP35 SORBI_3004G205000
A0A194YQX3	tRNA (guanine(37)-N1)-methyltransferase, EC 2.1.1.228 (M1G-methyltransferase) (tRNA [GM37] methyltransferase) (tRNA methyltransferase 5 homolog)	SORBI_3004G208301
A0A194YR04	Adenosine kinase, AK, EC 2.7.1.20 (Adenosine 5'-phosphotransferase)	SORBI_3004G220000
A0A194YR96	Laccase, EC 1.10.3.2 (Benzenediol:oxygen oxidoreductase) (Diphenol oxidase) (Urishiol oxidase)	SORBI_3004G236100
A0A194YRR0	ADP/ATP translocase (ADP,ATP carrier protein)	SORBI_3004G259200
A0A194YS21	S-acyltransferase, EC 2.3.1.225 (Palmitoyltransferase)	SORBI_3004G286500
A0A194YSG7	RING-type domain-containing protein	SORBI_3004G312600
A0A194YSK1	ATP-dependent DNA helicase, EC 3.6.4.12	SORBI_3004G319400
A0A194YSN6	Laccase, EC 1.10.3.2 (Benzenediol:oxygen oxidoreductase) (Diphenol oxidase) (Urishiol oxidase)	SORBI_3004G314200
A0A194YST2	Protein kinase domain-containing protein	SORBI_3004G262500
A0A194YSV1	Protein kinase domain-containing protein	SORBI_3004G338200
A0A194YT69	Uncharacterized protein	SORBI_3004G359400
A0A194YTA3	4-hydroxybenzoate polyprenyltransferase, mitochondrial, 4-HB polyprenyltransferase, EC 2.5.1.39 (Para-hydroxybenzoate--polyprenyltransferase, PHB:PPT, PHB:polyprenyltransferase)	SORBI_3004G355300
A0A194YU12	Glutathione reductase, GRase, EC 1.8.1.7	SORBI_3004G341200
A0A1B6P5Y4	Receptor-like serine/threonine-protein kinase, EC 2.7.11.1	SORBI_3009G018900
A0A1B6P674	Receptor-like serine/threonine-protein kinase, EC 2.7.11.1	SORBI_3009G018200
A0A1B6P690	Peroxidase, EC 1.11.1.7	SORBI_3009G032900
A0A1B6P697	Peroxidase, EC 1.11.1.7	SORBI_3009G032700
A0A1B6P7F5	Receptor-like serine/threonine-protein kinase, EC 2.7.11.1	SORBI_3009G082700
A0A1B6P8A7	Receptor-like serine/threonine-protein kinase, EC 2.7.11.1	SORBI_3009G105500
A0A1B6P8P3	RING-type E3 ubiquitin transferase, EC 2.3.2.27	SORBI_3009G126300
A0A1B6P8T3	Delta-1-pyrroline-5-carboxylate synthase [Includes: Glutamate 5-kinase, GK, EC 2.7.2.11 (Gamma-glutamyl kinase); Gamma-glutamyl phosphate reductase, GPR, EC 1.2.1.41 (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase) ]	SORBI_3009G160100
A0A1B6P9J4	Laccase, EC 1.10.3.2 (Benzenediol:oxygen oxidoreductase) (Diphenol oxidase) (Urishiol oxidase)	SORBI_3009G162300
A0A1B6P9J7	Eukaryotic translation initiation factor 3 subunit F, eIF3f (eIF-3-epsilon)	SORBI_3009G212300
A0A1B6P9K7	ADP/ATP translocase (ADP,ATP carrier protein)	SORBI_3009G213400
A0A1B6P9Z9	Glutamate synthase (NADH), EC 1.4.1.14	SORBI_3009G225700
A0A1B6PA06	ATP synthase subunit beta, EC 7.1.2.2	SORBI_3009G224400
A0A1B6PAL2	Protein kinase domain-containing protein	SORBI_3008G013800
A0A1B6PAM8	Protein-serine/threonine phosphatase, EC 3.1.3.16	SORBI_3009G255900
A0A1B6PBP5	NAD-dependent protein deacylase, EC 2.3.1.- (Regulatory protein SIR2 homolog)	SORBI_3008G058100
A0A1B6PC09	Protein kinase domain-containing protein	SORBI_3008G067500
A0A1B6PC38	Diacylglycerol kinase, DAG kinase, EC 2.7.1.107	SORBI_3008G077600
A0A1B6PCH9	3-oxoacyl-[acyl-carrier-protein] reductase, EC 1.1.1.100	SORBI_3008G087300
A0A1B6PDC2	DNA replication licensing factor MCM7, EC 3.6.4.12	MCM7 SORBI_3008G129200
A0A1B6PDT2	Diacylglycerol kinase, DAG kinase, EC 2.7.1.107	SORBI_3008G140400
A0A1B6PF25	Uridine kinase, EC 2.7.1.48	SORBI_3008G190400
A0A1B6PGJ1	PI3K/PI4K catalytic domain-containing protein	SORBI_3007G088100
A0A1B6PGM0	Aspartate carbamoyltransferase, EC 2.1.3.2	SORBI_3007G092200
A0A1B6PGP3	Xyloglucan endotransglucosylase/hydrolase, EC 2.4.1.207	SORBI_3007G085500
A0A1B6PGV5	Glucose-1-phosphate adenylyltransferase, EC 2.7.7.27 (ADP-glucose pyrophosphorylase)	SORBI_3007G101500
A0A1B6PHW7	ATP-dependent 6-phosphofructokinase, ATP-PFK, Phosphofructokinase, EC 2.7.1.11 (Phosphohexokinase)	PFK SORBI_3007G139500
A0A1B6PL07	DNA replication licensing factor MCM3, EC 3.6.4.12	SORBI_3006G087500
A0A1B6PLA9	Glutathione hydrolase, EC 2.3.2.2, EC 3.4.19.13 (Gamma-glutamyltransferase) (Gamma-glutamyltranspeptidase)	SORBI_3006G104300
A0A1B6PLE8	Peroxidase, EC 1.11.1.7	SORBI_3006G110700
A0A1B6PLH0	Small nuclear ribonucleoprotein Sm D1 (snRNP core protein D1)	SORBI_3006G115000
A0A1B6PLV9	Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase, EC 2.4.1.256	SORBI_3006G138600
A0A1B6PMV7	Poly(A) polymerase, EC 2.7.7.19	SORBI_3006G195600
A0A1B6PMW5	DNA replication ATP-dependent helicase/nuclease, EC 3.1.-.-, EC 3.6.4.12	SORBI_3006G195500
A0A1B6PNE9	Receptor-like serine/threonine-protein kinase, EC 2.7.11.1	SORBI_3006G229200
A0A1B6PNF5	Receptor-like serine/threonine-protein kinase, EC 2.7.11.1	SORBI_3006G229800
A0A1B6PNG4	Receptor-like serine/threonine-protein kinase, EC 2.7.11.1	SORBI_3006G229300
A0A1B6PNI1	Phytoene dehydrogenase, EC 1.3.5.5	SORBI_3006G232600
A0A1B6PNN0	Protein kinase domain-containing protein	SORBI_3006G243700
A0A1B6PNY2	Ubiquinol oxidase, EC 1.10.3.11	SORBI_3006G258800
A0A1B6PP24	Anamorsin homolog (Fe-S cluster assembly protein DRE2 homolog)	SORBI_3006G264300
A0A1B6PQF9	ABC transporter domain-containing protein	SORBI_3005G061000
A0A1B6PQR2	Protein disulfide-isomerase, EC 5.3.4.1	SORBI_3005G074400
A0A1B6PQY0	Pectinesterase, EC 3.1.1.11	SORBI_3005G082100
A0A1B6PRD6	Methylthioribose-1-phosphate isomerase, M1Pi, MTR-1-P isomerase, EC 5.3.1.23 (S-methyl-5-thioribose-1-phosphate isomerase) (Translation initiation factor eIF-2B subunit alpha/beta/delta-like protein)	SORBI_3005G100800
A0A1B6PRF6	Methylthioribose-1-phosphate isomerase, M1Pi, MTR-1-P isomerase, EC 5.3.1.23 (S-methyl-5-thioribose-1-phosphate isomerase) (Translation initiation factor eIF-2B subunit alpha/beta/delta-like protein)	SORBI_3005G100800
A0A1B6PRJ3	ATP-dependent (S)-NAD(P)H-hydrate dehydratase, EC 4.2.1.93 (ATP-dependent NAD(P)HX dehydratase)	SORBI_3005G106900
A0A1B6PRT5	Bifunctional dihydrofolate reductase-thymidylate synthase	SORBI_3005G115500
A0A1B6PSN0	S-acyltransferase, EC 2.3.1.225 (Palmitoyltransferase)	SORBI_3005G149500
A0A1B6PST5	Laccase, EC 1.10.3.2 (Benzenediol:oxygen oxidoreductase) (Diphenol oxidase) (Urishiol oxidase)	SORBI_3005G156700
A0A1B6PT00	Laccase, EC 1.10.3.2 (Benzenediol:oxygen oxidoreductase) (Diphenol oxidase) (Urishiol oxidase)	SORBI_3005G163800
A0A1B6PT98	Protein kinase domain-containing protein	SORBI_3005G181200
A0A1B6Q0Q2	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial, EC 2.1.1.201 (Ubiquinone biosynthesis methyltransferase COQ5)	COQ5 SORBI_3003G009300
A0A1B6Q0T3	Receptor-like serine/threonine-protein kinase, EC 2.7.11.1	SORBI_3003G012900
A0A1B6Q1D8	Cellulose synthase, EC 2.4.1.12	SORBI_3003G049600
A0A1B6Q1S3	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase, EC 4.2.1.134	SORBI_3003G071300
A0A1B6Q1S6	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase, EC 4.2.1.134	SORBI_3003G071100
A0A1B6Q1S9	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase, EC 4.2.1.134	SORBI_3003G071400
A0A1B6Q1T2	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase, EC 4.2.1.134	SORBI_3003G071300
A0A1B6Q259	Mannose-6-phosphate isomerase, EC 5.3.1.8	SORBI_3003G087900
A0A1B6Q2T8	Rab escort protein 1	SORBI_3003G126600
A0A1B6Q328	Peroxidase, EC 1.11.1.7	SORBI_3003G140200
A0A1B6Q3B4	S-adenosylmethionine synthase, EC 2.5.1.6	SORBI_3003G151600
A0A1B6Q3L7	Uncharacterized protein	SORBI_3003G158300
A0A1B6Q4E8	Helicase ATP-binding domain-containing protein	SORBI_3003G205100
A0A1B6Q5E4	ATP synthase subunit beta, EC 7.1.2.2	SORBI_3003G260600
A0A1B6Q5I4	DNA ligase, EC 6.5.1.1	SORBI_3003G260400
A0A1B6Q6I4	Receptor-like serine/threonine-protein kinase, EC 2.7.11.1	SORBI_3003G319400
A0A1B6Q6J1	Receptor-like serine/threonine-protein kinase, EC 2.7.11.1	SORBI_3003G319500
A0A1B6Q6P2	Vacuolar protein-sorting-associated protein 36 (ESCRT-II complex subunit VPS36)	SORBI_3003G332500
A0A1B6Q6S1	Phosphoglycerate mutase (2,3-diphosphoglycerate-independent), EC 5.4.2.12	SORBI_3003G336000
A0A1B6Q6Y5	AAA domain-containing protein	SORBI_3003G352900
A0A1B6Q707	Delta-1-pyrroline-5-carboxylate synthase [Includes: Glutamate 5-kinase, GK, EC 2.7.2.11 (Gamma-glutamyl kinase); Gamma-glutamyl phosphate reductase, GPR, EC 1.2.1.41 (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase) ]	SORBI_3003G356000
A0A1B6Q755	Uricase, EC 1.7.3.3 (Urate oxidase)	SORBI_3003G366400
A0A1B6Q7F8	Non-specific serine/threonine protein kinase, EC 2.7.11.1	SORBI_3003G382500
A0A1B6Q7W5	Transcription and mRNA export factor ENY2 (Enhancer of yellow 2 transcription factor homolog)	SORBI_3003G404300
A0A1B6Q869	Uridine 5'-monophosphate synthase, EC 2.4.2.10, EC 4.1.1.23	SORBI_3003G427200
A0A1B6Q8C2	Non-specific serine/threonine protein kinase, EC 2.7.11.1	SORBI_3003G435200
A0A1B6Q8T8	Protein kinase domain-containing protein	SORBI_3002G024000
A0A1B6Q8W1	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha, PFP (6-phosphofructokinase, pyrophosphate dependent) (PPi-PFK) (Pyrophosphate-dependent 6-phosphofructose-1-kinase)	PFP-ALPHA SORBI_3002G026300
A0A1B6Q8Y3	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial, EC 1.3.5.1	SORBI_3002G028700
A0A1B6Q9T0	Zeta-carotene desaturase, EC 1.3.5.6 (9,9'-di-cis-zeta-carotene desaturase)	SORBI_3002G072400
A0A1B6QA55	Amine oxidase, EC 1.4.3.-	SORBI_3002G096000
A0A1B6QAL7	Poly [ADP-ribose] polymerase, EC 2.4.2.30	SORBI_3002G116300
A0A1B6QAN4	Cellulose synthase, EC 2.4.1.12	SORBI_3002G118700
A0A1B6QAN8	Cellulose synthase, EC 2.4.1.12	SORBI_3002G118700
A0A1B6QAN9	Cellulose synthase, EC 2.4.1.12	SORBI_3002G118700
A0A1B6QB30	Manganese-dependent ADP-ribose/CDP-alcohol diphosphatase, EC 3.6.1.13, EC 3.6.1.16, EC 3.6.1.53 (ADPRibase-Mn) (CDP-choline phosphohydrolase)	SORBI_3002G132300
A0A1B6QBJ7	Receptor-like serine/threonine-protein kinase, EC 2.7.11.1	SORBI_3002G154300
A0A1B6QBQ9	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha, PFP (6-phosphofructokinase, pyrophosphate dependent) (PPi-PFK) (Pyrophosphate-dependent 6-phosphofructose-1-kinase)	PFP-ALPHA SORBI_3002G160300
A0A1B6QBX3	Receptor-like serine/threonine-protein kinase, EC 2.7.11.1	SORBI_3002G170300
A0A1B6QC58	Alpha-amylase, EC 3.2.1.1	SORBI_3002G184500
A0A1B6QCE9	Ubiquitin receptor RAD23 (DNA repair protein RAD23)	SORBI_3002G197100
A0A1B6QCT4	Gamma-tubulin complex component	SORBI_3002G219900
A0A1B6QDA6	Eukaryotic translation initiation factor 3 subunit C, eIF3c (Eukaryotic translation initiation factor 3 subunit 8) (eIF3 p110)	SORBI_3002G246700
A0A1B6QDE1	Protein kinase domain-containing protein	SORBI_3002G249700
A0A1B6QDZ0	Receptor-like serine/threonine-protein kinase, EC 2.7.11.1	SORBI_3002G288500
A0A1B6QDZ9	Non-specific serine/threonine protein kinase, EC 2.7.11.1	SORBI_3002G289900
A0A1B6QE00	Receptor-like serine/threonine-protein kinase, EC 2.7.11.1	SORBI_3002G289400
A0A1B6QE31	RBR-type E3 ubiquitin transferase, EC 2.3.2.31	SORBI_3002G295200
A0A1B6QEJ2	HRDC domain-containing protein	SORBI_3002G316800
A0A1B6QEM0	Xyloglucan endotransglucosylase/hydrolase, EC 2.4.1.207	SORBI_3002G324100
A0A1B6QEU8	Receptor-like serine/threonine-protein kinase, EC 2.7.11.1	SORBI_3002G333300
A0A1B6QF30	Protein kinase domain-containing protein	SORBI_3002G345100
A0A1B6QF74	Succinate--CoA ligase [ADP-forming] subunit alpha, mitochondrial, EC 6.2.1.5 (Succinyl-CoA synthetase subunit alpha, SCS-alpha)	SORBI_3002G352200
A0A1B6QFT1	Peroxidase, EC 1.11.1.7	SORBI_3002G392000
