Uniprot_arabadopsis	Uniprot_cerevisiae	AlphaFold_arabadopsis	AlphaFold_cerevisiae	diamond_value	diamond_score	fatcat_value	fatcat_score	foldseek_value	foldseek_score	platinum
B3H5K3	Q04264	AF-B3H5K3-F1-model_v3	AF-Q04264-F1-model_v3	7.0e-26	114.4	2.98e-13	2333.01	1.343E-30	2086	platinum
B3H6K1	P47026	AF-B3H6K1-F1-model_v3	AF-P47026-F1-model_v3	6.5e-54	185.3	0.00e+00	942.96	2.843E-19	1136	platinum
B3H7H1	P32502	AF-B3H7H1-F1-model_v3	AF-P32502-F1-model_v3	7.5e-51	173.7	1.11e-16	828.85	1.298E-29	1436	platinum
B5BT18	P32333	AF-B5BT18-F1-model_v3	AF-P32333-F1-model_v3	9.1e-283	874.8	0.00e+00	3599.17	7.017E-101	6122	platinum
D1KF50	P12954	AF-D1KF50-F1-model_v3	AF-P12954-F1-model_v3	4.6e-32	133.7	2.30e-07	1408.06	1.748E-32	1749	platinum
F4HPA7	Q06213	AF-F4HPA7-F1-model_v3	AF-Q06213-F1-model_v3	5.9e-09	50.8	1.55e-15	389.82	3.246E-06	272	platinum
F4HQ84	P40094	AF-F4HQ84-F1-model_v3	AF-P40094-F1-model_v3	4.7e-45	171.8	4.13e-13	1498.37	6.721E-26	1466	platinum
F4HTM3	P53008	AF-F4HTM3-F1-model_v3	AF-P53008-F1-model_v3	3.5e-89	298.9	0.00e+00	1571.02	2.772E-55	2645	platinum
F4HTQ1	P25375	AF-F4HTQ1-F1-model_v3	AF-P25375-F1-model_v3	5.7e-75	254.2	0.00e+00	1745.30	6.277E-43	2322	platinum
F4HVJ3	P40085	AF-F4HVJ3-F1-model_v3	AF-P40085-F1-model_v3	8.3e-29	119.0	9.43e-14	966.63	1.552E-17	991	platinum
F4HVV6	P25655	AF-F4HVV6-F1-model_v3	AF-P25655-F1-model_v3	6.0e-66	247.3	4.53e-07	3601.83	1.035E-64	4097	platinum
F4HXZ8	Q08634	AF-F4HXZ8-F1-model_v3	AF-Q08634-F1-model_v3	7.7e-19	83.6	0.00e+00	523.77	5.505E-16	710	platinum
F4HZG9	P40051	AF-F4HZG9-F1-model_v3	AF-P40051-F1-model_v3	2.4e-84	267.7	0.00e+00	1159.74	9.866E-47	1915	platinum
F4I116	P26637	AF-F4I116-F1-model_v3	AF-P26637-F1-model_v3	4.3e-287	830.5	0.00e+00	2611.16	9.233E-102	5115	platinum
F4I366	P22138	AF-F4I366-F1-model_v3	AF-P22138-F1-model_v3	5.0e-278	814.3	0.00e+00	2871.61	0.000E+00	6033	platinum
F4I448	P39682	AF-F4I448-F1-model_v3	AF-P39682-F1-model_v3	2.3e-20	94.0	NA	NA	NA	NA	silver
F4I4Q1	P10962	AF-F4I4Q1-F1-model_v3	AF-P10962-F1-model_v3	8.6e-63	199.1	8.40e-10	635.75	7.858E-24	950	platinum
F4I5S3	P49956	AF-F4I5S3-F1-model_v3	AF-P49956-F1-model_v3	7.5e-44	168.7	1.62e-09	1229.12	8.711E-35	1584	platinum
F4I893	P33892	AF-F4I893-F1-model_v3	AF-P33892-F1-model_v3	1.5e-229	761.9	1.22e-15	5751.85	4.951E-104	6343	platinum
F4I9M9	P39708	AF-F4I9M9-F1-model_v3	AF-P39708-F1-model_v3	4.2e-102	316.6	0.00e+00	1087.85	2.001E-40	1998	platinum
F4I9T0	P25356	AF-F4I9T0-F1-model_v3	AF-P25356-F1-model_v3	2.5e-86	314.3	1.34e-05	1775.95	6.803E-61	3948	platinum
F4IAE9	P40340	AF-F4IAE9-F1-model_v3	AF-P40340-F1-model_v3	8.5e-131	432.6	1.97e-08	1900.05	7.975E-64	3150	platinum
F4IBV4	P43636	AF-F4IBV4-F1-model_v3	AF-P43636-F1-model_v3	5.4e-91	281.6	0.00e+00	1004.34	5.367E-40	1813	platinum
F4IC59	P15019	AF-F4IC59-F1-model_v3	AF-P15019-F1-model_v3	1.7e-47	164.1	0.00e+00	762.62	2.099E-24	1154	platinum
F4IDC2	Q12176	AF-F4IDC2-F1-model_v3	AF-Q12176-F1-model_v3	3.8e-60	221.9	1.65e-09	1485.44	5.218E-28	1750	platinum
F4IDS7	P27801	AF-F4IDS7-F1-model_v3	AF-P27801-F1-model_v3	2.9e-53	199.5	0.00e+00	1944.90	1.376E-43	2422	platinum
F4IEX1	Q3E731	AF-F4IEX1-F1-model_v3	AF-Q3E731-F1-model_v3	4.7e-14	60.8	4.64e-05	176.17	1.167E-04	211	platinum
F4IH25	Q04660	AF-F4IH25-F1-model_v3	AF-Q04660-F1-model_v3	2.0e-152	462.2	9.64e-13	1613.34	NA	NA	gold
F4IHU8	Q12754	AF-F4IHU8-F1-model_v3	AF-Q12754-F1-model_v3	2.4e-58	218.8	5.50e-12	2346.54	1.540E-33	2247	platinum
F4II36	Q06554	AF-F4II36-F1-model_v3	AF-Q06554-F1-model_v3	5.6e-29	124.8	2.79e-10	1909.70	3.003E-45	2322	platinum
F4II66	P40217	AF-F4II66-F1-model_v3	AF-P40217-F1-model_v3	8.5e-85	258.8	0.00e+00	905.62	1.182E-38	1822	platinum
F4IJJ8	P40367	AF-F4IJJ8-F1-model_v3	AF-P40367-F1-model_v3	3.5e-59	216.1	NA	NA	6.629E-40	2246	gold
F4IPL5	P43564	AF-F4IPL5-F1-model_v3	AF-P43564-F1-model_v3	1.3e-39	154.5	2.73e-04	853.28	NA	NA	gold
F4IPY2	P53852	AF-F4IPY2-F1-model_v3	AF-P53852-F1-model_v3	2.7e-62	216.9	3.21e-11	1060.67	2.797E-36	1779	platinum
F4IUX6	P38798	AF-F4IUX6-F1-model_v3	AF-P38798-F1-model_v3	3.5e-68	248.1	4.62e-08	1931.00	NA	NA	gold
F4IUY8	Q12049	AF-F4IUY8-F1-model_v3	AF-Q12049-F1-model_v3	7.2e-31	125.6	NA	NA	1.249E-18	1010	gold
F4IV99	P32657	AF-F4IV99-F1-model_v3	AF-P32657-F1-model_v3	1.9e-196	625.2	5.54e-10	2464.44	1.708E-85	4335	platinum
F4IVI0	P41695	AF-F4IVI0-F1-model_v3	AF-P41695-F1-model_v3	8.8e-53	191.0	1.44e-09	843.70	NA	NA	gold
F4IVJ8	P38737	AF-F4IVJ8-F1-model_v3	AF-P38737-F1-model_v3	1.9e-90	325.5	0.00e+00	3672.37	2.004E-54	3678	platinum
F4IWG2	P43571	AF-F4IWG2-F1-model_v3	AF-P43571-F1-model_v3	1.7e-38	154.1	8.77e-15	1701.58	1.123E-46	2293	platinum
F4IXJ7	P38782	AF-F4IXJ7-F1-model_v3	AF-P38782-F1-model_v3	9.1e-04	38.1	3.77e-05	333.15	NA	NA	gold
F4IYF8	P07263	AF-F4IYF8-F1-model_v3	AF-P07263-F1-model_v3	2.8e-125	387.1	0.00e+00	1178.41	1.335E-39	2297	platinum
F4IYK6	Q02932	AF-F4IYK6-F1-model_v3	AF-Q02932-F1-model_v3	1.5e-36	147.5	0.00e+00	2187.88	4.999E-31	2103	platinum
F4J2T9	P53893	AF-F4J2T9-F1-model_v3	AF-P53893-F1-model_v3	8.1e-199	600.9	0.00e+00	2112.46	4.956E-95	4296	platinum
F4J355	P40347	AF-F4J355-F1-model_v3	AF-P40347-F1-model_v3	5.7e-23	90.1	0.00e+00	419.38	9.726E-16	641	platinum
F4J3A9	P40160	AF-F4J3A9-F1-model_v3	AF-P40160-F1-model_v3	2.3e-89	276.9	0.00e+00	913.36	1.023E-36	1604	platinum
F4J3Q1	Q12429	AF-F4J3Q1-F1-model_v3	AF-Q12429-F1-model_v3	1.5e-78	263.5	0.00e+00	1288.79	2.135E-54	2267	platinum
F4J4C8	P20048	AF-F4J4C8-F1-model_v3	AF-P20048-F1-model_v3	9.5e-25	105.9	1.31e-10	1012.24	1.357E-11	783	platinum
F4J5D3	P42846	AF-F4J5D3-F1-model_v3	AF-P42846-F1-model_v3	2.0e-05	45.4	1.46e-02	582.36	4.365E-11	511	platinum
F4J6A8	P32527	AF-F4J6A8-F1-model_v3	AF-P32527-F1-model_v3	1.6e-29	119.8	1.75e-09	856.36	1.296E-14	819	platinum
F4J6I6	P53318	AF-F4J6I6-F1-model_v3	AF-P53318-F1-model_v3	2.0e-53	185.7	1.11e-16	1008.72	6.260E-41	1711	platinum
F4J6X3	P34220	AF-F4J6X3-F1-model_v3	AF-P34220-F1-model_v3	6.8e-43	151.0	0.00e+00	751.45	1.137E-32	1363	platinum
F4J9E4	Q06090	AF-F4J9E4-F1-model_v3	AF-Q06090-F1-model_v3	2.0e-08	48.1	1.11e-16	281.61	2.961E-10	402	platinum
F4JAA5	P35207	AF-F4JAA5-F1-model_v3	AF-P35207-F1-model_v3	6.2e-223	679.9	8.28e-12	2572.28	3.437E-87	4584	platinum
F4JEP5	Q12175	AF-F4JEP5-F1-model_v3	AF-Q12175-F1-model_v3	8.3e-64	228.4	0.00e+00	1644.03	8.476E-52	2414	platinum
F4JG68	Q12383	AF-F4JG68-F1-model_v3	AF-Q12383-F1-model_v3	4.6e-39	145.2	2.16e-11	718.45	1.973E-27	1226	platinum
F4JHI1	Q04500	AF-F4JHI1-F1-model_v3	AF-Q04500-F1-model_v3	1.0e-38	153.3	5.39e-03	995.44	NA	NA	gold
F4JJT9	P15179	AF-F4JJT9-F1-model_v3	AF-P15179-F1-model_v3	1.0e-74	251.1	0.00e+00	1150.80	1.717E-49	2153	platinum
F4JKK0	P40318	AF-F4JKK0-F1-model_v3	AF-P40318-F1-model_v3	6.4e-17	84.3	1.72e-06	1624.80	NA	NA	gold
F4JLM5	P09436	AF-F4JLM5-F1-model_v3	AF-P09436-F1-model_v3	0.0e+00	1086.6	0.00e+00	2864.83	0.000E+00	6120	platinum
F4JNY0	P38207	AF-F4JNY0-F1-model_v3	AF-P38207-F1-model_v3	1.6e-23	102.4	4.55e-09	712.12	NA	NA	gold
F4JP86	Q07527	AF-F4JP86-F1-model_v3	AF-Q07527-F1-model_v3	9.2e-34	140.6	1.35e-09	2188.86	1.834E-23	1585	platinum
F4JQ90	Q04585	AF-F4JQ90-F1-model_v3	AF-Q04585-F1-model_v3	3.0e-114	354.4	0.00e+00	1402.95	NA	NA	gold
F4JSC0	P21304	AF-F4JSC0-F1-model_v3	AF-P21304-F1-model_v3	5.3e-41	153.3	6.60e-11	884.57	1.442E-41	1818	platinum
F4JSF8	P32581	AF-F4JSF8-F1-model_v3	AF-P32581-F1-model_v3	1.1e-58	202.2	NA	NA	4.461E-29	1241	gold
F4JT92	Q06106	AF-F4JT92-F1-model_v3	AF-Q06106-F1-model_v3	3.9e-113	363.6	5.78e-08	1480.25	NA	NA	gold
F4JTD2	P25582	AF-F4JTD2-F1-model_v3	AF-P25582-F1-model_v3	2.2e-101	331.3	1.61e-05	1495.39	1.000E-54	2186	platinum
F4JTN1	Q12200	AF-F4JTN1-F1-model_v3	AF-Q12200-F1-model_v3	2.7e-165	523.1	0.00e+00	2682.27	2.239E-78	4406	platinum
F4JUL9	P33204	AF-F4JUL9-F1-model_v3	AF-P33204-F1-model_v3	1.6e-64	193.7	0.00e+00	488.32	8.236E-24	946	platinum
F4JVA4	P46678	AF-F4JVA4-F1-model_v3	AF-P46678-F1-model_v3	9.5e-07	49.7	1.12e-02	618.09	4.294E-04	208	platinum
F4JWB3	P47147	AF-F4JWB3-F1-model_v3	AF-P47147-F1-model_v3	2.2e-63	224.2	8.83e-10	1119.33	1.014E-42	1903	platinum
F4JXF9	P04051	AF-F4JXF9-F1-model_v3	AF-P04051-F1-model_v3	0.0e+00	1146.7	0.00e+00	3638.90	0.000E+00	7321	platinum
F4JY24	Q08773	AF-F4JY24-F1-model_v3	AF-Q08773-F1-model_v3	1.1e-268	783.5	3.33e-16	2297.60	2.307E-86	4298	platinum
F4JYE9	Q12676	AF-F4JYE9-F1-model_v3	AF-Q12676-F1-model_v3	1.9e-32	127.1	0.00e+00	908.89	3.909E-32	1433	platinum
F4JZM4	P39012	AF-F4JZM4-F1-model_v3	AF-P39012-F1-model_v3	1.6e-27	115.9	0.00e+00	1179.13	6.723E-28	1529	platinum
F4JZT3	Q07084	AF-F4JZT3-F1-model_v3	AF-Q07084-F1-model_v3	7.2e-13	62.4	NA	NA	NA	NA	silver
F4JZZ1	P10363	AF-F4JZZ1-F1-model_v3	AF-P10363-F1-model_v3	6.4e-78	246.5	0.00e+00	976.61	2.293E-32	1541	platinum
F4K1U5	P36149	AF-F4K1U5-F1-model_v3	AF-P36149-F1-model_v3	3.0e-50	159.5	0.00e+00	460.97	1.227E-18	779	platinum
F4K2E9	P15938	AF-F4K2E9-F1-model_v3	AF-P15938-F1-model_v3	1.8e-252	746.5	3.81e-11	2190.70	9.039E-93	4106	platinum
F4K459	Q8TGJ3	AF-F4K459-F1-model_v3	AF-Q8TGJ3-F1-model_v3	5.2e-08	43.9	5.73e-05	134.43	NA	NA	gold
F4K5S0	P48563	AF-F4K5S0-F1-model_v3	AF-P48563-F1-model_v3	5.0e-32	134.8	2.22e-16	2590.69	9.326E-31	2154	platinum
F4K687	P53204	AF-F4K687-F1-model_v3	AF-P53204-F1-model_v3	3.0e-55	179.9	0.00e+00	620.91	2.816E-25	989	platinum
F4KAB8	P53091	AF-F4KAB8-F1-model_v3	AF-P53091-F1-model_v3	5.7e-208	615.1	2.22e-16	1891.45	1.157E-86	3785	platinum
F4KB73	P40468	AF-F4KB73-F1-model_v3	AF-P40468-F1-model_v3	5.6e-29	125.6	2.55e-15	3453.60	NA	NA	gold
F4KD38	P22276	AF-F4KD38-F1-model_v3	AF-P22276-F1-model_v3	0.0e+00	1219.9	0.00e+00	3079.37	0.000E+00	7143	platinum
F4KD71	P33413	AF-F4KD71-F1-model_v3	AF-P33413-F1-model_v3	1.2e-149	451.1	0.00e+00	1746.59	2.255E-47	2780	platinum
F4KDA5	P35999	AF-F4KDA5-F1-model_v3	AF-P35999-F1-model_v3	1.6e-91	300.1	NA	NA	1.433E-41	2335	gold
F4KDH9	P45976	AF-F4KDH9-F1-model_v3	AF-P45976-F1-model_v3	1.4e-07	52.8	4.27e-01	377.49	4.260E-04	181	platinum
F4KEV7	P49775	AF-F4KEV7-F1-model_v3	AF-P49775-F1-model_v3	7.0e-25	94.0	4.05e-07	344.92	1.205E-13	549	platinum
F4KFG2	Q12094	AF-F4KFG2-F1-model_v3	AF-Q12094-F1-model_v3	1.5e-54	176.8	5.91e-09	574.99	2.750E-27	1042	platinum
F4KFV7	P32580	AF-F4KFV7-F1-model_v3	AF-P32580-F1-model_v3	1.6e-99	322.4	3.87e-13	1455.22	9.219E-48	2319	platinum
F4KG91	P48365	AF-F4KG91-F1-model_v3	AF-P48365-F1-model_v3	3.8e-51	188.0	1.37e-09	1080.33	6.194E-25	1389	platinum
F4KGY0	Q07830	AF-F4KGY0-F1-model_v3	AF-Q07830-F1-model_v3	2.7e-56	209.1	0.00e+00	1861.50	4.407E-37	2144	platinum
F4KH86	Q9URQ3	AF-F4KH86-F1-model_v3	AF-Q9URQ3-F1-model_v3	9.5e-10	57.4	5.44e-05	418.48	4.798E-16	662	platinum
I3XHK1	P40562	AF-I3XHK1-F1-model_v3	AF-P40562-F1-model_v3	2.5e-84	296.2	1.26e-07	1443.78	1.270E-52	2241	platinum
O04005	P34227	AF-O04005-F1-model_v3	AF-P34227-F1-model_v3	2.6e-58	183.0	0.00e+00	537.24	1.890E-29	1157	platinum
O04173	Q12030	AF-O04173-F1-model_v3	AF-Q12030-F1-model_v3	1.4e-19	78.6	1.25e-07	247.40	NA	NA	gold
O04212	Q06567	AF-O04212-F1-model_v3	AF-Q06567-F1-model_v3	4.2e-65	219.9	0.00e+00	1260.44	1.490E-34	1706	platinum
O04265	Q12003	AF-O04265-F1-model_v3	AF-Q12003-F1-model_v3	3.6e-31	119.0	0.00e+00	738.74	5.339E-27	1175	platinum
O04350	P48606	AF-O04350-F1-model_v3	AF-P48606-F1-model_v3	6.1e-10	50.4	0.00e+00	268.22	3.857E-04	219	platinum
O04450	P40413	AF-O04450-F1-model_v3	AF-P40413-F1-model_v3	4.2e-214	603.2	0.00e+00	1516.29	1.062E-68	3326	platinum
O04619	Q12251	AF-O04619-F1-model_v3	AF-Q12251-F1-model_v3	1.6e-66	211.1	NA	NA	2.789E-18	1061	gold
O04630	P04801	AF-O04630-F1-model_v3	AF-P04801-F1-model_v3	1.1e-262	740.3	0.00e+00	1897.57	2.540E-99	4289	platinum
O04716	Q03834	AF-O04716-F1-model_v3	AF-Q03834-F1-model_v3	4.0e-147	476.9	0.00e+00	2616.21	NA	NA	gold
O04848	P04912	AF-O04848-F1-model_v3	AF-P04912-F1-model_v3	2.7e-57	172.9	NA	NA	NA	NA	silver
O04983	P11154	AF-O04983-F1-model_v3	AF-P11154-F1-model_v3	1.2e-115	367.5	NA	NA	2.047E-59	2463	gold
O22145	P43122	AF-O22145-F1-model_v3	AF-P43122-F1-model_v3	1.4e-35	134.8	2.11e-15	799.49	2.741E-28	1238	platinum
O22165	Q07915	AF-O22165-F1-model_v3	AF-Q07915-F1-model_v3	4.7e-45	144.8	0.00e+00	401.20	8.274E-16	588	platinum
O22268	P41819	AF-O22268-F1-model_v3	AF-P41819-F1-model_v3	4.1e-107	314.7	0.00e+00	807.67	1.144E-44	1778	platinum
O22287	P41940	AF-O22287-F1-model_v3	AF-P41940-F1-model_v3	2.2e-139	398.7	0.00e+00	1041.03	3.065E-50	2249	platinum
O22806	P47074	AF-O22806-F1-model_v3	AF-P47074-F1-model_v3	1.5e-20	91.3	5.59e-06	581.15	NA	NA	gold
O22854	Q08822	AF-O22854-F1-model_v3	AF-Q08822-F1-model_v3	1.8e-178	518.8	0.00e+00	1511.06	1.068E-76	3179	platinum
O22886	P32347	AF-O22886-F1-model_v3	AF-P32347-F1-model_v3	5.0e-74	233.0	0.00e+00	939.60	4.566E-37	1602	platinum
O23049	P32904	AF-O23049-F1-model_v3	AF-P32904-F1-model_v3	4.1e-28	104.0	0.00e+00	486.47	5.041E-20	865	platinum
O23138	P00045	AF-O23138-F1-model_v3	AF-P00045-F1-model_v3	1.4e-43	136.3	0.00e+00	309.20	8.471E-17	620	platinum
O23184	P06704	AF-O23184-F1-model_v3	AF-P06704-F1-model_v3	1.1e-34	117.5	NA	NA	NA	NA	silver
O23217	P53860	AF-O23217-F1-model_v3	AF-P53860-F1-model_v3	7.7e-25	100.1	NA	NA	NA	NA	silver
O23238	P53163	AF-O23238-F1-model_v3	AF-P53163-F1-model_v3	2.4e-26	97.4	9.37e-09	393.90	3.338E-15	592	platinum
O23240	P46681	AF-O23240-F1-model_v3	AF-P46681-F1-model_v3	1.1e-174	502.7	0.00e+00	1375.36	4.838E-68	2799	platinum
O23290	P0CX28	AF-O23290-F1-model_v3	AF-P0CX28-F1-model_v3	8.7e-55	164.1	0.00e+00	310.87	2.178E-15	619	platinum
O23429	P31109	AF-O23429-F1-model_v3	AF-P31109-F1-model_v3	1.3e-11	57.8	NA	NA	NA	NA	silver
O23514	P53178	AF-O23514-F1-model_v3	AF-P53178-F1-model_v3	1.7e-18	77.0	3.62e-14	353.62	2.633E-13	532	platinum
O23515	P54780	AF-O23515-F1-model_v3	AF-P54780-F1-model_v3	1.4e-105	300.4	0.00e+00	586.53	7.721E-35	1343	platinum
O23627	P38088	AF-O23627-F1-model_v3	AF-P38088-F1-model_v3	4.8e-192	559.3	0.00e+00	1747.44	1.180E-77	3494	platinum
O23647	P32775	AF-O23647-F1-model_v3	AF-P32775-F1-model_v3	1.1e-244	699.1	0.00e+00	1862.23	1.235E-98	4155	platinum
O23654	P17255	AF-O23654-F1-model_v3	AF-P17255-F1-model_v3	2.9e-198	583.9	0.00e+00	1231.02	9.600E-83	3534	platinum
O23715	P21242	AF-O23715-F1-model_v3	AF-P21242-F1-model_v3	1.2e-74	226.9	0.00e+00	654.65	2.500E-32	1343	platinum
O24496	Q05584	AF-O24496-F1-model_v3	AF-Q05584-F1-model_v3	1.3e-43	147.1	0.00e+00	574.33	1.071E-26	1085	platinum
O24617	P25847	AF-O24617-F1-model_v3	AF-P25847-F1-model_v3	1.7e-187	564.3	0.00e+00	2296.46	5.858E-89	4207	platinum
O48520	P46957	AF-O48520-F1-model_v3	AF-P46957-F1-model_v3	4.2e-66	217.6	0.00e+00	947.85	1.213E-43	1790	platinum
O48549	P0CX38	AF-O48549-F1-model_v3	AF-P0CX38-F1-model_v3	1.4e-81	242.7	NA	NA	5.366E-31	1235	gold
O48593	P25345	AF-O48593-F1-model_v3	AF-P25345-F1-model_v3	8.8e-87	275.8	0.00e+00	1070.16	1.006E-47	2021	platinum
O48671	P25560	AF-O48671-F1-model_v3	AF-P25560-F1-model_v3	9.2e-55	170.6	0.00e+00	464.28	4.302E-15	662	platinum
O48696	P40151	AF-O48696-F1-model_v3	AF-P40151-F1-model_v3	2.4e-106	328.2	6.44e-12	1092.41	1.560E-40	1894	platinum
O49048	P38932	AF-O49048-F1-model_v3	AF-P38932-F1-model_v3	2.2e-107	332.0	0.00e+00	1372.49	2.325E-47	2245	platinum
O49289	Q12389	AF-O49289-F1-model_v3	AF-Q12389-F1-model_v3	3.6e-141	441.4	4.40e-07	1428.36	3.814E-56	2437	platinum
O49336	Q08484	AF-O49336-F1-model_v3	AF-Q08484-F1-model_v3	2.1e-96	300.8	4.06e-06	822.18	7.541E-26	1504	platinum
O49354	P27680	AF-O49354-F1-model_v3	AF-P27680-F1-model_v3	6.0e-30	114.0	9.76e-13	594.72	1.204E-24	978	platinum
O49378	Q03730	AF-O49378-F1-model_v3	AF-Q03730-F1-model_v3	1.9e-50	172.6	2.29e-13	810.47	9.474E-19	1056	platinum
O49513	P51996	AF-O49513-F1-model_v3	AF-P51996-F1-model_v3	6.1e-86	251.9	NA	NA	NA	NA	silver
O49543	P25374	AF-O49543-F1-model_v3	AF-P25374-F1-model_v3	4.5e-181	513.5	0.00e+00	1197.04	1.683E-64	2726	platinum
O49553	P25337	AF-O49553-F1-model_v3	AF-P25337-F1-model_v3	5.9e-53	162.9	0.00e+00	376.60	4.639E-17	726	platinum
O49596	Q02486	AF-O49596-F1-model_v3	AF-Q02486-F1-model_v3	4.8e-12	58.5	NA	NA	NA	NA	silver
O49636	P53311	AF-O49636-F1-model_v3	AF-P53311-F1-model_v3	5.1e-27	95.1	NA	NA	NA	NA	silver
