Uniprot_arabadopsis	Uniprot_arabadopsis	AlphaFold_arabadopsis	AlphaFold_arabadopsis	diamond_value	diamond_score	fatcat_value	fatcat_score	foldseek_value	foldseek_score	platinum
A0A1P8AWG3	Q8RX69	AF-A0A1P8AWG3-F1-model_v3	AF-Q8RX69-F1-model_v3	1.2e-150	441.0	9.34e-14	1011.29	9.296E-51	2132	platinum
A0A1P8AWZ6	Q8L8X4	AF-A0A1P8AWZ6-F1-model_v3	AF-Q8L8X4-F1-model_v3	6.8e-13	65.5	4.17e-02	240.38	NA	NA	gold
A0A1P8AX71	F4KED4	AF-A0A1P8AX71-F1-model_v3	AF-F4KED4-F1-model_v3	5.0e-10	50.8	4.54e-05	139.52	NA	NA	gold
A0A1P8AXM6	A0A1P8B1T6	AF-A0A1P8AXM6-F1-model_v3	AF-A0A1P8B1T6-F1-model_v3	5.20e-01	26.68	5.20e-01	26.68	NA	NA	gold
A0A1P8AY88	Q9FFK7	AF-A0A1P8AY88-F1-model_v3	AF-Q9FFK7-F1-model_v3	8.5e-155	431.4	0.00e+00	743.90	3.483E-47	1770	platinum
A0A1P8AY90	A0A1P8B314	AF-A0A1P8AY90-F1-model_v3	AF-A0A1P8B314-F1-model_v3	5.2e-25	88.2	1.71e-03	122.93	NA	NA	gold
A0A1P8AZN4	A0JPZ2	AF-A0A1P8AZN4-F1-model_v3	AF-A0JPZ2-F1-model_v3	1.3e-17	74.3	4.69e-03	190.50	NA	NA	gold
A0A1P8B1Y9	A0A1P8B5V0	AF-A0A1P8B1Y9-F1-model_v3	AF-A0A1P8B5V0-F1-model_v3	9.1e-32	108.2	1.73e-06	236.28	9.730E-12	412	platinum
A0A1P8B2C9	Q8VYK1	AF-A0A1P8B2C9-F1-model_v3	AF-Q8VYK1-F1-model_v3	5.2e-143	401.7	0.00e+00	646.61	1.190E-36	1454	platinum
A0A1P8B2I1	A0A1P8B947	AF-A0A1P8B2I1-F1-model_v3	AF-A0A1P8B947-F1-model_v3	1.3e-106	310.8	1.02e-03	377.00	9.621E-18	659	platinum
A0A1P8B399	Q8L8K9	AF-A0A1P8B399-F1-model_v3	AF-Q8L8K9-F1-model_v3	5.1e-31	112.1	4.96e-05	297.19	1.524E-10	409	platinum
A0A1P8B3W6	F4KGT2	AF-A0A1P8B3W6-F1-model_v3	AF-F4KGT2-F1-model_v3	9.6e-10	54.3	1.60e-02	183.92	NA	NA	gold
A0A1P8B453	A0A1P8B7B7	AF-A0A1P8B453-F1-model_v3	AF-A0A1P8B7B7-F1-model_v3	4.70e-01	59.99	4.70e-01	59.99	NA	NA	gold
A0A1P8B4L0	Q9C5Q8	AF-A0A1P8B4L0-F1-model_v3	AF-Q9C5Q8-F1-model_v3	1.6e-291	825.1	0.00e+00	1770.59	9.715E-92	4221	platinum
A0A1P8B4S5	B3H5B9	AF-A0A1P8B4S5-F1-model_v3	AF-B3H5B9-F1-model_v3	2.4e-58	176.4	5.06e-14	309.51	1.105E-14	646	platinum
A0A1P8B4Y6	Q9LPY3	AF-A0A1P8B4Y6-F1-model_v3	AF-Q9LPY3-F1-model_v3	5.9e-51	175.3	4.25e-01	201.67	NA	NA	gold
A0A1P8B5J9	Q9STP1	AF-A0A1P8B5J9-F1-model_v3	AF-Q9STP1-F1-model_v3	3.0e-14	69.7	3.50e-01	164.30	NA	NA	gold
A0A1P8B616	Q680P8	AF-A0A1P8B616-F1-model_v3	AF-Q680P8-F1-model_v3	5.78e-01	27.16	5.78e-01	27.16	NA	NA	gold
A0A1P8B6J2	Q8S8K5	AF-A0A1P8B6J2-F1-model_v3	AF-Q8S8K5-F1-model_v3	1.6e-18	71.6	3.34e-05	123.59	NA	NA	gold
A0A1P8B754	A8MR87	AF-A0A1P8B754-F1-model_v3	AF-A8MR87-F1-model_v3	1.8e-37	121.3	1.47e-05	218.14	9.857E-10	350	platinum
A0A1P8B756	Q9M123	AF-A0A1P8B756-F1-model_v3	AF-Q9M123-F1-model_v3	5.3e-69	208.0	3.24e-05	341.30	5.384E-18	662	platinum
A0A1P8B7I6	Q9ZPW6	AF-A0A1P8B7I6-F1-model_v3	AF-Q9ZPW6-F1-model_v3	1.0e-08	56.2	7.19e-08	742.79	NA	NA	gold
A0A1P8B9P9	Q6NQ99	AF-A0A1P8B9P9-F1-model_v3	AF-Q6NQ99-F1-model_v3	9.6e-28	110.5	6.08e-05	516.09	2.484E-09	339	platinum
A0A1P8B9S8	Q94JV8	AF-A0A1P8B9S8-F1-model_v3	AF-Q94JV8-F1-model_v3	1.4e-36	119.0	5.53e-03	132.53	1.213E-05	226	platinum
A0A1P8BB34	Q93ZY6	AF-A0A1P8BB34-F1-model_v3	AF-Q93ZY6-F1-model_v3	4.4e-261	713.0	0.00e+00	1195.38	4.547E-45	2657	platinum
A0A1P8BBP0	A0A1P8BEU5	AF-A0A1P8BBP0-F1-model_v3	AF-A0A1P8BEU5-F1-model_v3	2.46e-03	93.81	2.46e-03	93.81	NA	NA	gold
A0A1P8BCU8	Q94AU2	AF-A0A1P8BCU8-F1-model_v3	AF-Q94AU2-F1-model_v3	4.6e-33	118.6	3.39e-10	466.72	2.644E-15	644	platinum
A0A1P8BDH2	Q9M2X0	AF-A0A1P8BDH2-F1-model_v3	AF-Q9M2X0-F1-model_v3	6.9e-271	743.0	0.00e+00	1258.09	1.917E-74	3276	platinum
A0A1P8BDH8	A8MQS5	AF-A0A1P8BDH8-F1-model_v3	AF-A8MQS5-F1-model_v3	1.2e-05	39.7	4.25e-02	88.20	NA	NA	gold
A0A1P8BDN6	Q9FHL4	AF-A0A1P8BDN6-F1-model_v3	AF-Q9FHL4-F1-model_v3	3.5e-55	173.3	1.73e-08	379.33	6.126E-20	836	platinum
A0A1P8BEG4	Q9SN16	AF-A0A1P8BEG4-F1-model_v3	AF-Q9SN16-F1-model_v3	1.6e-24	87.0	2.22e-16	190.77	1.775E-09	381	platinum
A0A1P8BEI6	Q9FJD7	AF-A0A1P8BEI6-F1-model_v3	AF-Q9FJD7-F1-model_v3	2.0e-44	142.5	1.64e-08	289.93	8.772E-14	648	platinum
A0A1P8BGB5	Q94CL1	AF-A0A1P8BGB5-F1-model_v3	AF-Q94CL1-F1-model_v3	9.7e-95	278.5	3.39e-08	486.27	3.154E-33	1190	platinum
A0A1P8BGR8	F4K613	AF-A0A1P8BGR8-F1-model_v3	AF-F4K613-F1-model_v3	1.49e-01	225.08	1.49e-01	225.08	NA	NA	gold
A0A2P2CLF2	P93280	AF-A0A2P2CLF2-F1-model_v3	AF-P93280-F1-model_v3	4.0e-142	394.4	0.00e+00	572.03	1.731E-23	1230	platinum
A0A2P2CLH5	Q9T6H8	AF-A0A2P2CLH5-F1-model_v3	AF-Q9T6H8-F1-model_v3	6.2e-266	722.2	3.72e-08	758.24	9.161E-42	2036	platinum
A0A2P2CLH8	P92514	AF-A0A2P2CLH8-F1-model_v3	AF-P92514-F1-model_v3	2.6e-199	543.9	0.00e+00	791.95	6.827E-35	1872	platinum
A0A2P2CLH9	Q04613	AF-A0A2P2CLH9-F1-model_v3	AF-Q04613-F1-model_v3	3.4e-127	355.5	3.06e-10	478.97	6.171E-24	768	platinum
A0JPU2	Q9LW03	AF-A0JPU2-F1-model_v3	AF-Q9LW03-F1-model_v3	4.0e-44	140.6	1.12e-06	242.47	8.470E-11	390	platinum
A0MDQ1	B3H7G2	AF-A0MDQ1-F1-model_v3	AF-B3H7G2-F1-model_v3	6.2e-61	180.6	0.00e+00	284.33	1.696E-19	729	platinum
A0MFH4	Q9ZUF7	AF-A0MFH4-F1-model_v3	AF-Q9ZUF7-F1-model_v3	1.8e-62	192.6	0.00e+00	481.40	2.649E-24	1107	platinum
A2RVJ8	F4KGF3	AF-A2RVJ8-F1-model_v3	AF-F4KGF3-F1-model_v3	6.2e-115	345.1	4.21e-12	1008.43	NA	NA	gold
A2RVL9	F4ITB8	AF-A2RVL9-F1-model_v3	AF-F4ITB8-F1-model_v3	3.1e-06	47.8	2.94e-01	215.51	NA	NA	gold
A7REF7	F4HPT8	AF-A7REF7-F1-model_v3	AF-F4HPT8-F1-model_v3	3.0e-32	106.3	3.23e-10	186.64	8.981E-08	312	platinum
A8MQ98	A8MRJ4	AF-A8MQ98-F1-model_v3	AF-A8MRJ4-F1-model_v3	1.0e-48	149.4	4.76e-08	208.69	2.765E-09	429	platinum
A8MQE7	A8MQL5	AF-A8MQE7-F1-model_v3	AF-A8MQL5-F1-model_v3	1.7e-54	164.5	5.55e-16	285.55	1.217E-12	580	platinum
A8MQH6	Q9C7J5	AF-A8MQH6-F1-model_v3	AF-Q9C7J5-F1-model_v3	3.8e-28	102.8	3.03e-03	257.04	NA	NA	gold
A8MQI8	A8MQP2	AF-A8MQI8-F1-model_v3	AF-A8MQP2-F1-model_v3	1.6e-24	87.8	4.24e-03	121.11	NA	NA	gold
A8MQJ3	F4IDU9	AF-A8MQJ3-F1-model_v3	AF-F4IDU9-F1-model_v3	6.3e-05	38.1	5.30e-04	128.72	NA	NA	gold
A8MQL7	A8MR00	AF-A8MQL7-F1-model_v3	AF-A8MR00-F1-model_v3	5.1e-36	115.5	9.33e-05	137.76	2.317E-07	287	platinum
A8MQN2	F4JCX9	AF-A8MQN2-F1-model_v3	AF-F4JCX9-F1-model_v3	1.1e-14	77.0	3.97e-01	519.05	5.579E-07	319	platinum
A8MQR0	Q8L7E5	AF-A8MQR0-F1-model_v3	AF-Q8L7E5-F1-model_v3	2.9e-89	291.6	3.16e-12	1492.82	3.272E-20	868	platinum
A8MR65	Q8S4Q6	AF-A8MR65-F1-model_v3	AF-Q8S4Q6-F1-model_v3	6.6e-15	69.7	3.05e-02	215.46	NA	NA	gold
A8MR74	A8MRN0	AF-A8MR74-F1-model_v3	AF-A8MRN0-F1-model_v3	2.6e-09	47.8	5.35e-04	99.71	NA	NA	gold
A8MRF9	Q9LDU1	AF-A8MRF9-F1-model_v3	AF-Q9LDU1-F1-model_v3	4.4e-20	77.0	4.75e-03	134.24	3.805E-04	171	platinum
A8MRG2	Q6NPE4	AF-A8MRG2-F1-model_v3	AF-Q6NPE4-F1-model_v3	2.3e-40	139.0	2.15e-06	396.37	1.362E-16	667	platinum
A8MRU4	Q8L6Z3	AF-A8MRU4-F1-model_v3	AF-Q8L6Z3-F1-model_v3	1.2e-75	225.3	3.91e-05	324.96	NA	NA	gold
A8MRV4	Q3EBD8	AF-A8MRV4-F1-model_v3	AF-Q3EBD8-F1-model_v3	8.8e-29	99.4	1.24e-14	281.38	1.054E-09	420	platinum
A8MS22	F4K8A7	AF-A8MS22-F1-model_v3	AF-F4K8A7-F1-model_v3	1.9e-39	126.3	2.96e-12	243.51	2.533E-09	470	platinum
A8MSB8	F4IPU5	AF-A8MSB8-F1-model_v3	AF-F4IPU5-F1-model_v3	3.3e-34	109.8	1.45e-09	132.51	NA	NA	gold
B3H469	Q9M0U1	AF-B3H469-F1-model_v3	AF-Q9M0U1-F1-model_v3	9.1e-66	194.9	0.00e+00	359.27	2.986E-21	863	platinum
B3H479	O65415	AF-B3H479-F1-model_v3	AF-O65415-F1-model_v3	4.2e-32	116.3	4.13e-04	329.84	1.878E-07	308	platinum
B3H4T7	Q5XVH6	AF-B3H4T7-F1-model_v3	AF-Q5XVH6-F1-model_v3	4.5e-37	121.3	1.28e-12	265.90	1.991E-13	524	platinum
B3H544	F4JXC7	AF-B3H544-F1-model_v3	AF-F4JXC7-F1-model_v3	1.0e-66	221.9	6.09e-04	775.20	9.662E-23	919	platinum
B3H566	F4I7U4	AF-B3H566-F1-model_v3	AF-F4I7U4-F1-model_v3	3.1e-49	149.4	6.93e-08	179.25	2.120E-09	365	platinum
B3H572	Q6NNM0	AF-B3H572-F1-model_v3	AF-Q6NNM0-F1-model_v3	7.4e-29	97.4	1.11e-16	183.80	1.939E-10	400	platinum
B3H5Q2	Q6NNL3	AF-B3H5Q2-F1-model_v3	AF-Q6NNL3-F1-model_v3	2.8e-28	98.6	7.56e-04	136.91	7.143E-07	273	platinum
B3H5S3	O64792	AF-B3H5S3-F1-model_v3	AF-O64792-F1-model_v3	4.8e-66	198.4	1.71e-12	352.05	1.005E-14	546	platinum
B3H615	Q9LIQ6	AF-B3H615-F1-model_v3	AF-Q9LIQ6-F1-model_v3	3.5e-27	104.8	1.63e-07	456.05	3.800E-12	530	platinum
B3H646	B3H6Q9	AF-B3H646-F1-model_v3	AF-B3H6Q9-F1-model_v3	4.18e-01	45.38	4.18e-01	45.38	NA	NA	gold
B3H648	B3H7E1	AF-B3H648-F1-model_v3	AF-B3H7E1-F1-model_v3	5.4e-18	67.4	4.20e-03	81.66	NA	NA	gold
B3H692	Q9SUM5	AF-B3H692-F1-model_v3	AF-Q9SUM5-F1-model_v3	2.4e-62	189.5	3.93e-10	347.50	8.035E-15	707	platinum
B3H6H3	Q9LU78	AF-B3H6H3-F1-model_v3	AF-Q9LU78-F1-model_v3	2.4e-23	82.8	5.43e-04	118.19	4.224E-04	168	platinum
B3H6Y2	Q9M117	AF-B3H6Y2-F1-model_v3	AF-Q9M117-F1-model_v3	6.5e-81	233.8	0.00e+00	361.50	6.240E-16	750	platinum
B3H797	F4IPL5	AF-B3H797-F1-model_v3	AF-F4IPL5-F1-model_v3	0.0e+00	948.7	1.11e-16	1407.69	1.002E-66	3552	platinum
B3H7D5	Q8LCC1	AF-B3H7D5-F1-model_v3	AF-Q8LCC1-F1-model_v3	1.62e-01	58.41	1.62e-01	58.41	NA	NA	gold
B3H7F0	F4HTL4	AF-B3H7F0-F1-model_v3	AF-F4HTL4-F1-model_v3	2.6e-44	142.1	0.00e+00	335.69	NA	NA	gold
B3H7M7	Q9M1Z4	AF-B3H7M7-F1-model_v3	AF-Q9M1Z4-F1-model_v3	8.4e-43	140.6	1.03e-05	307.56	1.978E-11	426	platinum
B3LF83	Q96242	AF-B3LF83-F1-model_v3	AF-Q96242-F1-model_v3	2.2e-94	291.6	0.00e+00	1072.02	5.967E-32	1713	platinum
B4F7Q0	Q8VZV8	AF-B4F7Q0-F1-model_v3	AF-Q8VZV8-F1-model_v3	2.0e-74	231.5	4.54e-05	497.99	1.929E-15	682	platinum
B5X561	Q56XZ1	AF-B5X561-F1-model_v3	AF-Q56XZ1-F1-model_v3	0.0e+00	890.2	0.00e+00	1636.69	1.528E-95	4167	platinum
B5X574	Q9T074	AF-B5X574-F1-model_v3	AF-Q9T074-F1-model_v3	0.0e+00	1081.6	0.00e+00	1787.04	0.000E+00	4988	platinum
B5X582	F4I6E6	AF-B5X582-F1-model_v3	AF-F4I6E6-F1-model_v3	4.7e-189	538.9	8.33e-15	917.00	3.487E-56	2343	platinum
B6IDH6	Q9FN15	AF-B6IDH6-F1-model_v3	AF-Q9FN15-F1-model_v3	4.3e-42	146.4	2.42e-08	529.38	2.926E-16	811	platinum
B6IDH7	F4I0U4	AF-B6IDH7-F1-model_v3	AF-F4I0U4-F1-model_v3	3.9e-18	68.2	1.21e-09	110.55	NA	NA	gold
B9DG86	F4K210	AF-B9DG86-F1-model_v3	AF-F4K210-F1-model_v3	5.0e-119	351.3	0.00e+00	1054.85	5.699E-29	911	platinum
B9DG91	Q1PE85	AF-B9DG91-F1-model_v3	AF-Q1PE85-F1-model_v3	5.3e-74	222.6	0.00e+00	537.22	3.313E-17	816	platinum
B9DGU7	F4IV16	AF-B9DGU7-F1-model_v3	AF-F4IV16-F1-model_v3	1.5e-181	499.2	0.00e+00	761.64	4.368E-58	2254	platinum
B9DHD3	P0DI07	AF-B9DHD3-F1-model_v3	AF-P0DI07-F1-model_v3	4.2e-309	834.3	0.00e+00	1240.43	8.961E-84	3424	platinum
B9UY99	Q93YV2	AF-B9UY99-F1-model_v3	AF-Q93YV2-F1-model_v3	1.8e-173	491.5	4.48e-12	864.35	2.496E-46	1905	platinum
C0Z274	F4I2S4	AF-C0Z274-F1-model_v3	AF-F4I2S4-F1-model_v3	1.9e-274	754.2	0.00e+00	1353.00	7.239E-80	3484	platinum
D8WUA4	Q9SYI0	AF-D8WUA4-F1-model_v3	AF-Q9SYI0-F1-model_v3	3.7e-242	713.0	0.00e+00	2330.43	2.365E-79	4251	platinum
E0X9N4	Q6IDS6	AF-E0X9N4-F1-model_v3	AF-Q6IDS6-F1-model_v3	8.5e-158	444.9	1.29e-11	834.42	3.064E-51	1982	platinum
E5KGE0	O80996	AF-E5KGE0-F1-model_v3	AF-O80996-F1-model_v3	2.0e-115	348.2	1.07e-09	851.19	1.124E-27	1112	platinum
F4HP43	Q9C9Q1	AF-F4HP43-F1-model_v3	AF-Q9C9Q1-F1-model_v3	3.4e-114	327.0	4.83e-10	496.73	1.378E-30	1177	platinum
F4HP91	O82346	AF-F4HP91-F1-model_v3	AF-O82346-F1-model_v3	2.1e-107	305.1	0.00e+00	489.59	7.354E-31	1135	platinum
F4HPA7	Q9FHZ2	AF-F4HPA7-F1-model_v3	AF-Q9FHZ2-F1-model_v3	4.7e-93	268.9	4.44e-15	485.09	1.149E-19	767	platinum
F4HPN4	Q9FM60	AF-F4HPN4-F1-model_v3	AF-Q9FM60-F1-model_v3	4.2e-50	158.7	1.74e-02	176.59	4.108E-12	505	platinum
F4HQX6	Q93ZG3	AF-F4HQX6-F1-model_v3	AF-Q93ZG3-F1-model_v3	8.3e-310	839.0	0.00e+00	1265.75	2.981E-81	3550	platinum
F4HR02	Q9LYD2	AF-F4HR02-F1-model_v3	AF-Q9LYD2-F1-model_v3	1.8e-16	75.9	4.87e-05	425.22	2.139E-10	423	platinum
F4HR03	Q9M565	AF-F4HR03-F1-model_v3	AF-Q9M565-F1-model_v3	4.4e-57	179.1	3.22e-09	398.93	5.885E-18	668	platinum
F4HRB5	O23188	AF-F4HRB5-F1-model_v3	AF-O23188-F1-model_v3	6.9e-42	155.6	3.26e-02	546.07	4.360E-13	434	platinum
F4HRC1	F4K4J0	AF-F4HRC1-F1-model_v3	AF-F4K4J0-F1-model_v3	3.9e-197	567.4	3.79e-13	1094.99	7.103E-50	2127	platinum
F4HRR1	Q9C931	AF-F4HRR1-F1-model_v3	AF-Q9C931-F1-model_v3	5.0e-57	177.9	0.00e+00	479.26	1.939E-18	803	platinum
F4HSY6	Q1EBU8	AF-F4HSY6-F1-model_v3	AF-Q1EBU8-F1-model_v3	1.3e-23	82.4	1.44e-11	119.98	NA	NA	gold
F4HTF3	Q9FMY2	AF-F4HTF3-F1-model_v3	AF-Q9FMY2-F1-model_v3	3.0e-19	78.6	3.26e-05	231.16	5.201E-05	232	platinum
F4HTL8	Q4V399	AF-F4HTL8-F1-model_v3	AF-Q4V399-F1-model_v3	5.2e-106	315.1	1.22e-15	604.07	3.880E-34	1328	platinum
F4HTM3	Q84M89	AF-F4HTM3-F1-model_v3	AF-Q84M89-F1-model_v3	0.0e+00	1229.2	0.00e+00	2191.20	0.000E+00	5813	platinum
F4HU51	F4JHC9	AF-F4HU51-F1-model_v3	AF-F4JHC9-F1-model_v3	7.3e-212	589.7	0.00e+00	1101.86	1.117E-67	2854	platinum
F4HV08	Q9LW04	AF-F4HV08-F1-model_v3	AF-Q9LW04-F1-model_v3	6.8e-117	330.5	0.00e+00	527.81	4.388E-24	1013	platinum
F4HV99	Q9M9L9	AF-F4HV99-F1-model_v3	AF-Q9M9L9-F1-model_v3	2.2e-181	506.5	3.56e-09	687.78	1.728E-45	1849	platinum
F4HVA6	Q9MAU3	AF-F4HVA6-F1-model_v3	AF-Q9MAU3-F1-model_v3	2.1e-146	431.4	4.84e-13	1171.07	1.270E-36	2068	platinum
F4HVK3	Q9LQV4	AF-F4HVK3-F1-model_v3	AF-Q9LQV4-F1-model_v3	2.9e-24	101.7	1.51e-06	565.66	3.741E-15	667	platinum
F4HVT8	Q9SAG1	AF-F4HVT8-F1-model_v3	AF-Q9SAG1-F1-model_v3	6.9e-42	142.9	4.98e-13	495.47	7.693E-16	729	platinum
F4HW04	F4IFN6	AF-F4HW04-F1-model_v3	AF-F4IFN6-F1-model_v3	0.0e+00	3664.0	0.00e+00	6039.89	0.000E+00	16125	platinum
F4HWR0	Q9LZJ2	AF-F4HWR0-F1-model_v3	AF-Q9LZJ2-F1-model_v3	1.3e-100	298.1	0.00e+00	800.26	1.924E-32	1527	platinum
F4HWZ0	Q9SA55	AF-F4HWZ0-F1-model_v3	AF-Q9SA55-F1-model_v3	1.2e-137	397.9	1.62e-06	596.01	2.563E-25	1332	platinum
F4HYF4	Q494P3	AF-F4HYF4-F1-model_v3	AF-Q494P3-F1-model_v3	0.0e+00	981.1	0.00e+00	1714.06	2.343E-92	4397	platinum
