Uniprot_arabadopsis	Uniprot_pombe	AlphaFold_arabadopsis	AlphaFold_pombe	diamond_value	diamond_score	fatcat_value	fatcat_score	foldseek_value	foldseek_score	platinum
A0A1P8BD18	Q9US05	AF-A0A1P8BD18-F1-model_v3	AF-Q9US05-F1-model_v3	1.7e-16	79.0	6.62e-06	652.85	1.196E-10	463	platinum
A0A2P2CLF0	P21534	AF-A0A2P2CLF0-F1-model_v3	AF-P21534-F1-model_v3	4.6e-89	262.3	0.00e+00	686.21	2.917E-35	1408	platinum
A1L4Y4	O74489	AF-A1L4Y4-F1-model_v3	AF-O74489-F1-model_v3	7.9e-61	198.0	0.00e+00	873.35	2.437E-41	1608	platinum
A2RVM0	O13822	AF-A2RVM0-F1-model_v3	AF-O13822-F1-model_v3	1.4e-11	62.4	NA	NA	NA	NA	silver
A2RVR7	Q09691	AF-A2RVR7-F1-model_v3	AF-Q09691-F1-model_v3	5.8e-64	208.4	0.00e+00	972.14	1.983E-34	1508	platinum
A2RVT9	O59821	AF-A2RVT9-F1-model_v3	AF-O59821-F1-model_v3	6.1e-35	119.4	1.11e-16	426.87	2.483E-20	928	platinum
A3EWL3	O94623	AF-A3EWL3-F1-model_v3	AF-O94623-F1-model_v3	8.0e-74	261.9	2.19e-06	1503.19	1.781E-62	2737	platinum
A3KPF3	Q9UUK1	AF-A3KPF3-F1-model_v3	AF-Q9UUK1-F1-model_v3	1.1e-76	250.0	0.00e+00	1273.32	5.300E-26	1584	platinum
A4FVN8	O43071	AF-A4FVN8-F1-model_v3	AF-O43071-F1-model_v3	1.0e-122	370.9	3.22e-15	1215.40	6.935E-54	2381	platinum
A4GNA8	O14111	AF-A4GNA8-F1-model_v3	AF-O14111-F1-model_v3	3.2e-82	276.6	4.99e-10	1212.85	2.649E-54	2454	platinum
A8MQN4	Q9UUH0	AF-A8MQN4-F1-model_v3	AF-Q9UUH0-F1-model_v3	6.7e-44	158.7	2.22e-16	898.45	5.057E-34	1436	platinum
A8MR03	Q9P7C5	AF-A8MR03-F1-model_v3	AF-Q9P7C5-F1-model_v3	4.0e-52	171.4	2.87e-10	550.27	6.776E-19	815	platinum
A8MR93	Q9USD4	AF-A8MR93-F1-model_v3	AF-Q9USD4-F1-model_v3	3.8e-67	223.4	0.00e+00	1166.22	4.562E-32	1742	platinum
A8MRC1	O74397	AF-A8MRC1-F1-model_v3	AF-O74397-F1-model_v3	1.0e-66	225.3	0.00e+00	1161.98	3.656E-41	1955	platinum
A9LNK9	Q9UTD1	AF-A9LNK9-F1-model_v3	AF-Q9UTD1-F1-model_v3	5.0e-18	79.7	NA	NA	1.275E-08	372	gold
B0F9L4	Q09857	AF-B0F9L4-F1-model_v3	AF-Q09857-F1-model_v3	5.6e-26	112.8	7.85e-13	1897.39	1.704E-24	1578	platinum
B3DNN5	P41889	AF-B3DNN5-F1-model_v3	AF-P41889-F1-model_v3	4.0e-92	293.9	0.00e+00	1405.66	7.199E-31	1777	platinum
B3H4I1	Q9USG8	AF-B3H4I1-F1-model_v3	AF-Q9USG8-F1-model_v3	3.3e-10	61.2	3.98e-03	978.86	NA	NA	gold
B3H5S3	O13904	AF-B3H5S3-F1-model_v3	AF-O13904-F1-model_v3	5.3e-10	53.9	6.77e-06	317.31	1.604E-06	262	platinum
B3H6J5	O14161	AF-B3H6J5-F1-model_v3	AF-O14161-F1-model_v3	5.0e-06	46.2	2.96e-02	394.03	NA	NA	gold
B3H6K1	Q9UTL4	AF-B3H6K1-F1-model_v3	AF-Q9UTL4-F1-model_v3	1.4e-54	186.0	0.00e+00	932.27	7.758E-18	1055	platinum
B3H7G2	Q9P3U9	AF-B3H7G2-F1-model_v3	AF-Q9P3U9-F1-model_v3	2.8e-18	70.9	2.52e-12	226.77	3.066E-11	438	platinum
B3H7H1	Q9UT76	AF-B3H7H1-F1-model_v3	AF-Q9UT76-F1-model_v3	3.7e-71	226.9	0.00e+00	874.60	1.093E-33	1624	platinum
B5BT18	O43065	AF-B5BT18-F1-model_v3	AF-O43065-F1-model_v3	1.5e-318	971.5	0.00e+00	3697.76	0.000E+00	6636	platinum
B6EUA9	O14176	AF-B6EUA9-F1-model_v3	AF-O14176-F1-model_v3	7.6e-37	146.4	1.75e-09	1513.01	1.715E-32	1646	platinum
B9DGD6	P78773	AF-B9DGD6-F1-model_v3	AF-P78773-F1-model_v3	9.7e-206	593.6	0.00e+00	1732.14	4.285E-84	3484	platinum
B9DHA6	P0CH06	AF-B9DHA6-F1-model_v3	AF-P0CH06-F1-model_v3	5.3e-81	231.9	NA	NA	NA	NA	silver
D1KF50	Q10213	AF-D1KF50-F1-model_v3	AF-Q10213-F1-model_v3	2.2e-37	149.8	3.70e-09	1474.70	2.500E-34	1843	platinum
F4HPA7	P87310	AF-F4HPA7-F1-model_v3	AF-P87310-F1-model_v3	2.1e-11	57.0	3.14e-14	376.71	8.002E-07	293	platinum
F4HPZ9	Q9C1W9	AF-F4HPZ9-F1-model_v3	AF-Q9C1W9-F1-model_v3	5.1e-140	445.7	NA	NA	NA	NA	silver
F4HTM3	O14255	AF-F4HTM3-F1-model_v3	AF-O14255-F1-model_v3	3.2e-114	365.2	0.00e+00	1609.21	1.254E-58	2800	platinum
F4HTP2	O74946	AF-F4HTP2-F1-model_v3	AF-O74946-F1-model_v3	9.1e-50	179.9	2.58e-12	1117.52	1.202E-42	1796	platinum
F4HU58	O42912	AF-F4HU58-F1-model_v3	AF-O42912-F1-model_v3	6.3e-13	67.4	1.01e-12	670.26	9.773E-25	1012	platinum
F4HVJ3	O60067	AF-F4HVJ3-F1-model_v3	AF-O60067-F1-model_v3	1.5e-44	166.4	3.01e-09	1068.55	NA	NA	gold
F4HVV6	P87112	AF-F4HVV6-F1-model_v3	AF-P87112-F1-model_v3	1.8e-134	468.4	1.16e-06	2390.63	7.200E-77	4850	platinum
F4HXZ8	P87055	AF-F4HXZ8-F1-model_v3	AF-P87055-F1-model_v3	2.2e-64	204.5	6.66e-16	691.08	1.194E-24	1065	platinum
F4HYF3	Q9URX3	AF-F4HYF3-F1-model_v3	AF-Q9URX3-F1-model_v3	5.4e-40	143.3	0.00e+00	696.57	5.256E-27	1087	platinum
F4HZG9	Q10439	AF-F4HZG9-F1-model_v3	AF-Q10439-F1-model_v3	5.2e-92	286.6	0.00e+00	1170.26	2.651E-52	2136	platinum
F4I116	Q10490	AF-F4I116-F1-model_v3	AF-Q10490-F1-model_v3	1.4e-317	909.1	0.00e+00	2662.01	0.000E+00	5331	platinum
F4I1K2	Q09895	AF-F4I1K2-F1-model_v3	AF-Q09895-F1-model_v3	2.1e-71	229.9	0.00e+00	894.53	8.195E-40	1637	platinum
F4I1S7	O94533	AF-F4I1S7-F1-model_v3	AF-O94533-F1-model_v3	4.8e-109	349.7	0.00e+00	1722.96	2.542E-64	3209	platinum
F4I1Z0	O13883	AF-F4I1Z0-F1-model_v3	AF-O13883-F1-model_v3	1.4e-23	100.1	0.00e+00	999.20	1.335E-17	1046	platinum
F4I2J8	O14342	AF-F4I2J8-F1-model_v3	AF-O14342-F1-model_v3	1.1e-39	151.4	1.76e-07	915.26	1.240E-21	1024	platinum
F4I366	Q9P7X8	AF-F4I366-F1-model_v3	AF-Q9P7X8-F1-model_v3	1.3e-304	881.3	0.00e+00	2913.72	0.000E+00	6209	platinum
F4I420	Q10251	AF-F4I420-F1-model_v3	AF-Q10251-F1-model_v3	1.7e-237	709.1	5.65e-07	2374.16	2.073E-99	4141	platinum
F4I448	O74970	AF-F4I448-F1-model_v3	AF-O74970-F1-model_v3	1.1e-60	214.5	2.78e-11	1227.49	1.301E-22	1365	platinum
F4I4Q1	Q9UTE6	AF-F4I4Q1-F1-model_v3	AF-Q9UTE6-F1-model_v3	4.8e-71	219.9	2.72e-10	630.86	8.631E-26	1023	platinum
F4I5S3	Q9USQ1	AF-F4I5S3-F1-model_v3	AF-Q9USQ1-F1-model_v3	1.3e-51	194.1	4.32e-05	1468.88	1.825E-41	1876	platinum
F4I6D2	Q09814	AF-F4I6D2-F1-model_v3	AF-Q09814-F1-model_v3	4.5e-50	161.8	0.00e+00	524.49	8.530E-25	961	platinum
F4I893	Q10105	AF-F4I893-F1-model_v3	AF-Q10105-F1-model_v3	3.3e-246	808.9	4.98e-13	5851.51	0.000E+00	6849	platinum
F4I9J7	O42847	AF-F4I9J7-F1-model_v3	AF-O42847-F1-model_v3	4.5e-29	102.8	NA	NA	9.916E-13	500	gold
F4I9M9	P78804	AF-F4I9M9-F1-model_v3	AF-P78804-F1-model_v3	1.3e-103	320.1	0.00e+00	1073.70	3.157E-41	2035	platinum
F4I9T0	Q7LKZ7	AF-F4I9T0-F1-model_v3	AF-Q7LKZ7-F1-model_v3	5.5e-97	349.4	3.32e-12	3581.64	1.884E-70	4553	platinum
F4IAT2	Q09779	AF-F4IAT2-F1-model_v3	AF-Q09779-F1-model_v3	2.7e-134	457.6	1.40e-08	2803.44	NA	NA	gold
F4IBH5	O13920	AF-F4IBH5-F1-model_v3	AF-O13920-F1-model_v3	9.8e-67	226.5	3.48e-10	1010.09	NA	NA	gold
F4IBV4	Q96WW6	AF-F4IBV4-F1-model_v3	AF-Q96WW6-F1-model_v3	7.8e-86	268.1	0.00e+00	1043.67	1.867E-38	1744	platinum
F4IC59	O42700	AF-F4IC59-F1-model_v3	AF-O42700-F1-model_v3	5.8e-44	154.1	0.00e+00	733.42	1.863E-24	1155	platinum
F4ICK8	O42964	AF-F4ICK8-F1-model_v3	AF-O42964-F1-model_v3	8.0e-25	104.4	4.31e-05	670.92	8.039E-14	639	platinum
F4ID16	Q9UTK4	AF-F4ID16-F1-model_v3	AF-Q9UTK4-F1-model_v3	1.6e-15	79.3	NA	NA	4.396E-21	863	gold
F4IDC2	O36021	AF-F4IDC2-F1-model_v3	AF-O36021-F1-model_v3	1.9e-78	273.1	5.78e-10	1550.96	6.200E-31	1923	platinum
F4IDJ0	O94288	AF-F4IDJ0-F1-model_v3	AF-O94288-F1-model_v3	1.6e-36	145.2	6.91e-10	1278.42	1.008E-25	1506	platinum
F4IGH3	O42662	AF-F4IGH3-F1-model_v3	AF-O42662-F1-model_v3	8.2e-41	149.1	4.97e-14	697.87	2.524E-29	1195	platinum
F4IH25	O74399	AF-F4IH25-F1-model_v3	AF-O74399-F1-model_v3	3.1e-157	472.2	1.33e-15	1593.63	NA	NA	gold
F4IHU9	Q9UT92	AF-F4IHU9-F1-model_v3	AF-Q9UT92-F1-model_v3	4.2e-76	246.1	NA	NA	NA	NA	silver
F4II36	Q9UTL9	AF-F4II36-F1-model_v3	AF-Q9UTL9-F1-model_v3	8.0e-64	237.7	5.46e-11	1933.18	4.490E-53	2711	platinum
F4II66	P79083	AF-F4II66-F1-model_v3	AF-P79083-F1-model_v3	8.5e-103	303.9	0.00e+00	891.57	1.591E-40	1906	platinum
F4IJJ8	Q09782	AF-F4IJJ8-F1-model_v3	AF-Q09782-F1-model_v3	7.6e-67	236.9	NA	NA	1.051E-40	2288	gold
F4IKR5	O13601	AF-F4IKR5-F1-model_v3	AF-O13601-F1-model_v3	1.8e-05	45.1	NA	NA	NA	NA	silver
F4IPL5	O14244	AF-F4IPL5-F1-model_v3	AF-O14244-F1-model_v3	3.7e-46	172.9	NA	NA	NA	NA	silver
F4IPY2	Q09860	AF-F4IPY2-F1-model_v3	AF-Q09860-F1-model_v3	6.5e-71	240.0	1.58e-13	1067.33	2.049E-36	1784	platinum
F4IRD3	Q9USY3	AF-F4IRD3-F1-model_v3	AF-Q9USY3-F1-model_v3	7.3e-09	56.6	0.00e+00	1311.61	6.079E-20	1222	platinum
F4IRI1	O13878	AF-F4IRI1-F1-model_v3	AF-O13878-F1-model_v3	1.3e-19	91.7	3.22e-15	1417.74	1.788E-43	2006	platinum
F4ISG1	O94400	AF-F4ISG1-F1-model_v3	AF-O94400-F1-model_v3	1.3e-06	48.9	6.94e-01	236.87	NA	NA	gold
F4ISV6	Q9Y7T3	AF-F4ISV6-F1-model_v3	AF-Q9Y7T3-F1-model_v3	4.9e-74	233.8	0.00e+00	681.00	1.704E-28	1246	platinum
F4IUX6	O13824	AF-F4IUX6-F1-model_v3	AF-O13824-F1-model_v3	1.5e-82	290.0	3.54e-13	2137.93	6.406E-41	2526	platinum
F4IUY8	Q1MTP1	AF-F4IUY8-F1-model_v3	AF-Q1MTP1-F1-model_v3	3.0e-62	214.9	1.50e-08	787.50	4.529E-22	1183	platinum
F4IV99	O14139	AF-F4IV99-F1-model_v3	AF-O14139-F1-model_v3	1.2e-212	666.0	1.17e-10	2720.95	1.650E-91	4634	platinum
F4IVI0	O94751	AF-F4IVI0-F1-model_v3	AF-O94751-F1-model_v3	1.4e-46	172.6	NA	NA	NA	NA	silver
F4IVJ8	Q9P7H8	AF-F4IVJ8-F1-model_v3	AF-Q9P7H8-F1-model_v3	6.5e-86	310.1	0.00e+00	3456.64	1.998E-50	3412	platinum
F4IW51	O14045	AF-F4IW51-F1-model_v3	AF-O14045-F1-model_v3	3.9e-36	130.6	2.06e-11	558.66	2.392E-24	986	platinum
F4IWG2	Q9UT41	AF-F4IWG2-F1-model_v3	AF-Q9UT41-F1-model_v3	1.5e-40	160.6	1.60e-10	1824.68	8.173E-48	2346	platinum
F4IYF8	O43011	AF-F4IYF8-F1-model_v3	AF-O43011-F1-model_v3	1.0e-129	399.1	0.00e+00	1255.22	8.343E-41	2363	platinum
F4IYK6	O94545	AF-F4IYK6-F1-model_v3	AF-O94545-F1-model_v3	8.8e-53	198.4	0.00e+00	2218.53	8.826E-31	2085	platinum
F4J262	O14357	AF-F4J262-F1-model_v3	AF-O14357-F1-model_v3	1.2e-28	118.2	5.44e-10	1083.85	2.531E-18	1002	platinum
F4J2T9	O74945	AF-F4J2T9-F1-model_v3	AF-O74945-F1-model_v3	7.5e-228	672.2	0.00e+00	2208.29	2.343E-98	4443	platinum
F4J355	P41893	AF-F4J355-F1-model_v3	AF-P41893-F1-model_v3	1.1e-32	115.2	0.00e+00	398.06	2.052E-17	703	platinum
F4J3A9	Q9P7W5	AF-F4J3A9-F1-model_v3	AF-Q9P7W5-F1-model_v3	5.3e-106	316.6	0.00e+00	904.05	1.152E-38	1685	platinum
F4J3Q1	Q9USQ7	AF-F4J3Q1-F1-model_v3	AF-Q9USQ7-F1-model_v3	8.0e-103	325.5	3.82e-13	1221.91	1.931E-56	2349	platinum
F4J4C8	Q9Y7T6	AF-F4J4C8-F1-model_v3	AF-Q9Y7T6-F1-model_v3	2.9e-35	136.7	8.33e-12	1004.90	1.746E-14	957	platinum
F4J5D3	Q09799	AF-F4J5D3-F1-model_v3	AF-Q09799-F1-model_v3	4.9e-32	129.0	5.53e-04	693.35	7.784E-16	706	platinum
F4J5S1	O59742	AF-F4J5S1-F1-model_v3	AF-O59742-F1-model_v3	3.3e-88	310.8	0.00e+00	2270.91	2.592E-62	3383	platinum
F4J6A1	P78795	AF-F4J6A1-F1-model_v3	AF-P78795-F1-model_v3	5.0e-48	160.6	1.96e-06	499.92	2.121E-26	1038	platinum
F4J6F6	P38938	AF-F4J6F6-F1-model_v3	AF-P38938-F1-model_v3	6.9e-87	307.8	NA	NA	NA	NA	silver
F4J6G5	Q9UUG2	AF-F4J6G5-F1-model_v3	AF-Q9UUG2-F1-model_v3	8.5e-12	66.6	NA	NA	1.369E-15	754	gold
F4J6I6	Q9Y7Z9	AF-F4J6I6-F1-model_v3	AF-Q9Y7Z9-F1-model_v3	8.3e-50	175.6	0.00e+00	1039.04	1.462E-44	1857	platinum
F4J6X3	Q9UUF1	AF-F4J6X3-F1-model_v3	AF-Q9UUF1-F1-model_v3	2.4e-79	242.3	0.00e+00	829.21	1.405E-38	1599	platinum
F4J738	O59809	AF-F4J738-F1-model_v3	AF-O59809-F1-model_v3	2.0e-126	408.3	0.00e+00	2458.32	5.733E-45	3014	platinum
F4J8C0	P87148	AF-F4J8C0-F1-model_v3	AF-P87148-F1-model_v3	1.1e-25	100.5	2.00e-13	590.59	7.250E-13	709	platinum
F4J8K6	O74835	AF-F4J8K6-F1-model_v3	AF-O74835-F1-model_v3	1.8e-115	403.3	1.14e-11	3321.44	0.000E+00	6110	platinum
F4J9E4	Q9UUC8	AF-F4J9E4-F1-model_v3	AF-Q9UUC8-F1-model_v3	5.5e-13	60.1	1.11e-16	304.12	2.564E-11	438	platinum
F4JAA5	O59801	AF-F4JAA5-F1-model_v3	AF-O59801-F1-model_v3	2.2e-249	746.1	1.11e-16	2482.69	1.349E-95	5018	platinum
F4JJT9	O94242	AF-F4JJT9-F1-model_v3	AF-O94242-F1-model_v3	6.2e-98	311.2	0.00e+00	1265.85	3.433E-54	2351	platinum
F4JKK0	O60103	AF-F4JKK0-F1-model_v3	AF-O60103-F1-model_v3	6.0e-55	206.8	2.19e-09	1995.50	1.266E-36	1925	platinum
F4JL11	O14063	AF-F4JL11-F1-model_v3	AF-O14063-F1-model_v3	4.5e-75	245.4	0.00e+00	1378.15	4.900E-39	2363	platinum
F4JLM5	O13651	AF-F4JLM5-F1-model_v3	AF-O13651-F1-model_v3	0.0e+00	1076.2	0.00e+00	2894.73	0.000E+00	6146	platinum
F4JNI3	Q7LL04	AF-F4JNI3-F1-model_v3	AF-Q7LL04-F1-model_v3	1.2e-29	113.2	NA	NA	NA	NA	silver
F4JNY0	P87175	AF-F4JNY0-F1-model_v3	AF-P87175-F1-model_v3	3.2e-42	157.5	1.59e-08	885.14	1.756E-32	1322	platinum
F4JRF4	Q10159	AF-F4JRF4-F1-model_v3	AF-Q10159-F1-model_v3	1.6e-57	198.7	0.00e+00	894.25	2.405E-35	1602	platinum
F4JSC0	Q9P775	AF-F4JSC0-F1-model_v3	AF-Q9P775-F1-model_v3	1.6e-55	191.8	3.94e-14	1010.06	1.067E-45	1992	platinum
F4JT76	O14093	AF-F4JT76-F1-model_v3	AF-O14093-F1-model_v3	4.3e-11	64.7	4.16e-08	1474.90	NA	NA	gold
F4JT92	O13620	AF-F4JT92-F1-model_v3	AF-O13620-F1-model_v3	5.5e-110	353.6	2.37e-09	1494.62	NA	NA	gold
F4JTD2	O42832	AF-F4JTD2-F1-model_v3	AF-O42832-F1-model_v3	1.5e-118	375.6	1.08e-06	1492.73	2.281E-58	2327	platinum
F4JU70	O13805	AF-F4JU70-F1-model_v3	AF-O13805-F1-model_v3	1.8e-49	166.0	NA	NA	7.331E-17	997	gold
F4JUL9	Q92352	AF-F4JUL9-F1-model_v3	AF-Q92352-F1-model_v3	2.5e-66	198.0	0.00e+00	479.41	2.896E-24	962	platinum
F4JVN6	Q9UT05	AF-F4JVN6-F1-model_v3	AF-Q9UT05-F1-model_v3	5.9e-195	606.7	0.00e+00	3050.83	0.000E+00	5436	platinum
F4JWB3	O13819	AF-F4JWB3-F1-model_v3	AF-O13819-F1-model_v3	1.6e-84	278.5	9.06e-14	1155.02	2.975E-44	1968	platinum
F4JXF1	P87120	AF-F4JXF1-F1-model_v3	AF-P87120-F1-model_v3	2.1e-28	111.3	1.83e-13	541.85	2.321E-19	810	platinum
F4JXF9	O94666	AF-F4JXF9-F1-model_v3	AF-O94666-F1-model_v3	0.0e+00	1132.1	0.00e+00	3600.59	0.000E+00	7183	platinum
F4JXW9	O13981	AF-F4JXW9-F1-model_v3	AF-O13981-F1-model_v3	4.3e-40	157.9	2.33e-14	1610.20	8.461E-50	2396	platinum
F4JZM4	Q9US48	AF-F4JZM4-F1-model_v3	AF-Q9US48-F1-model_v3	8.1e-26	110.2	0.00e+00	1210.43	5.041E-28	1534	platinum
F4JZN6	Q9Y7P2	AF-F4JZN6-F1-model_v3	AF-Q9Y7P2-F1-model_v3	3.1e-22	94.7	0.00e+00	792.17	8.904E-25	1021	platinum
F4JZZ1	O14215	AF-F4JZZ1-F1-model_v3	AF-O14215-F1-model_v3	1.5e-99	303.5	0.00e+00	1009.25	3.911E-37	1758	platinum
F4K000	Q9P7T6	AF-F4K000-F1-model_v3	AF-Q9P7T6-F1-model_v3	8.3e-99	294.3	0.00e+00	846.98	2.138E-38	1591	platinum
F4K1R2	O94586	AF-F4K1R2-F1-model_v3	AF-O94586-F1-model_v3	6.6e-24	89.7	8.74e-11	321.83	8.578E-11	473	platinum
F4K1U5	Q9P6P5	AF-F4K1U5-F1-model_v3	AF-Q9P6P5-F1-model_v3	1.4e-57	177.6	0.00e+00	461.31	1.460E-19	814	platinum
F4K2E9	Q9P774	AF-F4K2E9-F1-model_v3	AF-Q9P774-F1-model_v3	0.0e+00	944.9	6.27e-14	2394.81	0.000E+00	4937	platinum
F4K459	G2TRS3	AF-F4K459-F1-model_v3	AF-G2TRS3-F1-model_v3	3.0e-11	52.0	1.05e-04	146.34	NA	NA	gold
F4K4E3	O14352	AF-F4K4E3-F1-model_v3	AF-O14352-F1-model_v3	3.3e-39	125.9	4.03e-11	288.52	1.181E-14	636	platinum
F4K4G6	Q09819	AF-F4K4G6-F1-model_v3	AF-Q09819-F1-model_v3	9.1e-09	56.6	NA	NA	NA	NA	silver
F4K5S0	Q09853	AF-F4K5S0-F1-model_v3	AF-Q09853-F1-model_v3	6.9e-11	65.1	0.00e+00	2796.12	3.830E-31	2178	platinum
F4K687	Q9UT53	AF-F4K687-F1-model_v3	AF-Q9UT53-F1-model_v3	3.1e-49	163.3	0.00e+00	617.68	1.482E-28	1110	platinum
F4K9W6	O13724	AF-F4K9W6-F1-model_v3	AF-O13724-F1-model_v3	1.5e-103	315.5	2.22e-16	1055.71	5.062E-48	2154	platinum
F4KAB8	P49731	AF-F4KAB8-F1-model_v3	AF-P49731-F1-model_v3	2.2e-218	637.5	0.00e+00	1938.92	4.149E-90	3932	platinum
F4KAU9	O74749	AF-F4KAU9-F1-model_v3	AF-O74749-F1-model_v3	2.1e-09	57.0	NA	NA	NA	NA	silver
F4KCC2	O60152	AF-F4KCC2-F1-model_v3	AF-O60152-F1-model_v3	9.5e-26	114.4	1.50e-09	2245.17	1.054E-51	2950	platinum
F4KD38	Q10233	AF-F4KD38-F1-model_v3	AF-Q10233-F1-model_v3	0.0e+00	1263.4	0.00e+00	3080.29	0.000E+00	7258	platinum
F4KEV7	P49776	AF-F4KEV7-F1-model_v3	AF-P49776-F1-model_v3	2.1e-38	127.9	0.00e+00	411.50	3.130E-16	643	platinum
F4KFG2	Q10409	AF-F4KFG2-F1-model_v3	AF-Q10409-F1-model_v3	2.9e-49	162.2	1.69e-10	560.67	1.330E-24	943	platinum
F4KFV7	O94445	AF-F4KFV7-F1-model_v3	AF-O94445-F1-model_v3	5.6e-106	336.7	0.00e+00	1501.21	6.938E-50	2418	platinum
F4KG91	Q9UUH7	AF-F4KG91-F1-model_v3	AF-Q9UUH7-F1-model_v3	2.5e-71	244.2	1.01e-09	1169.47	6.544E-33	1810	platinum
F4KGY0	O13663	AF-F4KGY0-F1-model_v3	AF-O13663-F1-model_v3	1.7e-60	220.7	8.10e-15	1844.19	2.933E-39	2264	platinum
I3XHK1	Q9UT23	AF-I3XHK1-F1-model_v3	AF-Q9UT23-F1-model_v3	9.1e-118	386.3	2.96e-11	1574.25	9.968E-58	2452	platinum
O04173	O60171	AF-O04173-F1-model_v3	AF-O60171-F1-model_v3	1.3e-23	89.0	1.41e-07	250.09	NA	NA	gold
O04202	O43060	AF-O04202-F1-model_v3	AF-O43060-F1-model_v3	1.5e-47	159.1	1.11e-16	701.14	1.335E-24	950	platinum
O04212	O60111	AF-O04212-F1-model_v3	AF-O60111-F1-model_v3	5.2e-74	243.0	0.00e+00	1231.15	1.264E-34	1708	platinum
O04265	Q10078	AF-O04265-F1-model_v3	AF-Q10078-F1-model_v3	1.0e-37	136.0	0.00e+00	757.62	5.433E-28	1215	platinum
O04450	Q9UTM4	AF-O04450-F1-model_v3	AF-Q9UTM4-F1-model_v3	1.1e-247	687.6	0.00e+00	1577.81	1.302E-73	3558	platinum
O04482	Q9UUB6	AF-O04482-F1-model_v3	AF-Q9UUB6-F1-model_v3	2.5e-83	252.3	0.00e+00	748.68	2.129E-30	1330	platinum
O04619	Q8TFH2	AF-O04619-F1-model_v3	AF-Q8TFH2-F1-model_v3	1.9e-48	163.7	NA	NA	3.818E-18	1052	gold
O04630	P87144	AF-O04630-F1-model_v3	AF-P87144-F1-model_v3	3.0e-268	753.1	0.00e+00	1912.03	1.837E-101	4379	platinum
O04716	O74502	AF-O04716-F1-model_v3	AF-O74502-F1-model_v3	1.4e-164	523.9	5.60e-14	2699.34	3.201E-82	3970	platinum
