Uniprot_arabadopsis	Uniprot_sorghum	AlphaFold_arabadopsis	AlphaFold_sorghum	diamond_value	diamond_score	fatcat_value	fatcat_score	foldseek_value	foldseek_score	platinum
A0A1P8ASU7	A0A1B6Q4L3	AF-A0A1P8ASU7-F1-model_v3	AF-A0A1B6Q4L3-F1-model_v3	2.7e-42	144.4	2.83e-06	427.15	1.675E-18	763	platinum
A0A1P8ASX9	C5YA37	AF-A0A1P8ASX9-F1-model_v3	AF-C5YA37-F1-model_v3	1.2e-162	474.9	5.70e-11	1079.42	1.819E-52	2447	platinum
A0A1P8ASY1	A0A1B6PMW5	AF-A0A1P8ASY1-F1-model_v3	AF-A0A1B6PMW5-F1-model_v3	0.0e+00	1229.2	0.00e+00	3092.16	NA	NA	gold
A0A1P8ASY5	A0A1Z5S7A8	AF-A0A1P8ASY5-F1-model_v3	AF-A0A1Z5S7A8-F1-model_v3	2.0e-34	130.2	NA	NA	NA	NA	silver
A0A1P8ATM6	C5WSB2	AF-A0A1P8ATM6-F1-model_v3	AF-C5WSB2-F1-model_v3	3.3e-229	691.4	0.00e+00	2721.25	4.449E-57	3905	platinum
A0A1P8ATN7	C5Z2M6	AF-A0A1P8ATN7-F1-model_v3	AF-C5Z2M6-F1-model_v3	0.0e+00	1094.0	0.00e+00	2077.69	0.000E+00	5191	platinum
A0A1P8AU61	A0A1B6PBN4	AF-A0A1P8AU61-F1-model_v3	AF-A0A1B6PBN4-F1-model_v3	4.8e-182	527.7	0.00e+00	1451.56	1.872E-53	2885	platinum
A0A1P8AUJ8	C5Z6L5	AF-A0A1P8AUJ8-F1-model_v3	AF-C5Z6L5-F1-model_v3	7.3e-34	131.3	NA	NA	NA	NA	silver
A0A1P8AUR3	C5X4E1	AF-A0A1P8AUR3-F1-model_v3	AF-C5X4E1-F1-model_v3	5.4e-124	358.6	0.00e+00	774.53	8.132E-45	1773	platinum
A0A1P8AV25	A0A1W0W680	AF-A0A1P8AV25-F1-model_v3	AF-A0A1W0W680-F1-model_v3	0.0e+00	942.2	7.53e-10	2490.66	0.000E+00	5275	platinum
A0A1P8AVE9	C5X0U0	AF-A0A1P8AVE9-F1-model_v3	AF-C5X0U0-F1-model_v3	0.0e+00	1226.5	0.00e+00	2774.96	0.000E+00	5976	platinum
A0A1P8AVN8	A0A1B6PRW6	AF-A0A1P8AVN8-F1-model_v3	AF-A0A1B6PRW6-F1-model_v3	1.6e-57	195.7	7.62e-11	760.99	1.812E-34	1445	platinum
A0A1P8AVS2	A0A1Z5R6U1	AF-A0A1P8AVS2-F1-model_v3	AF-A0A1Z5R6U1-F1-model_v3	4.7e-183	513.5	0.00e+00	940.98	1.877E-54	2387	platinum
A0A1P8AW47	C5X9C7	AF-A0A1P8AW47-F1-model_v3	AF-C5X9C7-F1-model_v3	3.4e-131	388.3	4.01e-14	1044.06	3.166E-50	2319	platinum
A0A1P8AW53	A0A1B6PP58	AF-A0A1P8AW53-F1-model_v3	AF-A0A1B6PP58-F1-model_v3	4.0e-78	232.6	0.00e+00	546.70	5.432E-24	1054	platinum
A0A1P8AW81	A0A1B6QD48	AF-A0A1P8AW81-F1-model_v3	AF-A0A1B6QD48-F1-model_v3	4.8e-277	783.5	0.00e+00	1862.76	1.041E-97	4342	platinum
A0A1P8AWF5	C5XSZ2	AF-A0A1P8AWF5-F1-model_v3	AF-C5XSZ2-F1-model_v3	3.7e-105	304.3	0.00e+00	612.31	1.237E-36	1452	platinum
A0A1P8AWF9	C5X9Y6	AF-A0A1P8AWF9-F1-model_v3	AF-C5X9Y6-F1-model_v3	1.0e-299	847.8	0.00e+00	1894.56	NA	NA	gold
A0A1P8AWP1	C5Z4D7	AF-A0A1P8AWP1-F1-model_v3	AF-C5Z4D7-F1-model_v3	2.6e-221	632.5	NA	NA	2.064E-84	3444	gold
A0A1P8AX45	C5XR06	AF-A0A1P8AX45-F1-model_v3	AF-C5XR06-F1-model_v3	1.5e-201	569.3	0.00e+00	1145.75	9.759E-70	2839	platinum
A0A1P8AX50	C5Z3A1	AF-A0A1P8AX50-F1-model_v3	AF-C5Z3A1-F1-model_v3	9.4e-217	607.4	0.00e+00	1243.34	2.853E-57	2690	platinum
A0A1P8AX61	A0A1B6QII6	AF-A0A1P8AX61-F1-model_v3	AF-A0A1B6QII6-F1-model_v3	3.0e-32	114.0	2.48e-08	368.58	2.355E-16	684	platinum
A0A1P8AXB7	C5XV60	AF-A0A1P8AXB7-F1-model_v3	AF-C5XV60-F1-model_v3	3.7e-22	85.5	1.03e-10	341.43	NA	NA	gold
A0A1P8AYM3	C5YMF2	AF-A0A1P8AYM3-F1-model_v3	AF-C5YMF2-F1-model_v3	2.7e-21	83.2	NA	NA	NA	NA	silver
A0A1P8AYT1	C5WT10	AF-A0A1P8AYT1-F1-model_v3	AF-C5WT10-F1-model_v3	1.9e-101	300.4	1.77e-08	600.81	2.805E-32	1230	platinum
A0A1P8AYU7	A0A1B6QQM2	AF-A0A1P8AYU7-F1-model_v3	AF-A0A1B6QQM2-F1-model_v3	2.4e-38	142.5	2.17e-03	555.34	NA	NA	gold
A0A1P8AZ49	C5Z7I4	AF-A0A1P8AZ49-F1-model_v3	AF-C5Z7I4-F1-model_v3	2.2e-71	216.9	3.33e-16	484.98	2.112E-25	1040	platinum
A0A1P8AZ61	C5Z1C9	AF-A0A1P8AZ61-F1-model_v3	AF-C5Z1C9-F1-model_v3	1.3e-22	82.8	1.79e-06	158.19	NA	NA	gold
A0A1P8AZE1	A0A1B6P6Z6	AF-A0A1P8AZE1-F1-model_v3	AF-A0A1B6P6Z6-F1-model_v3	9.6e-19	76.6	1.28e-03	198.47	9.044E-07	269	platinum
A0A1P8AZJ4	C5YXC6	AF-A0A1P8AZJ4-F1-model_v3	AF-C5YXC6-F1-model_v3	1.4e-74	243.4	3.52e-05	756.54	NA	NA	gold
A0A1P8AZN3	C5XM91	AF-A0A1P8AZN3-F1-model_v3	AF-C5XM91-F1-model_v3	2.5e-134	384.0	0.00e+00	763.27	1.523E-47	1819	platinum
A0A1P8AZS5	C5XQ25	AF-A0A1P8AZS5-F1-model_v3	AF-C5XQ25-F1-model_v3	2.0e-125	354.8	5.55e-16	558.62	3.362E-34	1483	platinum
A0A1P8B068	C5XPM9	AF-A0A1P8B068-F1-model_v3	AF-C5XPM9-F1-model_v3	6.4e-114	328.2	NA	NA	NA	NA	silver
A0A1P8B0D8	C5XWE2	AF-A0A1P8B0D8-F1-model_v3	AF-C5XWE2-F1-model_v3	3.3e-42	141.7	1.11e-09	401.68	1.779E-20	795	platinum
A0A1P8B123	C5WXU9	AF-A0A1P8B123-F1-model_v3	AF-C5WXU9-F1-model_v3	1.8e-81	244.6	8.97e-08	424.86	1.424E-26	1056	platinum
A0A1P8B1A2	A0A1B6QQF7	AF-A0A1P8B1A2-F1-model_v3	AF-A0A1B6QQF7-F1-model_v3	3.9e-194	567.0	0.00e+00	1648.10	9.195E-53	2752	platinum
A0A1P8B1A7	C5YBV5	AF-A0A1P8B1A7-F1-model_v3	AF-C5YBV5-F1-model_v3	4.0e-153	439.5	NA	NA	8.464E-32	1787	gold
A0A1P8B1H3	A0A1W0W2Z7	AF-A0A1P8B1H3-F1-model_v3	AF-A0A1W0W2Z7-F1-model_v3	1.0e-159	464.5	0.00e+00	1163.83	2.029E-38	2117	platinum
A0A1P8B223	C5XP08	AF-A0A1P8B223-F1-model_v3	AF-C5XP08-F1-model_v3	1.1e-73	227.3	1.22e-15	632.92	5.456E-30	1323	platinum
A0A1P8B2J0	C5Z477	AF-A0A1P8B2J0-F1-model_v3	AF-C5Z477-F1-model_v3	2.2e-100	295.8	0.00e+00	692.29	1.028E-34	1440	platinum
A0A1P8B2T5	A0A194YLL9	AF-A0A1P8B2T5-F1-model_v3	AF-A0A194YLL9-F1-model_v3	1.2e-81	252.3	3.40e-12	798.20	2.224E-19	645	platinum
A0A1P8B2U5	C5WXN9	AF-A0A1P8B2U5-F1-model_v3	AF-C5WXN9-F1-model_v3	2.5e-39	144.1	NA	NA	NA	NA	silver
A0A1P8B3J8	A0A1W0W230	AF-A0A1P8B3J8-F1-model_v3	AF-A0A1W0W230-F1-model_v3	1.1e-45	147.9	NA	NA	5.911E-16	642	gold
A0A1P8B3M4	A0A1B6P642	AF-A0A1P8B3M4-F1-model_v3	AF-A0A1B6P642-F1-model_v3	1.6e-40	157.9	NA	NA	NA	NA	silver
A0A1P8B3W4	C5XIS0	AF-A0A1P8B3W4-F1-model_v3	AF-C5XIS0-F1-model_v3	1.0e-219	627.5	1.90e-09	1340.19	2.882E-63	2747	platinum
A0A1P8B415	A0A1B6PLZ0	AF-A0A1P8B415-F1-model_v3	AF-A0A1B6PLZ0-F1-model_v3	3.5e-288	818.5	5.40e-09	1788.70	5.483E-89	3830	platinum
A0A1P8B457	C5WWC4	AF-A0A1P8B457-F1-model_v3	AF-C5WWC4-F1-model_v3	5.0e-31	115.2	8.11e-04	343.06	NA	NA	gold
A0A1P8B4J0	A0A1W0VWX0	AF-A0A1P8B4J0-F1-model_v3	AF-A0A1W0VWX0-F1-model_v3	7.5e-30	115.5	1.73e-02	327.00	NA	NA	gold
A0A1P8B4K5	C5YK89	AF-A0A1P8B4K5-F1-model_v3	AF-C5YK89-F1-model_v3	1.4e-62	199.5	0.00e+00	663.07	1.030E-21	1117	platinum
A0A1P8B4T0	C5YMX7	AF-A0A1P8B4T0-F1-model_v3	AF-C5YMX7-F1-model_v3	4.0e-50	176.0	1.08e-12	822.13	1.228E-27	1181	platinum
A0A1P8B4Y6	C5Z2N0	AF-A0A1P8B4Y6-F1-model_v3	AF-C5Z2N0-F1-model_v3	3.8e-209	599.0	3.00e-08	1150.10	1.862E-58	2353	platinum
A0A1P8B5B0	A0A1B6QQE6	AF-A0A1P8B5B0-F1-model_v3	AF-A0A1B6QQE6-F1-model_v3	5.2e-37	140.6	NA	NA	NA	NA	silver
A0A1P8B5C8	C5YX90	AF-A0A1P8B5C8-F1-model_v3	AF-C5YX90-F1-model_v3	5.8e-30	110.5	7.21e-11	433.77	4.995E-16	697	platinum
A0A1P8B6C8	C5YIP8	AF-A0A1P8B6C8-F1-model_v3	AF-C5YIP8-F1-model_v3	5.7e-32	114.8	8.31e-10	297.56	1.862E-13	571	platinum
A0A1P8B6F6	C5Z3M9	AF-A0A1P8B6F6-F1-model_v3	AF-C5Z3M9-F1-model_v3	3.2e-124	365.5	7.82e-12	865.64	2.644E-40	1619	platinum
A0A1P8B6F9	C5YPR1	AF-A0A1P8B6F9-F1-model_v3	AF-C5YPR1-F1-model_v3	5.2e-309	848.2	NA	NA	1.916E-97	3990	gold
A0A1P8B6L8	A0A1B6PMN7	AF-A0A1P8B6L8-F1-model_v3	AF-A0A1B6PMN7-F1-model_v3	7.0e-248	736.5	0.00e+00	2530.99	4.124E-71	4146	platinum
A0A1P8B7A0	A0A1B6PD82	AF-A0A1P8B7A0-F1-model_v3	AF-A0A1B6PD82-F1-model_v3	2.4e-124	359.4	0.00e+00	822.58	1.048E-24	1421	platinum
A0A1P8B7B4	C5XNY8	AF-A0A1P8B7B4-F1-model_v3	AF-C5XNY8-F1-model_v3	1.1e-16	73.2	8.36e-10	331.81	6.074E-11	457	platinum
A0A1P8B7F5	C5XMV3	AF-A0A1P8B7F5-F1-model_v3	AF-C5XMV3-F1-model_v3	3.0e-231	654.8	0.00e+00	1512.34	2.140E-81	3421	platinum
A0A1P8B7H4	A0A1Z5R859	AF-A0A1P8B7H4-F1-model_v3	AF-A0A1Z5R859-F1-model_v3	7.8e-67	208.4	NA	NA	8.549E-20	813	gold
A0A1P8B7K8	A0A1B6Q837	AF-A0A1P8B7K8-F1-model_v3	AF-A0A1B6Q837-F1-model_v3	1.7e-73	251.1	NA	NA	NA	NA	silver
A0A1P8B7P8	A0A1B6P7S3	AF-A0A1P8B7P8-F1-model_v3	AF-A0A1B6P7S3-F1-model_v3	3.0e-36	128.6	NA	NA	1.056E-18	759	gold
A0A1P8B7Z9	A0A1W0W6I9	AF-A0A1P8B7Z9-F1-model_v3	AF-A0A1W0W6I9-F1-model_v3	8.8e-177	553.9	3.19e-13	2299.76	3.911E-55	3071	platinum
A0A1P8B891	C5Z711	AF-A0A1P8B891-F1-model_v3	AF-C5Z711-F1-model_v3	2.6e-240	683.7	1.41e-13	1559.26	1.696E-75	3364	platinum
A0A1P8B8B4	A0A1W0W7M5	AF-A0A1P8B8B4-F1-model_v3	AF-A0A1W0W7M5-F1-model_v3	6.5e-229	653.3	0.00e+00	1652.21	2.093E-85	3823	platinum
A0A1P8B9B9	C5XVX9	AF-A0A1P8B9B9-F1-model_v3	AF-C5XVX9-F1-model_v3	1.0e-128	389.0	NA	NA	4.610E-47	2020	gold
A0A1P8B9K4	A0A1Z5RQI3	AF-A0A1P8B9K4-F1-model_v3	AF-A0A1Z5RQI3-F1-model_v3	9.9e-80	252.7	2.22e-15	874.39	3.193E-19	1128	platinum
A0A1P8B9R0	A0A1B6QJ43	AF-A0A1P8B9R0-F1-model_v3	AF-A0A1B6QJ43-F1-model_v3	7.3e-282	802.0	1.85e-05	1619.28	3.978E-62	2882	platinum
A0A1P8BA81	C5XCV7	AF-A0A1P8BA81-F1-model_v3	AF-C5XCV7-F1-model_v3	6.2e-74	224.6	3.69e-13	521.14	3.513E-26	1062	platinum
A0A1P8BAF7	A0A1W0VY03	AF-A0A1P8BAF7-F1-model_v3	AF-A0A1W0VY03-F1-model_v3	1.7e-54	201.4	6.19e-08	1619.76	NA	NA	gold
A0A1P8BB34	C6JRY9	AF-A0A1P8BB34-F1-model_v3	AF-C6JRY9-F1-model_v3	5.7e-242	667.5	0.00e+00	1217.22	7.611E-43	2533	platinum
A0A1P8BB42	C5XIA3	AF-A0A1P8BB42-F1-model_v3	AF-C5XIA3-F1-model_v3	8.8e-94	287.3	8.50e-09	843.46	6.956E-41	1566	platinum
A0A1P8BB81	A0A1W0W1Q9	AF-A0A1P8BB81-F1-model_v3	AF-A0A1W0W1Q9-F1-model_v3	9.7e-69	227.6	3.25e-08	735.09	4.675E-32	1446	platinum
A0A1P8BBF5	C5XX39	AF-A0A1P8BBF5-F1-model_v3	AF-C5XX39-F1-model_v3	1.3e-92	271.9	0.00e+00	551.26	6.412E-30	1187	platinum
A0A1P8BBT1	A0A1Z5R8F2	AF-A0A1P8BBT1-F1-model_v3	AF-A0A1Z5R8F2-F1-model_v3	1.0e-10	60.5	NA	NA	NA	NA	silver
A0A1P8BC04	A0A1B6QIC2	AF-A0A1P8BC04-F1-model_v3	AF-A0A1B6QIC2-F1-model_v3	5.2e-62	195.7	5.19e-07	404.42	NA	NA	gold
A0A1P8BCC3	C5YXP0	AF-A0A1P8BCC3-F1-model_v3	AF-C5YXP0-F1-model_v3	1.3e-11	54.7	3.01e-02	86.54	NA	NA	gold
A0A1P8BCR2	C5WT92	AF-A0A1P8BCR2-F1-model_v3	AF-C5WT92-F1-model_v3	1.1e-95	280.0	0.00e+00	637.02	2.985E-30	1291	platinum
A0A1P8BD18	C5XFN9	AF-A0A1P8BD18-F1-model_v3	AF-C5XFN9-F1-model_v3	2.3e-107	319.7	9.37e-11	660.58	2.026E-28	1165	platinum
