Uniprot_arabadopsis	Uniprot_soybean	AlphaFold_arabadopsis	AlphaFold_soybean	diamond_value	diamond_score	fatcat_value	fatcat_score	foldseek_value	foldseek_score	platinum
A0A1I9LLC5	I1N9B2	AF-A0A1I9LLC5-F1-model_v3	AF-I1N9B2-F1-model_v3	0.0e+00	1062.0	1.47e-07	2238.98	4.507E-87	4162	platinum
A0A1I9LLD6	I1KZI2	AF-A0A1I9LLD6-F1-model_v3	AF-I1KZI2-F1-model_v3	1.3e-150	428.7	NA	NA	NA	NA	silver
A0A1I9LLJ3	K7K5M8	AF-A0A1I9LLJ3-F1-model_v3	AF-K7K5M8-F1-model_v3	4.9e-305	887.1	1.23e-12	2223.56	1.047E-64	3856	platinum
A0A1I9LLN1	K7KGH9	AF-A0A1I9LLN1-F1-model_v3	AF-K7KGH9-F1-model_v3	5.5e-04	38.9	3.76e-01	83.86	NA	NA	gold
A0A1I9LLR6	I1NA19	AF-A0A1I9LLR6-F1-model_v3	AF-I1NA19-F1-model_v3	5.5e-170	496.9	NA	NA	NA	NA	silver
A0A1I9LM22	I1LLB7	AF-A0A1I9LM22-F1-model_v3	AF-I1LLB7-F1-model_v3	3.2e-240	683.7	0.00e+00	1717.56	1.482E-90	3779	platinum
A0A1I9LM38	I1N7S3	AF-A0A1I9LM38-F1-model_v3	AF-I1N7S3-F1-model_v3	6.4e-133	381.3	1.09e-14	708.09	1.827E-40	1591	platinum
A0A1I9LM77	A0A0R0G8R2	AF-A0A1I9LM77-F1-model_v3	AF-A0A0R0G8R2-F1-model_v3	2.3e-142	415.6	1.97e-08	815.62	5.845E-45	1887	platinum
A0A1I9LM80	I1NI10	AF-A0A1I9LM80-F1-model_v3	AF-I1NI10-F1-model_v3	3.0e-11	54.7	4.02e-03	112.04	NA	NA	gold
A0A1I9LMD5	I1JJ60	AF-A0A1I9LMD5-F1-model_v3	AF-I1JJ60-F1-model_v3	4.7e-183	522.3	NA	NA	NA	NA	silver
A0A1I9LMV6	I1KMZ3	AF-A0A1I9LMV6-F1-model_v3	AF-I1KMZ3-F1-model_v3	8.6e-106	308.9	0.00e+00	680.39	1.633E-38	1650	platinum
A0A1I9LN01	K7M0Q9	AF-A0A1I9LN01-F1-model_v3	AF-K7M0Q9-F1-model_v3	5.8e-264	734.6	0.00e+00	1653.59	3.041E-96	3900	platinum
A0A1I9LN13	A0A0R0JM57	AF-A0A1I9LN13-F1-model_v3	AF-A0A0R0JM57-F1-model_v3	1.1e-29	114.4	NA	NA	1.742E-14	549	gold
A0A1I9LN82	K7MCM1	AF-A0A1I9LN82-F1-model_v3	AF-K7MCM1-F1-model_v3	1.9e-266	792.7	NA	NA	7.131E-78	3461	gold
A0A1I9LN87	K7LBS1	AF-A0A1I9LN87-F1-model_v3	AF-K7LBS1-F1-model_v3	0.0e+00	1016.5	0.00e+00	2923.74	NA	NA	gold
A0A1I9LPX1	K7KNC7	AF-A0A1I9LPX1-F1-model_v3	AF-K7KNC7-F1-model_v3	2.4e-39	149.4	NA	NA	6.114E-14	525	gold
A0A1I9LPY5	I1JX02	AF-A0A1I9LPY5-F1-model_v3	AF-I1JX02-F1-model_v3	9.6e-33	121.3	3.91e-12	616.70	2.404E-11	386	platinum
A0A1I9LQ21	K7K2J4	AF-A0A1I9LQ21-F1-model_v3	AF-K7K2J4-F1-model_v3	0.0e+00	1411.0	0.00e+00	2700.70	0.000E+00	5979	platinum
A0A1I9LQ51	A0A0R0G9R1	AF-A0A1I9LQ51-F1-model_v3	AF-A0A0R0G9R1-F1-model_v3	1.9e-05	44.7	3.04e-04	341.34	NA	NA	gold
A0A1I9LQ94	I1JLV2	AF-A0A1I9LQ94-F1-model_v3	AF-I1JLV2-F1-model_v3	2.8e-65	201.1	NA	NA	3.669E-21	834	gold
A0A1I9LQA1	I1KYX8	AF-A0A1I9LQA1-F1-model_v3	AF-I1KYX8-F1-model_v3	2.3e-88	258.5	0.00e+00	507.09	8.646E-19	848	platinum
A0A1I9LQC2	I1N630	AF-A0A1I9LQC2-F1-model_v3	AF-I1N630-F1-model_v3	3.0e-254	720.3	0.00e+00	1697.75	2.955E-91	3859	platinum
A0A1I9LQY7	I1NIE2	AF-A0A1I9LQY7-F1-model_v3	AF-I1NIE2-F1-model_v3	1.1e-178	513.1	0.00e+00	1208.49	2.551E-54	2651	platinum
A0A1I9LR23	I1KWJ0	AF-A0A1I9LR23-F1-model_v3	AF-I1KWJ0-F1-model_v3	4.1e-271	744.2	0.00e+00	1323.01	5.646E-85	3555	platinum
A0A1I9LRA7	I1MTU7	AF-A0A1I9LRA7-F1-model_v3	AF-I1MTU7-F1-model_v3	5.9e-77	232.3	1.78e-08	433.75	1.563E-26	1018	platinum
A0A1I9LRC2	A0A0R0ENL8	AF-A0A1I9LRC2-F1-model_v3	AF-A0A0R0ENL8-F1-model_v3	5.3e-65	201.4	7.70e-07	408.65	7.827E-21	850	platinum
A0A1I9LS02	C6SZ52	AF-A0A1I9LS02-F1-model_v3	AF-C6SZ52-F1-model_v3	1.9e-66	198.0	1.26e-09	282.37	1.010E-11	532	platinum
A0A1I9LSE8	A0A0R0J369	AF-A0A1I9LSE8-F1-model_v3	AF-A0A0R0J369-F1-model_v3	9.4e-249	738.8	5.27e-08	2193.75	5.540E-94	4606	platinum
A0A1I9LSL4	I1K9L3	AF-A0A1I9LSL4-F1-model_v3	AF-I1K9L3-F1-model_v3	2.1e-169	489.2	0.00e+00	1167.33	1.529E-63	2617	platinum
A0A1I9LSN1	K7K0S3	AF-A0A1I9LSN1-F1-model_v3	AF-K7K0S3-F1-model_v3	1.7e-25	92.8	2.09e-08	247.32	NA	NA	gold
A0A1I9LSN7	A0A0R0J9S6	AF-A0A1I9LSN7-F1-model_v3	AF-A0A0R0J9S6-F1-model_v3	8.2e-220	615.5	NA	NA	NA	NA	silver
A0A1I9LSP3	I1LBJ7	AF-A0A1I9LSP3-F1-model_v3	AF-I1LBJ7-F1-model_v3	1.1e-62	195.7	9.84e-10	488.02	5.191E-21	888	platinum
A0A1I9LSY4	I1LN22	AF-A0A1I9LSY4-F1-model_v3	AF-I1LN22-F1-model_v3	8.2e-72	241.5	2.55e-10	891.10	2.754E-23	1178	platinum
A0A1I9LSZ8	A0A0R0F6E6	AF-A0A1I9LSZ8-F1-model_v3	AF-A0A0R0F6E6-F1-model_v3	3.2e-04	41.2	NA	NA	NA	NA	silver
A0A1I9LT08	K7LQA6	AF-A0A1I9LT08-F1-model_v3	AF-K7LQA6-F1-model_v3	9.6e-39	137.5	5.83e-05	552.73	1.529E-11	422	platinum
A0A1I9LT82	A0A0R0IYP8	AF-A0A1I9LT82-F1-model_v3	AF-A0A0R0IYP8-F1-model_v3	7.6e-81	255.8	NA	NA	NA	NA	silver
A0A1I9LTS6	I1JVV8	AF-A0A1I9LTS6-F1-model_v3	AF-I1JVV8-F1-model_v3	0.0e+00	1540.0	0.00e+00	2904.70	0.000E+00	7877	platinum
A0A1P8AM23	K7KVZ9	AF-A0A1P8AM23-F1-model_v3	AF-K7KVZ9-F1-model_v3	7.2e-244	694.9	0.00e+00	1748.25	1.040E-86	3601	platinum
A0A1P8AMK1	C6SZ62	AF-A0A1P8AMK1-F1-model_v3	AF-C6SZ62-F1-model_v3	1.8e-113	322.4	0.00e+00	575.20	1.357E-36	1385	platinum
A0A1P8AP72	A0A0R0IZY4	AF-A0A1P8AP72-F1-model_v3	AF-A0A0R0IZY4-F1-model_v3	5.8e-178	506.9	1.11e-15	1113.51	2.089E-50	2363	platinum
A0A1P8AP81	A0A0R0FG30	AF-A0A1P8AP81-F1-model_v3	AF-A0A0R0FG30-F1-model_v3	1.6e-58	181.0	1.29e-10	414.76	1.431E-12	625	platinum
A0A1P8AP94	K7LMP3	AF-A0A1P8AP94-F1-model_v3	AF-K7LMP3-F1-model_v3	0.0e+00	1429.1	2.85e-11	3333.46	0.000E+00	6899	platinum
A0A1P8AP99	K7L7A1	AF-A0A1P8AP99-F1-model_v3	AF-K7L7A1-F1-model_v3	1.9e-203	578.2	1.57e-13	1254.74	3.754E-56	2729	platinum
A0A1P8API0	I1KDW3	AF-A0A1P8API0-F1-model_v3	AF-I1KDW3-F1-model_v3	8.5e-67	200.3	NA	NA	NA	NA	silver
A0A1P8APM3	K7LU55	AF-A0A1P8APM3-F1-model_v3	AF-K7LU55-F1-model_v3	2.2e-144	408.7	NA	NA	3.622E-30	1624	gold
A0A1P8APP1	I1M279	AF-A0A1P8APP1-F1-model_v3	AF-I1M279-F1-model_v3	6.4e-133	389.8	3.33e-16	995.60	3.548E-48	1964	platinum
A0A1P8APV7	K7LBV9	AF-A0A1P8APV7-F1-model_v3	AF-K7LBV9-F1-model_v3	2.3e-25	104.0	NA	NA	3.190E-14	556	gold
A0A1P8AQ71	I1K9M3	AF-A0A1P8AQ71-F1-model_v3	AF-I1K9M3-F1-model_v3	0.0e+00	984.6	NA	NA	0.000E+00	5103	gold
A0A1P8AQJ5	I1KU07	AF-A0A1P8AQJ5-F1-model_v3	AF-I1KU07-F1-model_v3	4.1e-85	259.2	2.68e-06	529.07	1.417E-22	1031	platinum
A0A1P8AQT9	K7N102	AF-A0A1P8AQT9-F1-model_v3	AF-K7N102-F1-model_v3	8.9e-37	136.7	2.50e-05	624.70	1.168E-10	393	platinum
A0A1P8ARI2	I1N0B7	AF-A0A1P8ARI2-F1-model_v3	AF-I1N0B7-F1-model_v3	8.9e-140	407.5	9.09e-09	904.69	7.541E-49	1826	platinum
A0A1P8ARP0	K7LAY7	AF-A0A1P8ARP0-F1-model_v3	AF-K7LAY7-F1-model_v3	1.9e-51	195.3	3.51e-02	1092.45	1.216E-23	1083	platinum
A0A1P8AS11	A0A0R0LEU9	AF-A0A1P8AS11-F1-model_v3	AF-A0A0R0LEU9-F1-model_v3	3.5e-07	42.4	2.25e-05	119.82	NA	NA	gold
A0A1P8ASM6	I1K3L0	AF-A0A1P8ASM6-F1-model_v3	AF-I1K3L0-F1-model_v3	0.0e+00	1059.3	0.00e+00	2385.97	0.000E+00	5608	platinum
A0A1P8ASX9	K7KE67	AF-A0A1P8ASX9-F1-model_v3	AF-K7KE67-F1-model_v3	4.5e-210	595.5	2.15e-11	1089.52	3.483E-61	2844	platinum
A0A1P8ASY1	K7KYE7	AF-A0A1P8ASY1-F1-model_v3	AF-K7KYE7-F1-model_v3	0.0e+00	1368.6	0.00e+00	3086.31	NA	NA	gold
A0A1P8AT95	A0A0R0FU35	AF-A0A1P8AT95-F1-model_v3	AF-A0A0R0FU35-F1-model_v3	0.0e+00	2129.4	4.44e-16	5042.51	NA	NA	gold
A0A1P8ATB1	A0A0R0I9L1	AF-A0A1P8ATB1-F1-model_v3	AF-A0A0R0I9L1-F1-model_v3	8.7e-85	255.8	0.00e+00	635.91	4.252E-34	1297	platinum
A0A1P8ATM6	K7K4Q6	AF-A0A1P8ATM6-F1-model_v3	AF-K7K4Q6-F1-model_v3	0.0e+00	1135.9	0.00e+00	3121.17	1.402E-80	5474	platinum
A0A1P8ATN7	I1NF29	AF-A0A1P8ATN7-F1-model_v3	AF-I1NF29-F1-model_v3	0.0e+00	1145.6	0.00e+00	2148.14	0.000E+00	5497	platinum
A0A1P8AU29	K7N5I9	AF-A0A1P8AU29-F1-model_v3	AF-K7N5I9-F1-model_v3	5.7e-243	694.5	7.41e-13	1633.40	1.400E-62	3302	platinum
A0A1P8AU61	I1NH95	AF-A0A1P8AU61-F1-model_v3	AF-I1NH95-F1-model_v3	1.1e-211	602.8	0.00e+00	1455.00	2.098E-56	3042	platinum
A0A1P8AUG1	K7L3C3	AF-A0A1P8AUG1-F1-model_v3	AF-K7L3C3-F1-model_v3	6.0e-70	231.1	NA	NA	NA	NA	silver
A0A1P8AUR3	A0A0R4J499	AF-A0A1P8AUR3-F1-model_v3	AF-A0A0R4J499-F1-model_v3	3.1e-134	384.8	0.00e+00	718.52	3.076E-46	1829	platinum
A0A1P8AV25	A0A0R0GTX9	AF-A0A1P8AV25-F1-model_v3	AF-A0A0R0GTX9-F1-model_v3	0.0e+00	1189.5	0.00e+00	2645.39	NA	NA	gold
A0A1P8AVC2	I1ME69	AF-A0A1P8AVC2-F1-model_v3	AF-I1ME69-F1-model_v3	3.5e-55	172.9	NA	NA	NA	NA	silver
A0A1P8AVJ4	I1L7A5	AF-A0A1P8AVJ4-F1-model_v3	AF-I1L7A5-F1-model_v3	0.0e+00	1343.2	0.00e+00	3266.57	1.991E-95	6429	platinum
A0A1P8AVN8	K7KQF7	AF-A0A1P8AVN8-F1-model_v3	AF-K7KQF7-F1-model_v3	3.2e-108	327.4	1.31e-14	852.52	9.202E-45	1860	platinum
A0A1P8AW47	K7MF12	AF-A0A1P8AW47-F1-model_v3	AF-K7MF12-F1-model_v3	1.2e-159	459.9	0.00e+00	1067.09	2.462E-54	2505	platinum
A0A1P8AW70	K7LI42	AF-A0A1P8AW70-F1-model_v3	AF-K7LI42-F1-model_v3	1.5e-22	89.4	NA	NA	NA	NA	silver
A0A1P8AW81	A0A0R0KWG6	AF-A0A1P8AW81-F1-model_v3	AF-A0A0R0KWG6-F1-model_v3	0.0e+00	938.7	0.00e+00	1955.84	0.000E+00	4793	platinum
A0A1P8AWF3	A0A0R0FU99	AF-A0A1P8AWF3-F1-model_v3	AF-A0A0R0FU99-F1-model_v3	8.4e-301	860.9	1.45e-08	2020.24	2.573E-97	4242	platinum
A0A1P8AWF5	K7K469	AF-A0A1P8AWF5-F1-model_v3	AF-K7K469-F1-model_v3	3.3e-117	334.0	0.00e+00	608.37	1.285E-37	1491	platinum
A0A1P8AWF9	K7M2X2	AF-A0A1P8AWF9-F1-model_v3	AF-K7M2X2-F1-model_v3	0.0e+00	1031.9	2.22e-16	2139.44	NA	NA	gold
A0A1P8AWH8	K7MNJ0	AF-A0A1P8AWH8-F1-model_v3	AF-K7MNJ0-F1-model_v3	0.0e+00	1316.6	0.00e+00	2599.23	0.000E+00	6794	platinum
A0A1P8AWP1	K7KWU4	AF-A0A1P8AWP1-F1-model_v3	AF-K7KWU4-F1-model_v3	3.0e-236	670.6	2.23e-14	1617.35	1.301E-88	3614	platinum
A0A1P8AWX3	C6ZS00	AF-A0A1P8AWX3-F1-model_v3	AF-C6ZS00-F1-model_v3	3.1e-112	342.0	0.00e+00	1339.83	1.649E-56	2941	platinum
A0A1P8AWZ7	I1JBA3	AF-A0A1P8AWZ7-F1-model_v3	AF-I1JBA3-F1-model_v3	5.3e-149	420.6	0.00e+00	759.01	NA	NA	gold
A0A1P8AX05	A0A0R0EQD3	AF-A0A1P8AX05-F1-model_v3	AF-A0A0R0EQD3-F1-model_v3	1.4e-255	704.5	NA	NA	8.442E-47	2487	gold
A0A1P8AX45	A0A0R0GT97	AF-A0A1P8AX45-F1-model_v3	AF-A0A0R0GT97-F1-model_v3	1.8e-210	590.1	0.00e+00	1120.10	2.840E-70	2862	platinum
A0A1P8AX50	I1L6T2	AF-A0A1P8AX50-F1-model_v3	AF-I1L6T2-F1-model_v3	8.1e-231	643.3	0.00e+00	1298.53	4.465E-61	2866	platinum
A0A1P8AX61	I1JDI2	AF-A0A1P8AX61-F1-model_v3	AF-I1JDI2-F1-model_v3	4.0e-39	132.1	3.88e-07	366.37	1.204E-17	735	platinum
A0A1P8AXU9	I1JM41	AF-A0A1P8AXU9-F1-model_v3	AF-I1JM41-F1-model_v3	5.6e-269	773.9	5.08e-09	1815.73	9.450E-97	4156	platinum
A0A1P8AYJ0	K7N0U5	AF-A0A1P8AYJ0-F1-model_v3	AF-K7N0U5-F1-model_v3	3.5e-50	193.0	7.10e-03	1318.77	2.607E-26	980	platinum
A0A1P8AYT1	I1KNP9	AF-A0A1P8AYT1-F1-model_v3	AF-I1KNP9-F1-model_v3	1.9e-139	397.1	1.10e-09	654.56	9.863E-38	1430	platinum
A0A1P8AZ49	I1LYC6	AF-A0A1P8AZ49-F1-model_v3	AF-I1LYC6-F1-model_v3	1.9e-80	240.0	0.00e+00	518.64	2.717E-26	1076	platinum
A0A1P8AZE1	I1KZ90	AF-A0A1P8AZE1-F1-model_v3	AF-I1KZ90-F1-model_v3	1.3e-23	88.6	1.57e-06	254.72	3.199E-07	285	platinum
A0A1P8AZJ4	I1LJA1	AF-A0A1P8AZJ4-F1-model_v3	AF-I1LJA1-F1-model_v3	9.8e-119	356.3	9.35e-08	895.09	6.603E-35	1429	platinum
A0A1P8AZN3	I1KFF8	AF-A0A1P8AZN3-F1-model_v3	AF-I1KFF8-F1-model_v3	9.7e-152	426.8	0.00e+00	739.34	1.034E-50	1938	platinum
A0A1P8AZU6	I1JNA8	AF-A0A1P8AZU6-F1-model_v3	AF-I1JNA8-F1-model_v3	1.4e-56	180.3	1.11e-16	515.79	4.523E-21	902	platinum
A0A1P8B041	K7MBJ5	AF-A0A1P8B041-F1-model_v3	AF-K7MBJ5-F1-model_v3	7.9e-69	242.3	NA	NA	NA	NA	silver
A0A1P8B0D8	C6SZC1	AF-A0A1P8B0D8-F1-model_v3	AF-C6SZC1-F1-model_v3	4.0e-59	182.6	2.24e-13	350.71	5.134E-21	816	platinum
A0A1P8B0L2	K7MVC4	AF-A0A1P8B0L2-F1-model_v3	AF-K7MVC4-F1-model_v3	9.0e-273	832.0	6.24e-09	2624.11	1.001E-62	3667	platinum
A0A1P8B118	I1MS42	AF-A0A1P8B118-F1-model_v3	AF-I1MS42-F1-model_v3	0.0e+00	1218.8	2.04e-08	3172.81	NA	NA	gold
A0A1P8B1A2	I1N8B5	AF-A0A1P8B1A2-F1-model_v3	AF-I1N8B5-F1-model_v3	4.8e-263	742.3	0.00e+00	1665.68	2.192E-65	3394	platinum
A0A1P8B1A7	I1NEJ3	AF-A0A1P8B1A7-F1-model_v3	AF-I1NEJ3-F1-model_v3	5.7e-171	486.1	0.00e+00	1077.45	3.307E-35	1972	platinum
A0A1P8B1C9	K7M5C2	AF-A0A1P8B1C9-F1-model_v3	AF-K7M5C2-F1-model_v3	1.8e-162	472.2	5.55e-16	1203.97	2.225E-51	2305	platinum
A0A1P8B1H3	K7K6V5	AF-A0A1P8B1H3-F1-model_v3	AF-K7K6V5-F1-model_v3	3.0e-174	503.1	4.77e-15	1181.95	4.100E-41	2262	platinum
A0A1P8B1J6	I1JNR1	AF-A0A1P8B1J6-F1-model_v3	AF-I1JNR1-F1-model_v3	5.0e-04	40.4	4.14e-02	207.07	NA	NA	gold
A0A1P8B1L8	K7KQ31	AF-A0A1P8B1L8-F1-model_v3	AF-K7KQ31-F1-model_v3	6.1e-67	208.8	1.80e-03	322.48	NA	NA	gold
A0A1P8B2J0	I1LYL5	AF-A0A1P8B2J0-F1-model_v3	AF-I1LYL5-F1-model_v3	1.2e-121	350.1	0.00e+00	707.31	2.618E-36	1505	platinum
A0A1P8B2K7	I1MF32	AF-A0A1P8B2K7-F1-model_v3	AF-I1MF32-F1-model_v3	9.1e-23	95.5	NA	NA	3.226E-10	572	gold
A0A1P8B2L4	A0A0R0KBI0	AF-A0A1P8B2L4-F1-model_v3	AF-A0A0R0KBI0-F1-model_v3	4.6e-92	295.0	NA	NA	NA	NA	silver
A0A1P8B2N5	K7LZF6	AF-A0A1P8B2N5-F1-model_v3	AF-K7LZF6-F1-model_v3	6.9e-06	49.7	NA	NA	NA	NA	silver
A0A1P8B2T9	I1LY13	AF-A0A1P8B2T9-F1-model_v3	AF-I1LY13-F1-model_v3	4.3e-32	111.7	NA	NA	NA	NA	silver
A0A1P8B2U5	I1JGZ9	AF-A0A1P8B2U5-F1-model_v3	AF-I1JGZ9-F1-model_v3	2.9e-96	290.4	NA	NA	NA	NA	silver
A0A1P8B3J8	K7L6C6	AF-A0A1P8B3J8-F1-model_v3	AF-K7L6C6-F1-model_v3	7.2e-55	171.8	4.15e-09	363.44	5.643E-17	681	platinum
A0A1P8B3W0	I1MGK8	AF-A0A1P8B3W0-F1-model_v3	AF-I1MGK8-F1-model_v3	3.8e-06	45.8	6.18e-07	354.99	9.314E-06	211	platinum
A0A1P8B3X9	K7L3Y5	AF-A0A1P8B3X9-F1-model_v3	AF-K7L3Y5-F1-model_v3	4.4e-40	133.7	NA	NA	1.206E-11	459	gold
A0A1P8B457	I1MV02	AF-A0A1P8B457-F1-model_v3	AF-I1MV02-F1-model_v3	2.9e-31	115.9	1.88e-05	395.72	2.672E-13	520	platinum
A0A1P8B4P1	A0A0R0JUC5	AF-A0A1P8B4P1-F1-model_v3	AF-A0A0R0JUC5-F1-model_v3	2.1e-200	596.3	0.00e+00	1526.41	3.225E-37	2626	platinum
A0A1P8B4T0	I1N1Z6	AF-A0A1P8B4T0-F1-model_v3	AF-I1N1Z6-F1-model_v3	1.6e-82	262.3	1.54e-14	897.56	3.558E-35	1488	platinum
A0A1P8B4Y6	I1M0D7	AF-A0A1P8B4Y6-F1-model_v3	AF-I1M0D7-F1-model_v3	1.1e-251	707.2	9.97e-13	1325.14	2.255E-65	2626	platinum
A0A1P8B554	K7MP23	AF-A0A1P8B554-F1-model_v3	AF-K7MP23-F1-model_v3	1.4e-123	354.8	NA	NA	NA	NA	silver
A0A1P8B5B0	I1LE20	AF-A0A1P8B5B0-F1-model_v3	AF-I1LE20-F1-model_v3	3.3e-71	233.4	NA	NA	3.026E-17	649	gold
A0A1P8B5C8	I1MRE4	AF-A0A1P8B5C8-F1-model_v3	AF-I1MRE4-F1-model_v3	7.9e-44	147.5	3.60e-11	469.27	4.940E-19	818	platinum
A0A1P8B5D8	K7KSA7	AF-A0A1P8B5D8-F1-model_v3	AF-K7KSA7-F1-model_v3	7.2e-29	119.8	NA	NA	NA	NA	silver
A0A1P8B6F9	I1L7R7	AF-A0A1P8B6F9-F1-model_v3	AF-I1L7R7-F1-model_v3	0.0e+00	945.3	NA	NA	0.000E+00	4297	gold
A0A1P8B7A0	A0A0R0L428	AF-A0A1P8B7A0-F1-model_v3	AF-A0A0R0L428-F1-model_v3	7.2e-135	387.1	0.00e+00	778.66	3.505E-25	1449	platinum
A0A1P8B7B4	K7LZG3	AF-A0A1P8B7B4-F1-model_v3	AF-K7LZG3-F1-model_v3	2.7e-37	125.9	4.65e-13	322.06	8.778E-13	526	platinum
A0A1P8B7H4	I1MG92	AF-A0A1P8B7H4-F1-model_v3	AF-I1MG92-F1-model_v3	1.2e-136	389.4	0.00e+00	786.29	3.129E-46	1823	platinum
A0A1P8B7P8	A0A0R0KKK3	AF-A0A1P8B7P8-F1-model_v3	AF-A0A0R0KKK3-F1-model_v3	1.8e-55	179.1	1.11e-13	436.38	2.600E-22	896	platinum
A0A1P8B7Z9	A0A0R0F741	AF-A0A1P8B7Z9-F1-model_v3	AF-A0A0R0F741-F1-model_v3	0.0e+00	1013.8	4.66e-13	2652.39	8.624E-86	4735	platinum
A0A1P8B8B4	A0A0R0J475	AF-A0A1P8B8B4-F1-model_v3	AF-A0A0R0J475-F1-model_v3	1.5e-262	740.7	0.00e+00	1725.64	4.506E-93	4162	platinum
A0A1P8B8L5	K7KIW2	AF-A0A1P8B8L5-F1-model_v3	AF-K7KIW2-F1-model_v3	9.1e-91	281.2	2.57e-11	825.58	1.906E-33	1497	platinum
A0A1P8B8P6	I1JGX4	AF-A0A1P8B8P6-F1-model_v3	AF-I1JGX4-F1-model_v3	1.1e-112	323.6	0.00e+00	630.29	2.673E-38	1443	platinum
A0A1P8B8R6	A0A0R0FZ58	AF-A0A1P8B8R6-F1-model_v3	AF-A0A0R0FZ58-F1-model_v3	2.8e-31	116.3	NA	NA	NA	NA	silver
A0A1P8B8R8	I1LT89	AF-A0A1P8B8R8-F1-model_v3	AF-I1LT89-F1-model_v3	8.0e-09	51.6	2.85e-03	195.66	NA	NA	gold
A0A1P8B9B9	K7K1B5	AF-A0A1P8B9B9-F1-model_v3	AF-K7K1B5-F1-model_v3	3.2e-159	468.8	NA	NA	5.247E-55	2352	gold
A0A1P8B9P9	K7KTD8	AF-A0A1P8B9P9-F1-model_v3	AF-K7KTD8-F1-model_v3	3.0e-23	99.4	9.35e-04	524.65	NA	NA	gold
A0A1P8B9S9	I1LDJ2	AF-A0A1P8B9S9-F1-model_v3	AF-I1LDJ2-F1-model_v3	0.0e+00	1052.7	1.11e-16	2638.44	1.356E-83	5036	platinum
A0A1P8B9U3	K7LBF4	AF-A0A1P8B9U3-F1-model_v3	AF-K7LBF4-F1-model_v3	0.0e+00	993.8	0.00e+00	1933.67	0.000E+00	4776	platinum
A0A1P8BA18	A0A0R0HBZ4	AF-A0A1P8BA18-F1-model_v3	AF-A0A0R0HBZ4-F1-model_v3	1.5e-26	119.0	4.10e-02	1335.66	3.256E-09	324	platinum
A0A1P8BAD1	A0A0R0IYR3	AF-A0A1P8BAD1-F1-model_v3	AF-A0A0R0IYR3-F1-model_v3	7.4e-61	190.7	1.01e-04	366.32	2.749E-14	541	platinum
A0A1P8BAJ1	I1MF58	AF-A0A1P8BAJ1-F1-model_v3	AF-I1MF58-F1-model_v3	3.1e-166	469.2	NA	NA	NA	NA	silver
A0A1P8BAT4	K7MTX0	AF-A0A1P8BAT4-F1-model_v3	AF-K7MTX0-F1-model_v3	6.3e-287	822.4	0.00e+00	2568.72	0.000E+00	5729	platinum
A0A1P8BB42	I1KXQ7	AF-A0A1P8BB42-F1-model_v3	AF-I1KXQ7-F1-model_v3	3.4e-115	342.8	2.32e-06	798.98	3.821E-43	1651	platinum
