Uniprot_arabadopsis	Uniprot_maize	AlphaFold_arabadopsis	AlphaFold_maize	diamond_value	diamond_score	fatcat_value	fatcat_score	foldseek_value	foldseek_score	platinum
A0A1P8AZ30	B4FHI4	AF-A0A1P8AZ30-F1-model_v3	AF-B4FHI4-F1-model_v3	4.3e-69	215.3	NA	NA	1.881E-21	798	gold
A0A1P8AZ49	A0A1D6LW05	AF-A0A1P8AZ49-F1-model_v3	AF-A0A1D6LW05-F1-model_v3	9.0e-23	89.7	NA	NA	NA	NA	silver
A0A1P8AZ82	Q6R9E7	AF-A0A1P8AZ82-F1-model_v3	AF-Q6R9E7-F1-model_v3	1.70e-02	125.62	1.70e-02	125.62	NA	NA	gold
A0A1P8AZE1	A0A1D6HX06	AF-A0A1P8AZE1-F1-model_v3	AF-A0A1D6HX06-F1-model_v3	4.4e-16	69.3	2.25e-03	169.49	3.951E-04	188	platinum
A0A1P8AZJ4	A0A1D6FNF2	AF-A0A1P8AZJ4-F1-model_v3	AF-A0A1D6FNF2-F1-model_v3	1.8e-68	228.4	1.55e-04	747.55	NA	NA	gold
A0A1P8AZN3	A0A1D6NNV9	AF-A0A1P8AZN3-F1-model_v3	AF-A0A1D6NNV9-F1-model_v3	2.7e-136	387.9	0.00e+00	748.23	2.584E-48	1853	platinum
A0A1P8AZS5	B4F8C6	AF-A0A1P8AZS5-F1-model_v3	AF-B4F8C6-F1-model_v3	3.2e-124	351.7	0.00e+00	569.24	1.351E-33	1464	platinum
A0A1P8B0D8	A0A1D6HBU8	AF-A0A1P8B0D8-F1-model_v3	AF-A0A1D6HBU8-F1-model_v3	4.8e-40	132.9	1.55e-10	287.65	5.858E-16	637	platinum
A0A1P8B0L2	A0A1D6KDK3	AF-A0A1P8B0L2-F1-model_v3	AF-A0A1D6KDK3-F1-model_v3	5.5e-142	479.6	1.70e-07	2466.61	NA	NA	gold
A0A1P8B118	A0A1D6I509	AF-A0A1P8B118-F1-model_v3	AF-A0A1D6I509-F1-model_v3	0.0e+00	981.1	3.39e-08	3034.47	1.377E-102	5365	platinum
A0A1P8B123	A0A1D6PK11	AF-A0A1P8B123-F1-model_v3	AF-A0A1D6PK11-F1-model_v3	2.5e-82	246.9	5.94e-10	474.43	5.715E-28	1114	platinum
A0A1P8B1A2	A0A1D6PK68	AF-A0A1P8B1A2-F1-model_v3	AF-A0A1D6PK68-F1-model_v3	2.4e-184	543.1	0.00e+00	1740.22	1.241E-58	3057	platinum
A0A1P8B1A7	B4FZL8	AF-A0A1P8B1A7-F1-model_v3	AF-B4FZL8-F1-model_v3	6.1e-152	436.4	NA	NA	3.134E-32	1818	gold
A0A1P8B1C9	A0A1D6MLF9	AF-A0A1P8B1C9-F1-model_v3	AF-A0A1D6MLF9-F1-model_v3	1.9e-83	271.2	3.68e-10	1044.10	3.860E-34	1559	platinum
A0A1P8B1H3	B4FDE9	AF-A0A1P8B1H3-F1-model_v3	AF-B4FDE9-F1-model_v3	2.7e-161	468.4	1.11e-16	1191.17	NA	NA	gold
A0A1P8B1L8	C0PDW3	AF-A0A1P8B1L8-F1-model_v3	AF-C0PDW3-F1-model_v3	5.8e-25	100.9	NA	NA	NA	NA	silver
A0A1P8B223	A0A1D6N7U3	AF-A0A1P8B223-F1-model_v3	AF-A0A1D6N7U3-F1-model_v3	2.0e-69	214.5	6.73e-10	523.57	1.010E-23	1066	platinum
A0A1P8B228	B6TNV4	AF-A0A1P8B228-F1-model_v3	AF-B6TNV4-F1-model_v3	1.5e-48	154.8	NA	NA	1.465E-17	682	gold
A0A1P8B2J0	A0A1D6P230	AF-A0A1P8B2J0-F1-model_v3	AF-A0A1D6P230-F1-model_v3	1.4e-94	287.7	1.29e-14	734.14	4.865E-34	1419	platinum
A0A1P8B2M8	Q6R9F6	AF-A0A1P8B2M8-F1-model_v3	AF-Q6R9F6-F1-model_v3	8.5e-35	125.2	9.65e-08	401.40	NA	NA	gold
A0A1P8B2T5	B4FC54	AF-A0A1P8B2T5-F1-model_v3	AF-B4FC54-F1-model_v3	2.9e-95	287.0	7.95e-13	794.30	NA	NA	gold
A0A1P8B2U5	A0A1D6K4Y6	AF-A0A1P8B2U5-F1-model_v3	AF-A0A1D6K4Y6-F1-model_v3	4.1e-39	143.3	NA	NA	NA	NA	silver
A0A1P8B3J8	A0A1D6F9C7	AF-A0A1P8B3J8-F1-model_v3	AF-A0A1D6F9C7-F1-model_v3	5.2e-49	156.4	4.06e-14	414.91	2.681E-16	660	platinum
A0A1P8B3M4	A0A1D6EHA9	AF-A0A1P8B3M4-F1-model_v3	AF-A0A1D6EHA9-F1-model_v3	6.3e-26	113.6	NA	NA	NA	NA	silver
A0A1P8B415	A0A1D6JA02	AF-A0A1P8B415-F1-model_v3	AF-A0A1D6JA02-F1-model_v3	8.7e-283	804.7	2.31e-12	1807.96	2.321E-89	3852	platinum
A0A1P8B457	B4FRI5	AF-A0A1P8B457-F1-model_v3	AF-B4FRI5-F1-model_v3	7.6e-32	117.5	2.96e-03	334.42	NA	NA	gold
A0A1P8B4E4	A0A1D6MIF0	AF-A0A1P8B4E4-F1-model_v3	AF-A0A1D6MIF0-F1-model_v3	0.0e+00	1661.7	0.00e+00	5935.37	0.000E+00	8947	platinum
A0A1P8B4J0	A0A1D6MQ45	AF-A0A1P8B4J0-F1-model_v3	AF-A0A1D6MQ45-F1-model_v3	4.7e-36	131.3	2.16e-03	361.40	6.458E-13	502	platinum
A0A1P8B4K5	B4FXR5	AF-A0A1P8B4K5-F1-model_v3	AF-B4FXR5-F1-model_v3	4.9e-63	201.8	4.34e-14	659.14	2.454E-22	1154	platinum
A0A1P8B4P1	A0A1D6J0F2	AF-A0A1P8B4P1-F1-model_v3	AF-A0A1D6J0F2-F1-model_v3	1.7e-255	756.5	0.00e+00	2598.29	8.890E-56	3890	platinum
A0A1P8B4T0	A0A1D6LF04	AF-A0A1P8B4T0-F1-model_v3	AF-A0A1D6LF04-F1-model_v3	4.7e-58	196.8	1.16e-12	749.38	3.127E-28	1211	platinum
A0A1P8B5B0	A0A060D8B5	AF-A0A1P8B5B0-F1-model_v3	AF-A0A060D8B5-F1-model_v3	2.8e-45	163.3	NA	NA	NA	NA	silver
A0A1P8B5C8	C0PB84	AF-A0A1P8B5C8-F1-model_v3	AF-C0PB84-F1-model_v3	1.0e-30	112.5	2.83e-12	432.53	1.050E-15	690	platinum
A0A1P8B6C8	A0A1D6KJ08	AF-A0A1P8B6C8-F1-model_v3	AF-A0A1D6KJ08-F1-model_v3	1.7e-31	113.6	7.66e-10	299.80	1.830E-14	615	platinum
A0A1P8B6F6	B4G0Z1	AF-A0A1P8B6F6-F1-model_v3	AF-B4G0Z1-F1-model_v3	1.3e-120	356.3	2.81e-13	851.15	2.972E-39	1584	platinum
A0A1P8B6F9	A0A1D6MXC5	AF-A0A1P8B6F9-F1-model_v3	AF-A0A1D6MXC5-F1-model_v3	3.1e-310	853.6	NA	NA	1.941E-98	4036	gold
A0A1P8B6L8	A0A1D6E2J0	AF-A0A1P8B6L8-F1-model_v3	AF-A0A1D6E2J0-F1-model_v3	1.3e-237	709.9	0.00e+00	2581.87	3.848E-70	4099	platinum
A0A1P8B760	A0A1D6EEQ3	AF-A0A1P8B760-F1-model_v3	AF-A0A1D6EEQ3-F1-model_v3	4.4e-108	324.7	NA	NA	2.476E-39	1781	gold
A0A1P8B7A0	C0P4P8	AF-A0A1P8B7A0-F1-model_v3	AF-C0P4P8-F1-model_v3	1.4e-120	349.7	0.00e+00	797.86	1.129E-23	1373	platinum
A0A1P8B7B4	B4FSW6	AF-A0A1P8B7B4-F1-model_v3	AF-B4FSW6-F1-model_v3	5.2e-21	84.3	9.70e-09	350.71	1.321E-10	450	platinum
A0A1P8B7F5	A0A1D6FJ38	AF-A0A1P8B7F5-F1-model_v3	AF-A0A1D6FJ38-F1-model_v3	1.6e-211	604.7	0.00e+00	1482.83	2.500E-80	3383	platinum
A0A1P8B7H4	A0A1D6KFZ1	AF-A0A1P8B7H4-F1-model_v3	AF-A0A1D6KFZ1-F1-model_v3	9.6e-122	352.1	0.00e+00	706.11	5.772E-40	1588	platinum
A0A1P8B7K8	B4F8P1	AF-A0A1P8B7K8-F1-model_v3	AF-B4F8P1-F1-model_v3	1.7e-69	240.4	NA	NA	NA	NA	silver
A0A1P8B7P8	A0A1D6M0F7	AF-A0A1P8B7P8-F1-model_v3	AF-A0A1D6M0F7-F1-model_v3	5.2e-37	130.6	NA	NA	1.523E-17	721	gold
A0A1P8B7Z9	A0A1D6ID73	AF-A0A1P8B7Z9-F1-model_v3	AF-A0A1D6ID73-F1-model_v3	6.7e-186	585.9	2.89e-08	2414.92	NA	NA	gold
A0A1P8B891	A0A1D6LVM4	AF-A0A1P8B891-F1-model_v3	AF-A0A1D6LVM4-F1-model_v3	2.8e-237	676.0	2.56e-11	1527.62	1.196E-72	3246	platinum
A0A1P8B8B4	A0A1D6IKV5	AF-A0A1P8B8B4-F1-model_v3	AF-A0A1D6IKV5-F1-model_v3	4.0e-233	664.1	0.00e+00	1713.97	4.924E-90	4033	platinum
A0A1P8B8L5	A0A1D6MF20	AF-A0A1P8B8L5-F1-model_v3	AF-A0A1D6MF20-F1-model_v3	3.0e-71	230.3	NA	NA	3.487E-30	1362	gold
