Uniprot_arabadopsis	Uniprot_rice	AlphaFold_arabadopsis	AlphaFold_rice	diamond_value	diamond_score	fatcat_value	fatcat_score	foldseek_value	foldseek_score	platinum
A0A178W3G2	Q0DQG5	AF-A0A178W3G2-F1-model_v3	AF-Q0DQG5-F1-model_v3	2.4e-240	699.1	4.24e-14	1969.72	2.149E-62	3329	platinum
A0A178W5Y7	Q5QNM4	AF-A0A178W5Y7-F1-model_v3	AF-Q5QNM4-F1-model_v3	3.5e-05	38.5	3.48e-04	136.47	NA	NA	gold
A0A178W7H0	Q5ZBI1	AF-A0A178W7H0-F1-model_v3	AF-Q5ZBI1-F1-model_v3	2.1e-37	122.1	0.00e+00	304.36	1.503E-12	472	platinum
A0A1I9LLC5	A0A0P0XQX9	AF-A0A1I9LLC5-F1-model_v3	AF-A0A0P0XQX9-F1-model_v3	8.5e-191	577.4	4.45e-11	1711.16	3.545E-59	2849	platinum
A0A1I9LLJ3	Q0JAY9	AF-A0A1I9LLJ3-F1-model_v3	AF-Q0JAY9-F1-model_v3	1.5e-59	205.3	NA	NA	NA	NA	silver
A0A1I9LLT6	A2ZW57	AF-A0A1I9LLT6-F1-model_v3	AF-A2ZW57-F1-model_v3	2.3e-07	46.2	1.58e-02	116.90	NA	NA	gold
A0A1I9LM22	A0A0P0VVB4	AF-A0A1I9LM22-F1-model_v3	AF-A0A0P0VVB4-F1-model_v3	1.9e-37	138.3	NA	NA	NA	NA	silver
A0A1I9LM38	Q6YZF2	AF-A0A1I9LM38-F1-model_v3	AF-Q6YZF2-F1-model_v3	5.0e-113	330.5	8.55e-15	735.01	6.460E-38	1492	platinum
A0A1I9LM77	Q5N847	AF-A0A1I9LM77-F1-model_v3	AF-Q5N847-F1-model_v3	8.7e-116	347.4	4.72e-08	812.79	3.968E-43	1810	platinum
A0A1I9LMV6	Q5ZDT9	AF-A0A1I9LMV6-F1-model_v3	AF-Q5ZDT9-F1-model_v3	6.3e-98	288.5	0.00e+00	678.79	6.772E-39	1663	platinum
A0A1I9LN01	Q5JKZ8	AF-A0A1I9LN01-F1-model_v3	AF-Q5JKZ8-F1-model_v3	6.6e-253	705.7	0.00e+00	1611.46	7.594E-92	3722	platinum
A0A1I9LN13	Q6EQH4	AF-A0A1I9LN13-F1-model_v3	AF-Q6EQH4-F1-model_v3	2.5e-16	76.6	NA	NA	NA	NA	silver
A0A1I9LN21	Q10T49	AF-A0A1I9LN21-F1-model_v3	AF-Q10T49-F1-model_v3	2.6e-69	216.1	0.00e+00	572.11	2.420E-30	1183	platinum
A0A1I9LNB6	Q10M53	AF-A0A1I9LNB6-F1-model_v3	AF-Q10M53-F1-model_v3	2.0e-152	430.6	2.53e-14	777.67	1.926E-31	1700	platinum
A0A1I9LNY2	A0A0P0YBS5	AF-A0A1I9LNY2-F1-model_v3	AF-A0A0P0YBS5-F1-model_v3	3.6e-13	66.2	NA	NA	NA	NA	silver
A0A1I9LP47	A0A0P0VWP6	AF-A0A1I9LP47-F1-model_v3	AF-A0A0P0VWP6-F1-model_v3	1.8e-38	155.6	9.15e-03	1145.22	3.055E-24	1017	platinum
A0A1I9LPE3	Q7XI67	AF-A0A1I9LPE3-F1-model_v3	AF-Q7XI67-F1-model_v3	0.0e+00	1056.6	0.00e+00	2415.71	0.000E+00	5774	platinum
A0A1I9LPW2	Q337K5	AF-A0A1I9LPW2-F1-model_v3	AF-Q337K5-F1-model_v3	0.0e+00	1179.9	0.00e+00	3059.43	6.065E-85	5582	platinum
A0A1I9LPZ1	Q0DRD1	AF-A0A1I9LPZ1-F1-model_v3	AF-Q0DRD1-F1-model_v3	1.4e-72	260.0	5.85e-01	648.00	7.075E-15	474	platinum
A0A1I9LQ21	A0A0P0VKT4	AF-A0A1I9LQ21-F1-model_v3	AF-A0A0P0VKT4-F1-model_v3	2.3e-302	849.4	0.00e+00	1630.19	8.025E-67	3663	platinum
A0A1I9LQ55	Q6K1Y8	AF-A0A1I9LQ55-F1-model_v3	AF-Q6K1Y8-F1-model_v3	5.0e-106	311.6	0.00e+00	781.88	5.105E-41	1664	platinum
A0A1I9LQA1	Q8LNB7	AF-A0A1I9LQA1-F1-model_v3	AF-Q8LNB7-F1-model_v3	1.1e-62	193.0	0.00e+00	487.97	2.323E-16	744	platinum
A0A1I9LQC2	Q5VP89	AF-A0A1I9LQC2-F1-model_v3	AF-Q5VP89-F1-model_v3	1.4e-240	684.5	0.00e+00	1744.41	1.515E-87	3702	platinum
A0A1I9LQG9	A0A0P0VVV6	AF-A0A1I9LQG9-F1-model_v3	AF-A0A0P0VVV6-F1-model_v3	1.9e-75	224.6	0.00e+00	449.55	2.694E-25	1114	platinum
A0A1I9LQY7	Q8L4K4	AF-A0A1I9LQY7-F1-model_v3	AF-Q8L4K4-F1-model_v3	4.3e-154	449.5	0.00e+00	1115.18	1.106E-47	2333	platinum
A0A1I9LR23	A0A0P0W020	AF-A0A1I9LR23-F1-model_v3	AF-A0A0P0W020-F1-model_v3	7.2e-71	223.4	NA	NA	NA	NA	silver
A0A1I9LR82	Q6Z6G7	AF-A0A1I9LR82-F1-model_v3	AF-Q6Z6G7-F1-model_v3	2.1e-48	164.1	8.41e-07	529.58	9.843E-19	757	platinum
A0A1I9LR96	Q10QC9	AF-A0A1I9LR96-F1-model_v3	AF-Q10QC9-F1-model_v3	1.6e-26	102.8	9.83e-06	400.24	4.419E-11	427	platinum
A0A1I9LRA7	Q8S7W2	AF-A0A1I9LRA7-F1-model_v3	AF-Q8S7W2-F1-model_v3	1.1e-81	243.0	NA	NA	1.574E-24	943	gold
A0A1I9LRC2	Q10N76	AF-A0A1I9LRC2-F1-model_v3	AF-Q10N76-F1-model_v3	5.2e-41	140.2	5.88e-04	285.46	1.798E-14	606	platinum
A0A1I9LRJ3	Q6YUV4	AF-A0A1I9LRJ3-F1-model_v3	AF-Q6YUV4-F1-model_v3	7.0e-09	52.8	2.02e-05	270.93	7.379E-06	256	platinum
A0A1I9LRM4	Q75LD6	AF-A0A1I9LRM4-F1-model_v3	AF-Q75LD6-F1-model_v3	1.2e-169	480.7	NA	NA	3.791E-36	1663	gold
A0A1I9LRT3	Q5JJV9	AF-A0A1I9LRT3-F1-model_v3	AF-Q5JJV9-F1-model_v3	1.7e-142	408.3	1.11e-16	834.52	1.332E-46	1914	platinum
A0A1I9LS02	Q0IN13	AF-A0A1I9LS02-F1-model_v3	AF-Q0IN13-F1-model_v3	3.1e-69	204.5	7.71e-10	283.46	1.296E-11	525	platinum
A0A1I9LS40	Q8H7K9	AF-A0A1I9LS40-F1-model_v3	AF-Q8H7K9-F1-model_v3	1.6e-105	326.6	NA	NA	2.592E-36	1578	gold
A0A1I9LSL4	B9FYM4	AF-A0A1I9LSL4-F1-model_v3	AF-B9FYM4-F1-model_v3	6.1e-113	343.6	0.00e+00	1034.85	1.033E-52	2179	platinum
A0A1I9LT08	Q7XDP3	AF-A0A1I9LT08-F1-model_v3	AF-Q7XDP3-F1-model_v3	1.7e-24	100.5	NA	NA	4.433E-07	276	gold
A0A1I9LTP1	Q5N8I7	AF-A0A1I9LTP1-F1-model_v3	AF-Q5N8I7-F1-model_v3	0.0e+00	1043.9	0.00e+00	2430.25	0.000E+00	5388	platinum
A0A1I9LTS6	A0A0P0X5N3	AF-A0A1I9LTS6-F1-model_v3	AF-A0A0P0X5N3-F1-model_v3	0.0e+00	1429.8	0.00e+00	2938.54	0.000E+00	7717	platinum
A0A1I9LTW1	Q653S1	AF-A0A1I9LTW1-F1-model_v3	AF-Q653S1-F1-model_v3	8.2e-43	150.2	NA	NA	1.733E-16	652	gold
A0A1P8AM23	Q7XI55	AF-A0A1P8AM23-F1-model_v3	AF-Q7XI55-F1-model_v3	5.2e-186	545.8	0.00e+00	1665.60	8.954E-77	3193	platinum
A0A1P8AMK1	Q2QX64	AF-A0A1P8AMK1-F1-model_v3	AF-Q2QX64-F1-model_v3	1.1e-103	297.4	0.00e+00	561.28	1.297E-35	1347	platinum
A0A1P8AMV0	A0A0P0WFT7	AF-A0A1P8AMV0-F1-model_v3	AF-A0A0P0WFT7-F1-model_v3	6.3e-66	219.9	4.11e-15	840.55	1.195E-29	1403	platinum
A0A1P8AP43	A0A0P0YC73	AF-A0A1P8AP43-F1-model_v3	AF-A0A0P0YC73-F1-model_v3	2.2e-32	134.8	5.26e-14	2015.54	NA	NA	gold
A0A1P8AP72	Q7EZC9	AF-A0A1P8AP72-F1-model_v3	AF-Q7EZC9-F1-model_v3	1.7e-153	444.9	1.55e-15	1142.48	NA	NA	gold
A0A1P8AP81	Q6K8K1	AF-A0A1P8AP81-F1-model_v3	AF-Q6K8K1-F1-model_v3	5.1e-55	170.2	NA	NA	1.278E-11	580	gold
A0A1P8AP94	A0A0P0X1F1	AF-A0A1P8AP94-F1-model_v3	AF-A0A0P0X1F1-F1-model_v3	0.0e+00	952.2	0.00e+00	2516.19	2.788E-90	4911	platinum
A0A1P8AP99	Q2QMB6	AF-A0A1P8AP99-F1-model_v3	AF-Q2QMB6-F1-model_v3	2.0e-161	471.1	0.00e+00	1246.66	2.690E-50	2449	platinum
A0A1P8APD7	Q6H5V7	AF-A0A1P8APD7-F1-model_v3	AF-Q6H5V7-F1-model_v3	2.8e-41	139.4	1.14e-04	322.07	5.611E-09	334	platinum
A0A1P8APM3	Q7XTC0	AF-A0A1P8APM3-F1-model_v3	AF-Q7XTC0-F1-model_v3	1.5e-115	332.4	NA	NA	3.008E-26	1420	gold
A0A1P8APV0	Q337E1	AF-A0A1P8APV0-F1-model_v3	AF-Q337E1-F1-model_v3	5.7e-183	544.3	0.00e+00	1708.28	2.664E-57	3101	platinum
A0A1P8APW5	Q2R126	AF-A0A1P8APW5-F1-model_v3	AF-Q2R126-F1-model_v3	5.4e-108	314.7	NA	NA	5.129E-27	1457	gold
A0A1P8APX1	A0A0P0VQ70	AF-A0A1P8APX1-F1-model_v3	AF-A0A0P0VQ70-F1-model_v3	6.6e-85	296.6	5.90e-03	1010.16	NA	NA	gold
A0A1P8AQE4	Q69WP6	AF-A0A1P8AQE4-F1-model_v3	AF-Q69WP6-F1-model_v3	1.2e-309	860.5	0.00e+00	1695.46	7.729E-90	3830	platinum
A0A1P8AQJ5	A0A0P0WET6	AF-A0A1P8AQJ5-F1-model_v3	AF-A0A0P0WET6-F1-model_v3	3.3e-43	148.7	NA	NA	3.177E-12	586	gold
A0A1P8AQT5	B7F8C9	AF-A0A1P8AQT5-F1-model_v3	AF-B7F8C9-F1-model_v3	3.3e-120	343.2	NA	NA	1.161E-42	1627	gold
A0A1P8AQU0	Q7XIY9	AF-A0A1P8AQU0-F1-model_v3	AF-Q7XIY9-F1-model_v3	8.3e-89	262.7	0.00e+00	627.52	2.146E-30	1258	platinum
A0A1P8ARD0	Q5N7V0	AF-A0A1P8ARD0-F1-model_v3	AF-Q5N7V0-F1-model_v3	3.5e-06	44.7	4.34e-03	181.46	NA	NA	gold
A0A1P8ARG1	Q0DML1	AF-A0A1P8ARG1-F1-model_v3	AF-Q0DML1-F1-model_v3	2.0e-57	205.3	1.27e-05	914.08	NA	NA	gold
A0A1P8ARI2	Q69TJ9	AF-A0A1P8ARI2-F1-model_v3	AF-Q69TJ9-F1-model_v3	2.8e-115	342.4	2.40e-11	816.45	5.049E-45	1685	platinum
A0A1P8ARR1	Q6K624	AF-A0A1P8ARR1-F1-model_v3	AF-Q6K624-F1-model_v3	7.0e-74	256.5	NA	NA	NA	NA	silver
A0A1P8ASB9	Q10LZ2	AF-A0A1P8ASB9-F1-model_v3	AF-Q10LZ2-F1-model_v3	0.0e+00	953.0	0.00e+00	2519.65	0.000E+00	5811	platinum
A0A1P8ASE3	A0A0P0WT85	AF-A0A1P8ASE3-F1-model_v3	AF-A0A0P0WT85-F1-model_v3	4.0e-87	260.4	NA	NA	4.683E-34	1358	gold
A0A1P8ASM6	A0A0P0X4T3	AF-A0A1P8ASM6-F1-model_v3	AF-A0A0P0X4T3-F1-model_v3	1.8e-315	890.6	0.00e+00	2338.99	1.488E-96	5181	platinum
A0A1P8ASU7	Q5ZBN3	AF-A0A1P8ASU7-F1-model_v3	AF-Q5ZBN3-F1-model_v3	1.6e-32	119.0	2.64e-05	383.00	1.748E-15	647	platinum
A0A1P8ASX9	Q0DAX4	AF-A0A1P8ASX9-F1-model_v3	AF-Q0DAX4-F1-model_v3	1.0e-112	340.5	4.78e-06	616.15	NA	NA	gold
A0A1P8ASY1	A0A0N7KJL1	AF-A0A1P8ASY1-F1-model_v3	AF-A0A0N7KJL1-F1-model_v3	0.0e+00	1167.1	0.00e+00	2857.18	NA	NA	gold
A0A1P8ATB1	Q60E62	AF-A0A1P8ATB1-F1-model_v3	AF-Q60E62-F1-model_v3	1.1e-69	216.1	0.00e+00	580.02	2.269E-30	1159	platinum
A0A1P8ATM6	A0A0P0W0S0	AF-A0A1P8ATM6-F1-model_v3	AF-A0A0P0W0S0-F1-model_v3	8.2e-178	547.0	0.00e+00	2096.18	3.073E-43	2981	platinum
A0A1P8ATN7	Q5Z417	AF-A0A1P8ATN7-F1-model_v3	AF-Q5Z417-F1-model_v3	0.0e+00	1081.2	0.00e+00	2111.40	0.000E+00	5222	platinum
A0A1P8ATR9	Q8H609	AF-A0A1P8ATR9-F1-model_v3	AF-Q8H609-F1-model_v3	4.3e-26	114.4	NA	NA	NA	NA	silver
A0A1P8AU29	Q0JC68	AF-A0A1P8AU29-F1-model_v3	AF-Q0JC68-F1-model_v3	2.1e-226	652.1	0.00e+00	1548.71	1.538E-61	3245	platinum
A0A1P8AU61	A0A0P0Y7I6	AF-A0A1P8AU61-F1-model_v3	AF-A0A0P0Y7I6-F1-model_v3	7.3e-193	555.1	0.00e+00	1445.30	1.358E-53	2891	platinum
A0A1P8AUR3	Q7EYV5	AF-A0A1P8AUR3-F1-model_v3	AF-Q7EYV5-F1-model_v3	6.0e-118	342.4	0.00e+00	717.72	3.656E-40	1594	platinum
A0A1P8AV25	A0A0P0XQZ3	AF-A0A1P8AV25-F1-model_v3	AF-A0A0P0XQZ3-F1-model_v3	1.6e-288	847.4	6.90e-08	2238.50	1.047E-102	4471	platinum
A0A1P8AVE9	Q0DS53	AF-A0A1P8AVE9-F1-model_v3	AF-Q0DS53-F1-model_v3	0.0e+00	1198.7	0.00e+00	2840.31	0.000E+00	5988	platinum
A0A1P8AVJ4	A0A0P0XXZ4	AF-A0A1P8AVJ4-F1-model_v3	AF-A0A0P0XXZ4-F1-model_v3	4.7e-51	180.6	NA	NA	2.830E-10	780	gold
A0A1P8AVN8	Q2R429	AF-A0A1P8AVN8-F1-model_v3	AF-Q2R429-F1-model_v3	1.2e-64	213.8	2.70e-10	797.37	1.710E-34	1445	platinum
A0A1P8AW47	Q0D674	AF-A0A1P8AW47-F1-model_v3	AF-Q0D674-F1-model_v3	8.4e-94	285.8	0.00e+00	751.11	2.084E-34	1609	platinum
A0A1P8AW53	A0A0N7KKW4	AF-A0A1P8AW53-F1-model_v3	AF-A0A0N7KKW4-F1-model_v3	1.3e-77	231.1	0.00e+00	547.33	6.059E-24	1051	platinum
A0A1P8AW81	Q651Z3	AF-A0A1P8AW81-F1-model_v3	AF-Q651Z3-F1-model_v3	1.7e-282	797.7	0.00e+00	1964.24	5.738E-103	4571	platinum
A0A1P8AWF3	B7EHL9	AF-A0A1P8AWF3-F1-model_v3	AF-B7EHL9-F1-model_v3	1.6e-241	705.3	3.45e-14	1997.48	3.213E-87	3806	platinum
A0A1P8AWF5	Q6YUS4	AF-A0A1P8AWF5-F1-model_v3	AF-Q6YUS4-F1-model_v3	3.1e-112	321.6	0.00e+00	610.14	2.138E-36	1442	platinum
A0A1P8AWF9	Q0D646	AF-A0A1P8AWF9-F1-model_v3	AF-Q0D646-F1-model_v3	3.3e-270	763.8	1.11e-16	1547.01	1.902E-85	3513	platinum
A0A1P8AWP1	Q5VMB3	AF-A0A1P8AWP1-F1-model_v3	AF-Q5VMB3-F1-model_v3	4.8e-227	646.4	NA	NA	2.596E-84	3439	gold
A0A1P8AWZ7	Q5NB11	AF-A0A1P8AWZ7-F1-model_v3	AF-Q5NB11-F1-model_v3	1.8e-134	383.6	0.00e+00	770.72	7.791E-38	1675	platinum
A0A1P8AX45	Q5ZDY1	AF-A0A1P8AX45-F1-model_v3	AF-Q5ZDY1-F1-model_v3	5.2e-204	574.7	0.00e+00	1123.84	3.653E-70	2855	platinum
A0A1P8AX50	Q658G8	AF-A0A1P8AX50-F1-model_v3	AF-Q658G8-F1-model_v3	5.7e-216	605.1	0.00e+00	1260.88	9.356E-58	2711	platinum
A0A1P8AX61	Q8W316	AF-A0A1P8AX61-F1-model_v3	AF-Q8W316-F1-model_v3	2.8e-30	108.6	9.35e-10	346.79	4.378E-17	711	platinum
A0A1P8AXB7	Q6K839	AF-A0A1P8AXB7-F1-model_v3	AF-Q6K839-F1-model_v3	3.7e-17	72.8	2.64e-10	353.57	NA	NA	gold
A0A1P8AYJ0	Q650Y9	AF-A0A1P8AYJ0-F1-model_v3	AF-Q650Y9-F1-model_v3	3.8e-33	137.1	3.99e-04	1025.41	NA	NA	gold
A0A1P8AYT1	Q0DLW3	AF-A0A1P8AYT1-F1-model_v3	AF-Q0DLW3-F1-model_v3	1.2e-39	135.6	4.75e-09	271.20	NA	NA	gold
A0A1P8AZ30	Q0JR40	AF-A0A1P8AZ30-F1-model_v3	AF-Q0JR40-F1-model_v3	6.0e-73	224.9	4.61e-06	449.83	4.978E-22	812	platinum
A0A1P8AZ49	Q67VB8	AF-A0A1P8AZ49-F1-model_v3	AF-Q67VB8-F1-model_v3	5.8e-72	218.4	0.00e+00	526.99	9.185E-26	1053	platinum
A0A1P8AZ61	A0A0N7KUC6	AF-A0A1P8AZ61-F1-model_v3	AF-A0A0N7KUC6-F1-model_v3	1.4e-23	87.4	1.91e-04	171.56	NA	NA	gold
A0A1P8AZE1	Q0D7C6	AF-A0A1P8AZE1-F1-model_v3	AF-Q0D7C6-F1-model_v3	1.0e-19	78.2	1.71e-04	210.28	1.402E-06	262	platinum
A0A1P8AZJ4	A0A0N7KKP2	AF-A0A1P8AZJ4-F1-model_v3	AF-A0A0N7KKP2-F1-model_v3	1.7e-56	186.8	8.81e-10	467.52	NA	NA	gold
A0A1P8AZN3	Q8LQS5	AF-A0A1P8AZN3-F1-model_v3	AF-Q8LQS5-F1-model_v3	8.6e-136	386.3	0.00e+00	745.42	6.821E-48	1831	platinum
A0A1P8B068	Q943L0	AF-A0A1P8B068-F1-model_v3	AF-Q943L0-F1-model_v3	2.2e-112	323.9	0.00e+00	658.80	4.070E-37	1555	platinum
A0A1P8B0D8	Q0DZZ8	AF-A0A1P8B0D8-F1-model_v3	AF-Q0DZZ8-F1-model_v3	1.9e-37	126.7	4.63e-10	288.02	3.057E-16	641	platinum
A0A1P8B0L2	A0A0N7KU83	AF-A0A1P8B0L2-F1-model_v3	AF-A0A0N7KU83-F1-model_v3	4.6e-65	228.8	NA	NA	NA	NA	silver
A0A1P8B118	A0A0P0XM94	AF-A0A1P8B118-F1-model_v3	AF-A0A0P0XM94-F1-model_v3	4.9e-93	304.3	1.50e-11	840.52	2.079E-26	1436	platinum
A0A1P8B123	Q10RN3	AF-A0A1P8B123-F1-model_v3	AF-Q10RN3-F1-model_v3	6.2e-82	245.7	4.30e-11	462.24	2.763E-29	1157	platinum
A0A1P8B1A2	Q0DV08	AF-A0A1P8B1A2-F1-model_v3	AF-Q0DV08-F1-model_v3	6.5e-197	573.9	0.00e+00	1664.74	5.765E-53	2761	platinum
A0A1P8B1A7	Q0JBW5	AF-A0A1P8B1A7-F1-model_v3	AF-Q0JBW5-F1-model_v3	1.5e-142	412.5	NA	NA	2.203E-32	1817	gold
A0A1P8B1C9	A0A0P0UY78	AF-A0A1P8B1C9-F1-model_v3	AF-A0A0P0UY78-F1-model_v3	1.4e-100	311.2	NA	NA	NA	NA	silver
A0A1P8B1H3	Q7EZS7	AF-A0A1P8B1H3-F1-model_v3	AF-Q7EZS7-F1-model_v3	6.6e-91	284.3	NA	NA	2.269E-18	1053	gold
A0A1P8B228	Q10N84	AF-A0A1P8B228-F1-model_v3	AF-Q10N84-F1-model_v3	1.0e-46	150.2	NA	NA	2.788E-17	666	gold
A0A1P8B2J0	B7F4A9	AF-A0A1P8B2J0-F1-model_v3	AF-B7F4A9-F1-model_v3	1.2e-110	322.0	0.00e+00	733.91	1.543E-34	1432	platinum
A0A1P8B3J8	A0A0P0X2A3	AF-A0A1P8B3J8-F1-model_v3	AF-A0A0P0X2A3-F1-model_v3	1.2e-47	152.1	NA	NA	1.202E-14	593	gold
A0A1P8B3M4	A0A0P0Y935	AF-A0A1P8B3M4-F1-model_v3	AF-A0A0P0Y935-F1-model_v3	1.5e-31	131.3	NA	NA	NA	NA	silver
A0A1P8B415	A0A0P0WCB7	AF-A0A1P8B415-F1-model_v3	AF-A0A0P0WCB7-F1-model_v3	2.3e-250	718.8	8.76e-10	1604.49	3.089E-78	3374	platinum
A0A1P8B457	A0A0P0XW29	AF-A0A1P8B457-F1-model_v3	AF-A0A0P0XW29-F1-model_v3	7.6e-39	135.6	1.41e-03	322.60	NA	NA	gold
A0A1P8B4K5	Q69KJ0	AF-A0A1P8B4K5-F1-model_v3	AF-Q69KJ0-F1-model_v3	4.6e-64	203.4	NA	NA	4.091E-21	1087	gold
A0A1P8B4P1	A0A0N7KPA3	AF-A0A1P8B4P1-F1-model_v3	AF-A0A0N7KPA3-F1-model_v3	8.2e-141	437.2	NA	NA	5.193E-28	1998	gold
A0A1P8B4T0	Q6ATE2	AF-A0A1P8B4T0-F1-model_v3	AF-Q6ATE2-F1-model_v3	4.9e-58	196.4	4.10e-13	771.58	7.151E-29	1230	platinum
A0A1P8B4Y2	Q0DCD3	AF-A0A1P8B4Y2-F1-model_v3	AF-Q0DCD3-F1-model_v3	8.7e-20	83.6	4.31e-03	317.37	NA	NA	gold
A0A1P8B4Y6	Q6K7Q7	AF-A0A1P8B4Y6-F1-model_v3	AF-Q6K7Q7-F1-model_v3	2.9e-217	619.4	7.10e-11	1222.67	1.942E-61	2469	platinum
A0A1P8B6C8	Q6Z8P1	AF-A0A1P8B6C8-F1-model_v3	AF-Q6Z8P1-F1-model_v3	8.0e-07	47.4	2.37e-10	319.84	5.577E-14	590	platinum
A0A1P8B6F6	Q5Z6C2	AF-A0A1P8B6F6-F1-model_v3	AF-Q5Z6C2-F1-model_v3	2.5e-124	365.9	2.70e-12	832.38	6.090E-40	1604	platinum
A0A1P8B6F9	Q2QNR7	AF-A0A1P8B6F9-F1-model_v3	AF-Q2QNR7-F1-model_v3	1.2e-311	854.7	NA	NA	1.101E-98	4039	gold
A0A1P8B7A0	A0A0P0YBJ7	AF-A0A1P8B7A0-F1-model_v3	AF-A0A0P0YBJ7-F1-model_v3	5.7e-77	236.1	NA	NA	NA	NA	silver
A0A1P8B7F5	Q5JLH9	AF-A0A1P8B7F5-F1-model_v3	AF-Q5JLH9-F1-model_v3	2.9e-243	685.3	0.00e+00	1490.05	5.594E-82	3444	platinum
A0A1P8B7H4	Q2QMC5	AF-A0A1P8B7H4-F1-model_v3	AF-Q2QMC5-F1-model_v3	1.1e-131	375.9	0.00e+00	748.92	8.823E-44	1727	platinum
A0A1P8B891	Q67UI1	AF-A0A1P8B891-F1-model_v3	AF-Q67UI1-F1-model_v3	3.7e-236	672.9	1.11e-16	1639.33	1.013E-74	3329	platinum
A0A1P8B8B4	Q8GVH2	AF-A0A1P8B8B4-F1-model_v3	AF-Q8GVH2-F1-model_v3	1.1e-237	675.2	0.00e+00	1720.35	8.935E-93	4146	platinum
A0A1P8B9I4	Q33B71	AF-A0A1P8B9I4-F1-model_v3	AF-Q33B71-F1-model_v3	1.9e-163	462.6	0.00e+00	1011.99	1.502E-55	2254	platinum
A0A1P8B9K4	Q0DWI0	AF-A0A1P8B9K4-F1-model_v3	AF-Q0DWI0-F1-model_v3	9.8e-78	247.3	4.00e-12	859.42	4.160E-18	1066	platinum
A0A1P8B9R0	Q7XZZ2	AF-A0A1P8B9R0-F1-model_v3	AF-Q7XZZ2-F1-model_v3	3.4e-270	771.9	1.98e-06	1690.63	1.640E-61	2853	platinum
A0A1P8B9S9	A0A0P0WJ92	AF-A0A1P8B9S9-F1-model_v3	AF-A0A0P0WJ92-F1-model_v3	2.6e-261	772.7	7.32e-12	2249.40	2.336E-68	4131	platinum
A0A1P8BA18	Q0IQS6	AF-A0A1P8BA18-F1-model_v3	AF-Q0IQS6-F1-model_v3	1.1e-20	98.6	3.64e-02	986.85	7.616E-10	341	platinum
A0A1P8BA81	Q69Q88	AF-A0A1P8BA81-F1-model_v3	AF-Q69Q88-F1-model_v3	1.7e-72	220.7	1.25e-14	525.51	8.666E-26	1046	platinum
A0A1P8BAD1	Q942R8	AF-A0A1P8BAD1-F1-model_v3	AF-Q942R8-F1-model_v3	1.6e-37	129.0	3.65e-05	299.68	1.221E-09	380	platinum
A0A1P8BAF7	A0A0P0V469	AF-A0A1P8BAF7-F1-model_v3	AF-A0A0P0V469-F1-model_v3	1.2e-09	61.6	7.13e-07	1448.73	4.691E-09	428	platinum
A0A1P8BAY2	A0A0P0XZX4	AF-A0A1P8BAY2-F1-model_v3	AF-A0A0P0XZX4-F1-model_v3	4.4e-13	71.2	NA	NA	NA	NA	silver
A0A1P8BB64	Q10BD0	AF-A0A1P8BB64-F1-model_v3	AF-Q10BD0-F1-model_v3	9.5e-30	110.5	NA	NA	1.162E-09	448	gold
