Uniprot_arabadopsis	Uniprot_human	AlphaFold_arabadopsis	AlphaFold_human	diamond_value	diamond_score	fatcat_value	fatcat_score	foldseek_value	foldseek_score	platinum
B3H6T0	Q8N4J0	AF-B3H6T0-F1-model_v3	AF-Q8N4J0-F1-model_v3	1.1e-81	258.5	0.00e+00	892.34	2.582E-36	1615	platinum
B3H7G2	Q9BTM9	AF-B3H7G2-F1-model_v3	AF-Q9BTM9-F1-model_v3	2.0e-36	119.0	0.00e+00	259.88	3.557E-15	585	platinum
B3H7H1	P49770	AF-B3H7H1-F1-model_v3	AF-P49770-F1-model_v3	7.6e-63	206.1	0.00e+00	851.47	1.362E-32	1585	platinum
B4F7N8	Q9UKZ1	AF-B4F7N8-F1-model_v3	AF-Q9UKZ1-F1-model_v3	1.3e-91	286.6	0.00e+00	921.05	1.369E-24	1452	platinum
B5BT18	O14981	AF-B5BT18-F1-model_v3	AF-O14981-F1-model_v3	0.0e+00	1096.6	0.00e+00	3813.68	NA	NA	gold
B5X0I6	Q6PD62	AF-B5X0I6-F1-model_v3	AF-Q6PD62-F1-model_v3	1.3e-159	504.2	3.12e-14	2606.51	NA	NA	gold
B5X503	Q15061	AF-B5X503-F1-model_v3	AF-Q15061-F1-model_v3	5.2e-27	116.3	6.27e-10	1096.19	3.704E-35	1551	platinum
B9DFV2	Q7Z6E9	AF-B9DFV2-F1-model_v3	AF-Q7Z6E9-F1-model_v3	5.7e-38	154.5	6.41e-02	1051.17	NA	NA	gold
B9DGC0	Q8IYT4	AF-B9DGC0-F1-model_v3	AF-Q8IYT4-F1-model_v3	3.2e-113	341.3	NA	NA	7.857E-39	1694	gold
B9DGD6	Q9NR19	AF-B9DGD6-F1-model_v3	AF-Q9NR19-F1-model_v3	1.7e-286	802.7	0.00e+00	1894.49	3.245E-103	4275	platinum
B9DGT7	Q9BQE3	AF-B9DGT7-F1-model_v3	AF-Q9BQE3-F1-model_v3	1.0e-298	811.2	NA	NA	NA	NA	silver
B9DHA4	Q9NW38	AF-B9DHA4-F1-model_v3	AF-Q9NW38-F1-model_v3	3.6e-54	180.6	1.33e-15	704.09	7.265E-28	1188	platinum
B9DHT4	Q8N961	AF-B9DHT4-F1-model_v3	AF-Q8N961-F1-model_v3	1.3e-21	100.5	NA	NA	NA	NA	silver
B9TSP7	Q96K12	AF-B9TSP7-F1-model_v3	AF-Q96K12-F1-model_v3	1.2e-48	176.4	NA	NA	1.151E-35	1586	gold
C0Z225	Q96ER3	AF-C0Z225-F1-model_v3	AF-Q96ER3-F1-model_v3	3.0e-08	56.2	NA	NA	3.476E-07	490	gold
E0X9N4	Q9H000	AF-E0X9N4-F1-model_v3	AF-Q9H000-F1-model_v3	5.9e-62	203.8	2.34e-08	704.68	7.425E-31	1217	platinum
F2Y4A3	Q9NYA1	AF-F2Y4A3-F1-model_v3	AF-Q9NYA1-F1-model_v3	6.8e-54	185.7	NA	NA	NA	NA	silver
F4HPP4	Q86XW9	AF-F4HPP4-F1-model_v3	AF-Q86XW9-F1-model_v3	7.4e-04	40.8	NA	NA	NA	NA	silver
F4HPR9	Q9Y6E0	AF-F4HPR9-F1-model_v3	AF-Q9Y6E0-F1-model_v3	2.0e-112	346.3	NA	NA	NA	NA	silver
F4HQ84	Q96JB2	AF-F4HQ84-F1-model_v3	AF-Q96JB2-F1-model_v3	4.6e-143	441.4	0.00e+00	1866.13	7.914E-47	2607	platinum
F4HQD3	Q9BUU2	AF-F4HQD3-F1-model_v3	AF-Q9BUU2-F1-model_v3	2.3e-33	126.7	3.46e-09	558.94	2.707E-26	1045	platinum
F4HQE2	Q9NZ71	AF-F4HQE2-F1-model_v3	AF-Q9NZ71-F1-model_v3	5.3e-173	539.3	5.55e-16	2074.99	NA	NA	gold
F4HQM3	Q9NR71	AF-F4HQM3-F1-model_v3	AF-Q9NR71-F1-model_v3	7.9e-181	537.3	0.00e+00	1776.95	1.034E-92	3768	platinum
F4HQZ1	Q9P258	AF-F4HQZ1-F1-model_v3	AF-Q9P258-F1-model_v3	5.9e-87	278.1	0.00e+00	1021.17	4.952E-48	2043	platinum
F4HRV8	Q86X24	AF-F4HRV8-F1-model_v3	AF-Q86X24-F1-model_v3	1.2e-22	100.5	5.86e-06	576.27	4.043E-20	931	platinum
F4HS21	Q13489	AF-F4HS21-F1-model_v3	AF-Q13489-F1-model_v3	2.4e-10	62.8	NA	NA	NA	NA	silver
F4HSS8	Q3MIT2	AF-F4HSS8-F1-model_v3	AF-Q3MIT2-F1-model_v3	1.9e-73	241.9	1.11e-15	957.28	2.809E-43	1851	platinum
F4HTE0	Q14232	AF-F4HTE0-F1-model_v3	AF-Q14232-F1-model_v3	1.8e-71	226.1	NA	NA	3.538E-33	1530	gold
F4HTM3	Q13724	AF-F4HTM3-F1-model_v3	AF-Q13724-F1-model_v3	6.1e-179	537.0	0.00e+00	1897.30	2.517E-78	3733	platinum
F4HTP2	Q14181	AF-F4HTP2-F1-model_v3	AF-Q14181-F1-model_v3	2.2e-71	241.5	1.67e-15	1240.14	1.899E-46	1962	platinum
F4HTQ1	Q9BYT8	AF-F4HTQ1-F1-model_v3	AF-Q9BYT8-F1-model_v3	1.2e-130	402.9	0.00e+00	1810.80	8.769E-54	2904	platinum
F4HUC4	P22748	AF-F4HUC4-F1-model_v3	AF-P22748-F1-model_v3	4.9e-20	87.8	NA	NA	NA	NA	silver
F4HUI7	Q9BTY7	AF-F4HUI7-F1-model_v3	AF-Q9BTY7-F1-model_v3	5.2e-14	72.8	0.00e+00	679.78	1.225E-12	816	platinum
F4HUQ5	Q9BX46	AF-F4HUQ5-F1-model_v3	AF-Q9BX46-F1-model_v3	9.0e-33	120.2	NA	NA	1.398E-17	696	gold
F4HUS5	O00458	AF-F4HUS5-F1-model_v3	AF-O00458-F1-model_v3	7.7e-29	117.9	3.14e-14	898.43	1.889E-19	1109	platinum
F4HUY1	Q96B42	AF-F4HUY1-F1-model_v3	AF-Q96B42-F1-model_v3	1.6e-18	77.8	1.60e-12	340.12	1.606E-07	355	platinum
F4HVJ3	Q6NXT6	AF-F4HVJ3-F1-model_v3	AF-Q6NXT6-F1-model_v3	1.6e-46	172.9	5.76e-11	1002.97	NA	NA	gold
F4HVV6	A5YKK6	AF-F4HVV6-F1-model_v3	AF-A5YKK6-F1-model_v3	0.0e+00	1025.8	1.31e-07	3054.08	1.233E-94	5969	platinum
F4HVZ5	Q9NZ63	AF-F4HVZ5-F1-model_v3	AF-Q9NZ63-F1-model_v3	4.9e-19	84.7	8.66e-03	282.62	1.797E-06	270	platinum
F4HX15	Q9NP80	AF-F4HX15-F1-model_v3	AF-Q9NP80-F1-model_v3	1.6e-47	183.7	2.77e-06	1000.79	2.561E-26	1385	platinum
F4HXP9	Q9ULV0	AF-F4HXP9-F1-model_v3	AF-Q9ULV0-F1-model_v3	6.9e-186	602.8	NA	NA	NA	NA	silver
F4HXV6	O75694	AF-F4HXV6-F1-model_v3	AF-O75694-F1-model_v3	3.3e-79	288.5	0.00e+00	2637.44	3.770E-59	3797	platinum
F4HXY7	Q9BVG9	AF-F4HXY7-F1-model_v3	AF-Q9BVG9-F1-model_v3	8.4e-95	293.5	0.00e+00	1069.64	6.421E-28	1556	platinum
F4HXZ1	Q8WUM4	AF-F4HXZ1-F1-model_v3	AF-Q8WUM4-F1-model_v3	5.1e-63	228.4	NA	NA	4.591E-37	2099	gold
F4HYA7	Q658Y4	AF-F4HYA7-F1-model_v3	AF-Q658Y4-F1-model_v3	1.6e-96	324.3	1.98e-10	1479.84	1.214E-53	2608	platinum
F4HYH6	O14972	AF-F4HYH6-F1-model_v3	AF-O14972-F1-model_v3	2.3e-66	210.7	0.00e+00	711.98	2.637E-33	1603	platinum
F4HZG9	Q9NQH7	AF-F4HZG9-F1-model_v3	AF-Q9NQH7-F1-model_v3	1.2e-113	345.1	0.00e+00	1155.55	2.000E-53	2191	platinum
F4HZY1	Q9UHR5	AF-F4HZY1-F1-model_v3	AF-Q9UHR5-F1-model_v3	9.8e-13	68.2	4.94e-03	405.74	2.762E-07	306	platinum
F4HZZ4	Q8NC42	AF-F4HZZ4-F1-model_v3	AF-Q8NC42-F1-model_v3	5.8e-19	86.7	NA	NA	NA	NA	silver
F4HZZ6	Q3B7T1	AF-F4HZZ6-F1-model_v3	AF-Q3B7T1-F1-model_v3	6.4e-38	155.6	2.78e-04	1028.78	6.835E-34	2012	platinum
F4I116	Q9P2J5	AF-F4I116-F1-model_v3	AF-Q9P2J5-F1-model_v3	0.0e+00	1018.8	0.00e+00	2781.37	0.000E+00	5635	platinum
F4I1E5	Q5TGZ0	AF-F4I1E5-F1-model_v3	AF-Q5TGZ0-F1-model_v3	7.8e-06	42.4	1.66e-06	165.18	NA	NA	gold
F4I1S7	Q6IA86	AF-F4I1S7-F1-model_v3	AF-Q6IA86-F1-model_v3	6.8e-135	421.8	0.00e+00	1779.45	4.085E-71	3554	platinum
F4I1X8	O60826	AF-F4I1X8-F1-model_v3	AF-O60826-F1-model_v3	7.7e-21	95.9	3.77e-08	1068.35	3.127E-15	676	platinum
F4I2H2	Q5T890	AF-F4I2H2-F1-model_v3	AF-Q5T890-F1-model_v3	5.0e-129	422.9	NA	NA	NA	NA	silver
F4I2J8	Q8WUQ7	AF-F4I2J8-F1-model_v3	AF-Q8WUQ7-F1-model_v3	5.6e-113	358.6	4.51e-10	1273.27	NA	NA	gold
F4I2K8	P56277	AF-F4I2K8-F1-model_v3	AF-P56277-F1-model_v3	3.0e-11	52.8	5.24e-07	160.44	NA	NA	gold
F4I313	Q6P3W7	AF-F4I313-F1-model_v3	AF-Q6P3W7-F1-model_v3	3.3e-83	287.7	1.16e-10	1723.36	NA	NA	gold
F4I366	Q9H9Y6	AF-F4I366-F1-model_v3	AF-Q9H9Y6-F1-model_v3	3.5e-286	834.7	0.00e+00	2918.67	0.000E+00	6067	platinum
F4I3C3	Q8N4Q0	AF-F4I3C3-F1-model_v3	AF-Q8N4Q0-F1-model_v3	2.2e-80	259.6	0.00e+00	878.33	3.598E-41	1703	platinum
F4I3Y1	Q9H091	AF-F4I3Y1-F1-model_v3	AF-Q9H091-F1-model_v3	1.7e-32	129.0	1.40e-14	686.00	4.008E-28	1147	platinum
F4I420	O60841	AF-F4I420-F1-model_v3	AF-O60841-F1-model_v3	3.3e-214	655.2	3.23e-10	2412.09	NA	NA	gold
F4I443	Q99728	AF-F4I443-F1-model_v3	AF-Q99728-F1-model_v3	5.9e-22	101.3	2.60e-03	884.08	1.291E-25	1051	platinum
F4I448	Q86UA1	AF-F4I448-F1-model_v3	AF-Q86UA1-F1-model_v3	9.8e-63	223.8	2.20e-12	1340.41	NA	NA	gold
F4I4Q1	Q9BXY0	AF-F4I4Q1-F1-model_v3	AF-Q9BXY0-F1-model_v3	6.5e-66	208.8	3.21e-11	664.12	2.361E-26	1054	platinum
F4I4Q9	Q9HB71	AF-F4I4Q9-F1-model_v3	AF-Q9HB71-F1-model_v3	5.5e-30	111.3	2.71e-10	491.74	1.238E-18	778	platinum
F4I526	Q8N9H8	AF-F4I526-F1-model_v3	AF-Q8N9H8-F1-model_v3	3.1e-15	79.3	3.77e-07	984.43	3.184E-17	1020	platinum
F4I5S3	Q8WVB6	AF-F4I5S3-F1-model_v3	AF-Q8WVB6-F1-model_v3	9.4e-85	293.5	2.09e-06	1620.58	3.817E-55	2488	platinum
F4I6L0	Q7Z3J2	AF-F4I6L0-F1-model_v3	AF-Q7Z3J2-F1-model_v3	2.1e-63	231.9	1.08e-13	1804.85	2.701E-32	2151	platinum
F4I737	Q29RF7	AF-F4I737-F1-model_v3	AF-Q29RF7-F1-model_v3	5.6e-58	220.7	NA	NA	NA	NA	silver
F4I824	O75648	AF-F4I824-F1-model_v3	AF-O75648-F1-model_v3	1.3e-66	220.7	0.00e+00	875.45	2.521E-40	1642	platinum
F4I893	Q92616	AF-F4I893-F1-model_v3	AF-Q92616-F1-model_v3	2.1e-309	985.7	0.00e+00	6225.36	0.000E+00	7994	platinum
F4I9G5	O15118	AF-F4I9G5-F1-model_v3	AF-O15118-F1-model_v3	1.1e-232	704.1	NA	NA	2.438E-87	5061	gold
F4I9J7	Q9Y5S9	AF-F4I9J7-F1-model_v3	AF-Q9Y5S9-F1-model_v3	1.4e-46	151.4	NA	NA	1.917E-16	642	gold
F4I9T0	Q6ZS30	AF-F4I9T0-F1-model_v3	AF-Q6ZS30-F1-model_v3	2.7e-144	505.8	2.92e-06	2635.67	NA	NA	gold
F4IAT2	Q8NI27	AF-F4IAT2-F1-model_v3	AF-Q8NI27-F1-model_v3	2.2e-197	635.2	2.64e-12	3031.44	NA	NA	gold
F4IBV4	Q9H553	AF-F4IBV4-F1-model_v3	AF-Q9H553-F1-model_v3	4.8e-116	344.7	0.00e+00	1058.30	1.503E-43	1979	platinum
F4IC59	P37837	AF-F4IC59-F1-model_v3	AF-P37837-F1-model_v3	6.9e-45	159.1	0.00e+00	780.91	2.463E-25	1206	platinum
F4IDC2	Q03701	AF-F4IDC2-F1-model_v3	AF-Q03701-F1-model_v3	1.1e-99	338.6	1.06e-05	1612.01	NA	NA	gold
F4IDJ0	Q8WTT2	AF-F4IDJ0-F1-model_v3	AF-Q8WTT2-F1-model_v3	4.3e-58	213.0	3.24e-10	1370.32	1.460E-27	1623	platinum
F4IDS7	Q9P253	AF-F4IDS7-F1-model_v3	AF-Q9P253-F1-model_v3	2.5e-156	486.9	0.00e+00	2199.13	7.489E-65	3582	platinum
F4IE40	Q96P70	AF-F4IE40-F1-model_v3	AF-Q96P70-F1-model_v3	4.4e-133	428.3	0.00e+00	2551.00	5.937E-47	3239	platinum
F4IF81	Q9UEW8	AF-F4IF81-F1-model_v3	AF-Q9UEW8-F1-model_v3	1.3e-100	318.9	NA	NA	NA	NA	silver
F4IFF3	Q9NXL9	AF-F4IFF3-F1-model_v3	AF-Q9NXL9-F1-model_v3	7.1e-188	562.0	0.00e+00	1669.23	NA	NA	gold
F4IGH3	Q86W50	AF-F4IGH3-F1-model_v3	AF-Q86W50-F1-model_v3	5.8e-58	201.8	3.35e-08	832.65	NA	NA	gold
F4IH21	A4D0V7	AF-F4IH21-F1-model_v3	AF-A4D0V7-F1-model_v3	3.1e-06	49.7	NA	NA	NA	NA	silver
F4IH25	Q14137	AF-F4IH25-F1-model_v3	AF-Q14137-F1-model_v3	4.7e-178	528.1	5.45e-14	1839.62	1.257E-76	3248	platinum
F4II29	Q96KG9	AF-F4II29-F1-model_v3	AF-Q96KG9-F1-model_v3	5.0e-95	314.7	1.72e-10	1536.42	NA	NA	gold
F4II36	Q149N8	AF-F4II36-F1-model_v3	AF-Q149N8-F1-model_v3	2.7e-159	529.3	2.21e-10	2150.32	NA	NA	gold
F4II70	Q8TBP6	AF-F4II70-F1-model_v3	AF-Q8TBP6-F1-model_v3	4.0e-38	139.4	NA	NA	NA	NA	silver
F4IIL7	Q9NX47	AF-F4IIL7-F1-model_v3	AF-Q9NX47-F1-model_v3	1.5e-05	46.2	9.60e-05	449.69	NA	NA	gold
F4IJJ8	Q5H8A4	AF-F4IJJ8-F1-model_v3	AF-Q5H8A4-F1-model_v3	5.3e-70	251.9	0.00e+00	1990.48	3.454E-46	2601	platinum
F4IMY0	O94913	AF-F4IMY0-F1-model_v3	AF-O94913-F1-model_v3	8.9e-23	105.5	1.09e-01	904.06	2.136E-10	490	platinum
F4INY4	Q9H6S0	AF-F4INY4-F1-model_v3	AF-Q9H6S0-F1-model_v3	1.9e-175	558.9	1.28e-09	2525.21	NA	NA	gold
F4IP13	Q8NDA8	AF-F4IP13-F1-model_v3	AF-Q8NDA8-F1-model_v3	1.9e-87	317.0	0.00e+00	3642.23	6.902E-51	3406	platinum
F4IPY2	Q9HA77	AF-F4IPY2-F1-model_v3	AF-Q9HA77-F1-model_v3	3.4e-75	249.2	5.55e-16	1129.76	1.101E-39	1951	platinum
F4IQ29	O95759	AF-F4IQ29-F1-model_v3	AF-O95759-F1-model_v3	1.9e-32	136.3	NA	NA	NA	NA	silver
F4IRD3	Q5VZE5	AF-F4IRD3-F1-model_v3	AF-Q5VZE5-F1-model_v3	4.5e-54	198.7	0.00e+00	1442.74	8.156E-30	1806	platinum
F4ISQ7	O95985	AF-F4ISQ7-F1-model_v3	AF-O95985-F1-model_v3	0.0e+00	902.9	0.00e+00	2300.39	1.102E-99	4915	platinum
F4ITJ6	Q8NHP7	AF-F4ITJ6-F1-model_v3	AF-Q8NHP7-F1-model_v3	4.0e-19	88.2	2.95e-05	475.27	NA	NA	gold
F4ITL6	Q9H0R3	AF-F4ITL6-F1-model_v3	AF-Q9H0R3-F1-model_v3	6.5e-40	137.1	3.22e-14	451.23	4.290E-18	783	platinum
F4ITW1	Q9H0P0	AF-F4ITW1-F1-model_v3	AF-Q9H0P0-F1-model_v3	7.0e-54	180.3	0.00e+00	704.87	2.854E-30	1252	platinum
F4IU60	Q9BVC3	AF-F4IU60-F1-model_v3	AF-Q9BVC3-F1-model_v3	3.1e-48	168.3	0.00e+00	836.26	5.199E-34	1454	platinum
F4IUG1	P59046	AF-F4IUG1-F1-model_v3	AF-P59046-F1-model_v3	5.6e-06	49.7	NA	NA	NA	NA	silver
F4IUX6	Q9HAU5	AF-F4IUX6-F1-model_v3	AF-Q9HAU5-F1-model_v3	1.4e-186	580.9	8.49e-10	2420.25	1.268E-56	3482	platinum
